t,q,t_model,q_model
0.0,9670.0,0.0,9670.0
1.0,8848.0,1.0,9323.100830961523
2.0,8152.0,2.0,8986.342074629414
3.0,6864.0,3.0,8659.495602905623
4.0,5574.0,4.0,8342.33686196168
5.0,4479.0,5.0,8034.644840991492
6.0,6052.0,6.0,7736.202041017806
7.0,5638.0,7.0,7446.794443752698
8.0,7266.0,8.0,7166.2114805123065
9.0,7955.0,9.0,6894.246001186125
10.0,7875.0,10.0,6630.694243261213
11.0,5776.0,11.0,6375.35580090152
12.0,6470.0,12.0,6128.033594082757
13.0,2461.0,13.0,5888.533837783039
14.0,5768.0,14.0,5656.66601122964
15.0,5518.0,15.0,5432.242827202191
16.0,9859.0,16.0,5215.080201392673
17.0,8257.0,17.0,5004.997221822455
18.0,6879.0,18.0,4801.816118316811
19.0,6457.0,19.0,4605.362232037179
20.0,5540.0,20.0,4415.463985071546
21.0,4045.0,21.0,4231.952850083282
22.0,3613.0,22.0,4054.6633200188335
23.0,3036.0,23.0,3883.4328778745294
24.0,4557.0,24.0,3718.1019665229965
25.0,4403.0,25.0,3558.5139585994334
26.0,3826.0,26.0,3404.5151264482
27.0,3859.0,27.0,3255.9546121300523
28.0,3033.0,28.0,3112.684397490452
29.0,2329.0,29.0,2974.559274289289
30.0,1727.0,30.0,2841.4368143924808
31.0,2253.0,31.0,2713.177340025781
32.0,4937.0,32.0,2589.643894091258
33.0,1419.0,33.0,2470.7022105468473
34.0,2738.0,34.0,2356.220684849388
35.0,1099.0,35.0,2246.070344461573
36.0,1296.0,36.0,2140.1248194232758
37.0,159.0,37.0,2038.2603129876597
38.0,172.0,38.0,1940.3555723225425
39.0,308.0,39.0,1846.291859277462
40.0,2298.0,40.0,1755.9529212169227
41.0,738.0,41.0,1669.2249619202805
42.0,715.0,42.0,1585.9966125487479
43.0,611.0,43.0,1506.1589026800161
44.0,974.0,44.0,1429.6052314109802
45.0,191.0,45.0,1356.2313385290915
46.0,165.0,46.0,1285.9352757528175
47.0,1383.0,47.0,1218.6173780417748
48.0,794.0,48.0,1154.1802349770303
49.0,455.0,49.0,1092.5286622121343
50.0,546.0,50.0,1033.569672995427
51.0,302.0,51.0,977.2124497641925
52.0,376.0,52.0,923.3683158112107
53.0,680.0,53.0,871.9507070243171
54.0,360.0,54.0,822.8751436995406
55.0,630.0,55.0,776.0592024284385
56.0,527.0,56.0,731.4224880602388
57.0,321.0,57.0,688.8866057394279
58.0,223.0,58.0,648.3751330194076
59.0,273.0,59.0,609.8135920528985
60.0,458.0,60.0,573.129421859735
61.0,214.0,61.0,538.2519506727492
62.0,306.0,62.0,505.112368362427
63.0,18.0,63.0,473.6436989410559
64.0,399.0,64.0,443.78077314708275
65.0,396.0,65.0,415.4602011104211
66.0,335.0,66.0,388.620345099468
67.0,257.0,67.0,363.2012923506004
68.0,329.0,68.0,339.1448279809406
69.0,295.0,69.0,316.39440798520076
70.0,256.0,70.0,294.8951323174309
71.0,289.0,71.0,274.5937180585139
72.0,161.0,72.0,255.43847267027505
73.0,323.0,73.0,237.3792673370892
74.0,296.0,74.0,220.36751039589615
75.0,72.0,75.0,204.3561208555469
76.0,310.0,76.0,189.2995020064366
77.0,520.0,77.0,175.15351512140086
78.0,239.0,78.0,161.87545324887128
79.0,412.0,79.0,149.42401509931943
80.0,565.0,80.0,137.75927902604357
81.0,513.0,81.0,126.84267710137479
82.0,440.0,82.0,116.63696928941769
83.0,469.0,83.0,107.10621771646281
