t,q,t_model,q_model
2011-01-01,7676.0,2012-09-01,9488.992702027803
2011-02-01,7061.0,2012-10-01,8233.28021290556
2011-03-01,7049.0,2012-11-01,7205.787595744352
2011-04-01,13962.0,2012-12-01,6354.981954512868
2011-05-01,9670.0,2013-01-01,5643.003930597169
2011-06-01,8848.0,2013-02-01,5041.551866733259
2011-07-01,8152.0,2013-03-01,4529.138018908411
2011-08-01,6864.0,2013-04-01,4089.218992349147
2011-09-01,5574.0,2013-05-01,3708.896628909462
2011-10-01,4479.0,2013-06-01,3377.9991776104425
2011-11-01,6052.0,2013-07-01,3088.42092430758
2011-12-01,5638.0,2013-08-01,2833.6405942411698
2012-01-01,7266.0,2013-09-01,2608.365406037061
2012-02-01,7955.0,2013-10-01,2408.26474583198
2012-03-01,7875.0,2013-11-01,2229.7686306421906
2012-04-01,5776.0,2013-12-01,2069.9135966585204
2012-05-01,6470.0,2014-01-01,1926.223704327061
2012-06-01,2461.0,2014-02-01,1796.6178260474157
2012-07-01,5768.0,2014-03-01,1679.336801547359
2012-08-01,5518.0,2014-04-01,1572.8857519357018
2012-09-01,9859.0,2014-05-01,1475.9880605269032
2012-10-01,8257.0,2014-06-01,1387.54840638535
2012-11-01,6879.0,2014-07-01,1306.6228762176306
2012-12-01,6457.0,2014-08-01,1232.3946508644628
2013-01-01,5540.0,2014-09-01,1164.1541120309146
2013-02-01,4045.0,2014-10-01,1101.2824764931802
2013-03-01,3613.0,2014-11-01,1043.2382624705717
2013-04-01,3036.0,2014-12-01,989.5460430201739
2013-05-01,4557.0,2015-01-01,939.7870563460308
2013-06-01,4403.0,2015-02-01,893.5913316387046
2013-07-01,3826.0,2015-03-01,850.6310579374849
2013-08-01,3859.0,2015-04-01,810.6149773071488
2013-09-01,3033.0,2015-05-01,773.2836258917274
2013-10-01,2329.0,2015-06-01,738.4052798063985
2013-11-01,1727.0,2015-07-01,705.7724893588198
2013-12-01,2253.0,2015-08-01,675.1991062733756
2014-01-01,4937.0,2015-09-01,646.517725586787
2014-02-01,1419.0,2015-10-01,619.5774775829237
2014-03-01,2738.0,2015-11-01,594.2421162271509
2014-04-01,1099.0,2015-12-01,570.3883595808612
2014-05-01,1296.0,2016-01-01,547.9044450424375
2014-06-01,159.0,2016-02-01,526.6888682991807
2014-07-01,172.0,2016-03-01,506.6492798438301
2014-08-01,308.0,2016-04-01,487.7015170135207
2014-09-01,2298.0,2016-05-01,469.7687529109117
2014-10-01,738.0,2016-06-01,452.78074639656523
2014-11-01,715.0,2016-07-01,436.67317970256045
2014-12-01,611.0,2016-08-01,421.38707219359037
2015-01-01,974.0,2016-09-01,406.8682604611446
2015-02-01,191.0,2016-10-01,393.0669363337794
2015-03-01,165.0,2016-11-01,379.93723556661456
2015-04-01,1383.0,2016-12-01,367.43687097263086
2015-05-01,794.0,2017-01-01,355.5268046070016
2015-06-01,455.0,2017-02-01,344.17095433818076
2015-07-01,546.0,2017-03-01,333.33593075609895
2015-08-01,302.0,2017-04-01,322.99080089538705
2015-09-01,376.0,2017-05-01,313.10687570395817
2015-10-01,680.0,2017-06-01,303.65751857615464
2015-11-01,360.0,2017-07-01,294.6179726046575
2015-12-01,630.0,2017-08-01,285.96520449455187
2016-01-01,527.0,2017-09-01,277.6777633331329
2016-02-01,321.0,2017-10-01,269.73565262591643
2016-03-01,223.0,2017-11-01,262.1202141977051
2016-04-01,273.0,2017-12-01,254.81402272149737
2016-05-01,458.0,2018-01-01,247.80078978097083
2016-06-01,214.0,2018-02-01,241.06527649712515
2016-07-01,306.0,2018-03-01,234.59321385892503
2016-08-01,18.0,2018-04-01,228.37122999354884
2016-09-01,399.0,2018-05-01,222.38678369593373
2016-10-01,396.0,2018-06-01,216.62810361126031
2016-11-01,335.0,2018-07-01,211.08413252915966
2016-12-01,257.0,2018-08-01,205.7444763058976
2017-01-01,329.0,2018-09-01,200.5993569815739
2017-02-01,295.0,2018-10-01,195.639569704311
2017-03-01,256.0,2018-11-01,190.85644311322972
2017-04-01,289.0,2018-12-01,186.24180286735333
2017-05-01,161.0,2019-01-01,181.7879380389878
2017-06-01,323.0,2019-02-01,177.48757011807533
2017-07-01,296.0,2019-03-01,173.33382439892478
2017-08-01,72.0,2019-04-01,169.32020354294127
2017-09-01,310.0,2019-05-01,165.44056313082896
2017-10-01,520.0,2019-06-01,161.68908903549706
2017-11-01,239.0,2019-07-01,158.06027646279762
2017-12-01,412.0,2019-08-01,154.5489105214831
2018-01-01,565.0,2019-09-01,151.15004819656608
2018-02-01,513.0,2019-10-01,147.85900161176454
2018-03-01,440.0,2019-11-01,144.6713224770627
2018-04-01,469.0,2019-12-01,141.58278762673436
2018-05-01,471.0,2020-01-01,138.58938556157676
2018-06-01,300.0,2020-02-01,135.6873039166857
2018-07-01,186.0,2020-03-01,132.87291778295187
2018-08-01,364.0,2020-04-01,130.14277881665316
2018-09-01,71.0,2020-05-01,127.4936050771267
2018-10-01,106.0,2020-06-01,124.92227153758448
2018-11-01,272.0,2020-07-01,122.42580121874552
2018-12-01,85.0,2020-08-01,120.00135689914232
2019-01-01,143.0,2020-09-01,117.64623335975965
2019-02-01,167.0,2020-10-01,115.35785012412187
2019-03-01,137.0,2020-11-01,113.13374465809258
2019-04-01,149.0,2020-12-01,110.9715659965167
2019-05-01,24.0,2021-01-01,108.8690687664498
2019-06-01,97.0,2021-02-01,106.82410757910552
2019-07-01,93.0,2021-03-01,104.83463176483058
2019-08-01,118.0,2021-04-01,102.89868042740814
2019-09-01,42.0,2021-05-01,101.01437779581295
2019-10-01,0.0,2021-06-01,99.17992885320898
2019-11-01,0.0,2021-07-01,97.39361522450818
2019-12-01,0.0,2021-08-01,95.65379130521028
2020-01-01,0.0,2021-09-01,93.95888061552922
2020-02-01,0.0,2021-10-01,92.30737236499093
2020-03-01,0.0,2021-11-01,90.69781821377308
2020-04-01,40.0,2021-12-01,89.12882921805327
2020-05-01,26.0,2022-01-01,87.59907294755027
2020-06-01,391.0,2022-02-01,86.10727076428762
2020-07-01,295.0,2022-03-01,84.652195252387
2020-08-01,119.0,2022-04-01,83.232667789416
2020-09-01,84.0,2022-05-01,81.84755625047787
2020-10-01,79.0,2022-06-01,80.49577283684046
2020-11-01,23.0,2022-07-01,79.17627202146737
2020-12-01,0.0,2022-08-01,77.88804860433505
2021-01-01,0.0,2022-09-01,76.63013587090235
