t,q,t_model,q_model
0.0,710.0,0.0,710.0
1.0,421.0,1.0,503.8888312479626
2.0,312.0,2.0,410.28164093512083
3.0,289.0,3.0,354.1117792831323
4.0,180.0,4.0,315.7046998550234
5.0,204.0,5.0,287.3472751936241
6.0,157.0,6.0,265.3194752083306
7.0,97.0,7.0,247.5790263343008
8.0,700.0,8.0,232.89980314615707
9.0,324.0,9.0,220.49561592840024
10.0,294.0,10.0,209.83623285603272
11.0,229.0,11.0,200.549421500171
12.0,278.0,12.0,192.3652067677147
13.0,191.0,13.0,185.08240900316116
14.0,215.0,14.0,178.54765264929782
15.0,183.0,15.0,172.64170271565314
16.0,173.0,16.0,167.27028710964194
17.0,237.0,17.0,162.3577628443671
18.0,169.0,18.0,157.84264053659984
19.0,164.0,19.0,153.67435570053115
20.0,229.0,20.0,149.81089628319472
21.0,162.0,21.0,146.21703052638495
22.0,228.0,22.0,142.86296359465743
23.0,56.0,23.0,139.72330558323137
24.0,176.0,24.0,136.77626909284956
25.0,103.0,25.0,134.0030383909932
26.0,194.0,26.0,131.38726843880144
27.0,60.0,27.0,128.9146833424183
28.0,129.0,28.0,126.5727517318084
29.0,96.0,29.0,124.35042224424251
30.0,104.0,30.0,122.23790639499613
31.0,76.0,31.0,120.22649912376171
32.0,7.0,32.0,118.30842953078569
33.0,193.0,33.0,116.47673598152448
34.0,88.0,34.0,114.72516101599227
35.0,0.0,35.0,113.04806245723978
36.0,191.0,36.0,111.44033784990174
37.0,46.0,37.0,109.89735993031252
38.0,120.0,38.0,108.41492127501134
39.0,65.0,39.0,106.98918662448527
40.0,0.0,40.0,105.61665165595896
41.0,106.0,41.0,104.2941071995672
42.0,56.0,42.0,103.01860806888901
43.0,53.0,43.0,101.78744581911583
44.0,64.0,44.0,100.59812486136659
45.0,47.0,45.0,99.44834145547168
46.0,63.0,46.0,98.33596518028405
47.0,53.0,47.0,97.25902254363807
48.0,55.0,48.0,96.21568244613096
49.0,64.0,49.0,95.20424325605444
50.0,130.0,50.0,94.22312128871933
51.0,3.0,51.0,93.27084051342587
52.0,62.0,52.0,92.34602333650197
53.0,65.0,53.0,91.4473823300141
54.0,69.0,54.0,90.57371279364693
55.0,58.0,55.0,89.72388605240768
56.0,56.0,56.0,88.89684340569609
57.0,64.0,57.0,88.09159065426942
58.0,55.0,58.0,87.30719314102588
,,59.0,86.54277124958703
,,60.0,85.79749631158835
,,61.0,85.07058687955909
,,62.0,84.36130532743637
,,63.0,83.66895474523105
,,64.0,82.99287609824873
,,65.0,82.33244562465138
,,66.0,81.68707244809599
,,67.0,81.05619638476671
,,68.0,80.43928592637782
,,69.0,79.83583638270954
,,70.0,79.24536816898441
,,71.0,78.6674252249309
,,72.0,78.10157355373974
,,73.0,77.54739987031996
,,74.0,77.00451034932676
,,75.0,76.4725294643786
,,76.0,75.95109891072134
,,77.0,75.43987660434534
,,78.0,74.93853575122938
,,79.0,74.44676398098083
,,80.0,73.96426253967542
,,81.0,73.49074553717745
,,82.0,73.02593924464972
,,83.0,72.56958143834797
,,84.0,72.1214207861405
,,85.0,71.681216273506
,,86.0,71.24873666604354
,,87.0,70.8237600057832
,,88.0,70.40607313881495
,,89.0,69.99547127196175
,,90.0,69.59175755641091
,,91.0,69.19474269638866
,,92.0,68.80424458111821
,,93.0,68.42008793844256
,,94.0,68.04210400862182
,,95.0,67.67013023693164
,,96.0,67.30400998379632
,,97.0,66.94359225128723
,,98.0,66.58873142490644
