t,q,t_model,q_model
2018-06-01,1584.0,2018-07-01,671.0341098418321
2018-07-01,710.0,2018-08-01,476.2346385010109
2018-08-01,421.0,2018-09-01,387.76475452020424
2018-09-01,312.0,2018-10-01,334.6775811207944
2018-10-01,289.0,2018-11-01,298.37834118323724
2018-11-01,180.0,2018-12-01,271.5772155282106
2018-12-01,204.0,2019-01-01,250.75833502834388
2019-01-01,157.0,2019-02-01,233.99150922780993
2019-02-01,97.0,2019-03-01,220.11790434721047
2019-03-01,700.0,2019-04-01,208.39447796977544
2019-04-01,324.0,2019-05-01,198.32009820719904
2019-05-01,294.0,2019-06-01,189.5429613178333
2019-06-01,229.0,2019-07-01,181.80790885621607
2019-07-01,278.0,2019-08-01,174.9248022152368
2019-08-01,191.0,2019-09-01,168.74868332376084
2019-09-01,215.0,2019-10-01,163.16686099067115
2019-10-01,183.0,2019-11-01,158.0902369205722
2019-11-01,173.0,2019-12-01,153.4473195298326
2019-12-01,237.0,2020-01-01,149.17999406698812
2020-01-01,169.0,2020-02-01,145.24047110284928
2020-02-01,164.0,2020-03-01,141.5890442704234
2020-03-01,229.0,2020-04-01,138.19241538449114
2020-04-01,162.0,2020-05-01,135.02242479592536
2020-05-01,228.0,2020-06-01,132.05507603690415
2020-06-01,56.0,2020-07-01,129.26977743409464
2020-07-01,176.0,2020-08-01,126.64874589126899
2020-08-01,103.0,2020-09-01,124.17653341039573
2020-09-01,194.0,2020-10-01,121.83964758059341
2020-10-01,60.0,2020-11-01,119.6262447726553
2020-11-01,129.0,2020-12-01,117.52588013960737
2020-12-01,96.0,2021-01-01,115.52930240379638
2021-01-01,104.0,2021-02-01,113.62828425199048
2021-02-01,76.0,2021-03-01,111.81548126334634
2021-03-01,7.0,2021-04-01,110.0843138685132
2021-04-01,193.0,2021-05-01,108.42886802651724
2021-05-01,88.0,2021-06-01,106.84381121174329
2021-06-01,0.0,2021-07-01,105.32432099941104
2021-07-01,191.0,2021-08-01,103.8660240771897
2021-08-01,46.0,2021-09-01,102.46494393147823
2021-09-01,120.0,2021-10-01,101.11745578769454
2021-10-01,65.0,2021-11-01,99.82024764567785
2021-11-01,0.0,2021-12-01,98.57028645973264
2021-12-01,106.0,2022-01-01,97.36478867979088
2022-01-01,56.0,2022-02-01,96.20119450465367
2022-02-01,53.0,2022-03-01,95.0771453071896
2022-03-01,64.0,2022-04-01,93.99046378002677
2022-04-01,47.0,2022-05-01,92.93913642280184
2022-05-01,63.0,2022-06-01,91.92129805162938
2022-06-01,53.0,2022-07-01,90.93521806065334
2022-07-01,55.0,2022-08-01,89.97928820632639
2022-08-01,64.0,2022-09-01,89.05201171900669
2022-09-01,130.0,2022-10-01,88.15199357482565
2022-10-01,3.0,2022-11-01,87.27793178456712
2022-11-01,62.0,2022-12-01,86.42860957631929
2022-12-01,65.0,2023-01-01,85.60288836556991
2023-01-01,69.0,2023-02-01,84.79970142074276
2023-02-01,58.0,2023-03-01,84.01804814435214
2023-03-01,56.0,2023-04-01,83.25698890033625
2023-04-01,64.0,2023-05-01,82.51564032701016
2023-05-01,55.0,2023-06-01,81.79317108269287
,,2023-07-01,81.08879797761206
,,2023-08-01,80.40178245133406
,,2023-09-01,79.73142735984686
,,2023-10-01,79.07707404065162
,,2023-11-01,78.43809962788986
,,2023-12-01,77.81391459273097
,,2024-01-01,77.20396048703287
,,2024-02-01,76.60770787072768
,,2024-03-01,76.0246544055205
,,2024-04-01,75.45432309936571
,,2024-05-01,74.89626068783481
,,2024-06-01,74.35003613994421
,,2024-07-01,73.81523927729594
,,2024-08-01,73.29147949651939
,,2024-09-01,72.77838458600934
,,2024-10-01,72.2755996288487
,,2024-11-01,71.78278598459836
,,2024-12-01,71.29962034334442
,,2025-01-01,70.82579384602327
,,2025-02-01,70.36101126560906
,,2025-03-01,69.90499024425164
,,2025-04-01,69.45746058190488
,,2025-05-01,69.01816357239048
,,2025-06-01,68.58685138320588
,,2025-07-01,68.16328647571268
,,2025-08-01,67.74724106263655
,,2025-09-01,67.33849660007554
,,2025-10-01,66.93684331145391
,,2025-11-01,66.54207974107551
,,2025-12-01,66.1540123351273
,,2026-01-01,65.77245504816167
,,2026-02-01,65.39722897324758
,,2026-03-01,65.02816199412727
,,2026-04-01,64.66508845784884
,,2026-05-01,64.30784886646606
,,2026-06-01,63.956289586507424
,,2026-07-01,63.61026257501767
,,2026-08-01,63.269625121066326
,,2026-09-01,62.934239601702714
