t,q,t_model,q_model
0.0,159.0,0.0,159.0
1.0,153.0,1.0,182.62996624286745
2.0,221.0,2.0,183.61845077995957
3.0,194.0,3.0,184.19915550528185
4.0,191.0,4.0,184.6122854955064
5.0,180.0,5.0,184.9333720026483
6.0,176.0,6.0,185.19613328693532
7.0,191.0,7.0,185.41858603634137
8.0,167.0,8.0,185.61149934403014
9.0,189.0,9.0,185.78182753393315
,,10.0,185.93432373231536
,,11.0,186.07238115409874
,,12.0,186.19850721229878
,,13.0,186.31460743342151
,,14.0,186.42216398735954
,,15.0,186.52235255294298
,,16.0,186.61612143841762
,,17.0,186.7042467047199
,,18.0,186.78737152970405
,,19.0,186.86603492943982
,,20.0,186.94069311379195
,,21.0,187.01173563328385
,,22.0,187.07949777138668
,,23.0,187.1442701836805
,,24.0,187.20630648688146
,,25.0,187.26582929980128
,,26.0,187.32303510044784
,,27.0,187.3780981672571
,,28.0,187.43117380422515
,,29.0,187.48240100064655
,,30.0,187.53190464040662
,,31.0,187.57979734939846
,,32.0,187.62618104995772
,,33.0,187.6711482763742
,,34.0,187.71478329424542
,,35.0,187.7571630577661
,,36.0,187.79835803232467
,,37.0,187.83843290453365
,,38.0,187.87744719769023
,,39.0,187.91545580739444
,,40.0,187.95250946944304
,,41.0,187.98865517002437
,,42.0,188.02393650654892
,,43.0,188.0583940060791
,,44.0,188.09206540720112
,,45.0,188.12498591026397
,,46.0,188.15718840015313
,,47.0,188.18870364513924
,,48.0,188.2195604748217
,,49.0,188.2497859397501
