t,q,t_model,q_model
0.0,159.0,0.0,159.00000692010775
1.0,153.0,1.0,182.6299741914149
2.0,221.0,2.0,183.6184587715285
3.0,194.0,3.0,184.19916352212462
4.0,191.0,4.0,184.61229353032974
5.0,180.0,5.0,184.93338005144616
6.0,176.0,6.0,185.1961413471693
7.0,191.0,7.0,185.41859410625707
8.0,167.0,8.0,185.61150742234193
9.0,189.0,9.0,185.78183561965807
,,10.0,185.93433182467734
,,11.0,186.07238925246935
,,12.0,186.19851531615873
,,13.0,186.31461554233445
,,14.0,186.42217210095365
,,15.0,186.52236067089754
,,16.0,186.61612956045326
,,17.0,186.70425483059103
,,18.0,186.78737965919296
,,19.0,186.86604306235236
,,20.0,186.94070124995383
,,21.0,187.0117437725377
,,22.0,187.0795059135897
,,23.0,187.1442783287026
,,24.0,187.20631463460356
,,25.0,187.26583745011396
,,26.0,187.32304325325026
,,27.0,187.37810632245603
,,28.0,187.43118196173407
,,29.0,187.48240916038503
,,30.0,187.53191280229964
,,31.0,187.57980551337587
,,32.0,187.62618921595387
,,33.0,187.67115644432744
,,34.0,187.7147914640978
,,35.0,187.75717122946295
,,36.0,187.79836620581443
,,37.0,187.8384410797676
,,38.0,187.87745537462217
,,39.0,187.9154639859806
,,40.0,187.9525176496419
,,41.0,187.98866335179636
,,42.0,188.02394468985648
,,43.0,188.05840219088634
,,44.0,188.09207359347383
,,45.0,188.12499409796948
,,46.0,188.15719658926017
,,47.0,188.1887118356179
,,48.0,188.21956866664334
,,49.0,188.24979413288722
