t,q,t_model,q_model
0.0,3716.0,0.0,3726.6357008779714
1.0,3157.0,1.0,3661.3919091889375
2.0,2276.0,2.0,3595.504368720075
3.0,2033.0,3.0,3528.948091338702
4.0,1767.0,4.0,3461.6963526808454
5.0,3321.0,5.0,3393.720515018665
6.0,3134.0,6.0,3324.989825929559
7.0,2721.0,7.0,3255.4711885696984
8.0,2961.0,8.0,3185.1288984616563
9.0,2646.0,9.0,3113.924340585142
10.0,2020.0,10.0,3041.815639143369
11.0,3016.0,11.0,2968.757250573194
12.0,3063.0,12.0,2894.699488049567
13.0,4584.0,13.0,2819.587962731435
14.0,4885.0,14.0,2743.3629230668334
15.0,9183.0,15.0,2665.958468280889
16.0,5154.0,16.0,2587.3016052281223
17.0,4545.0,17.0,2507.311108399115
18.0,4130.0,18.0,2425.896130000005
19.0,1955.0,19.0,2342.9544891279465
20.0,1187.0,20.0,2258.3705437935146
21.0,1022.0,21.0,2172.012513230679
22.0,870.0,22.0,2083.7290647607124
23.0,895.0,23.0,1993.3448999354066
24.0,987.0,24.0,1900.6549528401688
25.0,1361.0,25.0,1805.4166217151717
26.0,510.0,26.0,1707.3391440306543
27.0,1033.0,27.0,1606.068702600658
28.0,979.0,28.0,1501.1669359056232
29.0,873.0,29.0,1392.0788471529106
30.0,736.0,30.0,1278.0828433441834
31.0,829.0,31.0,1158.2088325842626
32.0,766.0,32.0,1031.0948281992269
33.0,807.0,33.0,894.7130551790567
34.0,601.0,34.0,745.7792053618554
35.0,704.0,35.0,578.2202837054244
36.0,197.0,36.0,377.66062204249664
37.0,453.0,37.0,65.38661911615264
,,38.0,
,,39.0,
,,40.0,
,,41.0,
,,42.0,
,,43.0,
,,44.0,
,,45.0,
,,46.0,
,,47.0,
,,48.0,
,,49.0,
,,50.0,
,,51.0,
,,52.0,
,,53.0,
,,54.0,
,,55.0,
,,56.0,
,,57.0,
,,58.0,
,,59.0,
,,60.0,
,,61.0,
,,62.0,
,,63.0,
,,64.0,
,,65.0,
,,66.0,
,,67.0,
,,68.0,
,,69.0,
,,70.0,
,,71.0,
,,72.0,
,,73.0,
,,74.0,
,,75.0,
,,76.0,
,,77.0,
