t,q,t_model,q_model
2019-02-01,12134.0,2020-03-01,3962.1513783121086
2019-03-01,5251.0,2020-04-01,3889.793198623894
2019-04-01,9506.0,2020-05-01,3816.832213351372
2019-05-01,10872.0,2020-06-01,3743.246473794132
2019-06-01,8071.0,2020-07-01,3669.0125803027468
2019-07-01,6208.0,2020-08-01,3594.105540722608
2019-08-01,6637.0,2020-09-01,3518.498610302894
2019-09-01,6819.0,2020-10-01,3442.163109986193
2019-10-01,7637.0,2020-11-01,3365.0682193644684
2019-11-01,8757.0,2020-12-01,3287.180739803161
2019-12-01,6336.0,2021-01-01,3208.4648222530677
2020-01-01,4010.0,2021-02-01,3128.881653029978
2020-02-01,4319.0,2021-03-01,3048.3890892655127
2020-03-01,5405.0,2021-04-01,2966.9412337107583
2020-04-01,3716.0,2021-05-01,2884.4879359587076
2020-05-01,3157.0,2021-06-01,2800.9742037352676
2020-06-01,2276.0,2021-07-01,2716.339503401134
2020-07-01,2033.0,2021-08-01,2630.516922793374
2020-08-01,1767.0,2021-09-01,2543.4321614166847
2020-09-01,3321.0,2021-10-01,2455.002301889418
2020-10-01,3134.0,2021-11-01,2365.1343011433814
2020-11-01,2721.0,2021-12-01,2273.723118168387
2020-12-01,2961.0,2022-01-01,2180.6493639765317
2021-01-01,2646.0,2022-02-01,2085.776314007091
2021-02-01,2020.0,2022-03-01,1988.9460553790132
2021-03-01,3016.0,2022-04-01,1889.9744378076607
2021-04-01,3063.0,2022-05-01,1788.644334489012
2021-05-01,4584.0,2022-06-01,1684.6964564583766
2021-06-01,4885.0,2022-07-01,1577.8165239222676
2021-07-01,9183.0,2022-08-01,1467.6168309627474
2021-08-01,5154.0,2022-09-01,1353.6088375474376
2021-09-01,4545.0,2022-10-01,1235.160708672074
2021-10-01,4130.0,2022-11-01,1111.4280907440675
2021-11-01,1955.0,2022-12-01,981.2336787075848
2021-12-01,1187.0,2023-01-01,842.8388817195348
2022-01-01,1022.0,2023-02-01,693.4557534094351
2022-02-01,870.0,2023-03-01,527.9957265018518
2022-03-01,895.0,2023-04-01,334.6422507913642
2022-04-01,987.0,2023-05-01,52.02310393822316
2022-05-01,1361.0,2023-06-01,
2022-06-01,510.0,2023-07-01,
2022-07-01,1033.0,2023-08-01,
2022-08-01,979.0,2023-09-01,
2022-09-01,873.0,2023-10-01,
2022-10-01,736.0,2023-11-01,
2022-11-01,829.0,2023-12-01,
2022-12-01,766.0,2024-01-01,
2023-01-01,807.0,2024-02-01,
2023-02-01,601.0,2024-03-01,
2023-03-01,704.0,2024-04-01,
2023-04-01,197.0,2024-05-01,
2023-05-01,453.0,2024-06-01,
,,2024-07-01,
,,2024-08-01,
,,2024-09-01,
,,2024-10-01,
,,2024-11-01,
,,2024-12-01,
,,2025-01-01,
,,2025-02-01,
,,2025-03-01,
,,2025-04-01,
,,2025-05-01,
,,2025-06-01,
,,2025-07-01,
,,2025-08-01,
,,2025-09-01,
,,2025-10-01,
,,2025-11-01,
,,2025-12-01,
,,2026-01-01,
,,2026-02-01,
,,2026-03-01,
,,2026-04-01,
,,2026-05-01,
,,2026-06-01,
,,2026-07-01,
,,2026-08-01,
,,2026-09-01,
,,2026-10-01,
,,2026-11-01,
,,2026-12-01,
,,2027-01-01,
,,2027-02-01,
,,2027-03-01,
,,2027-04-01,
,,2027-05-01,
,,2027-06-01,
,,2027-07-01,
,,2027-08-01,
,,2027-09-01,
,,2027-10-01,
,,2027-11-01,
,,2027-12-01,
,,2028-01-01,
,,2028-02-01,
,,2028-03-01,
,,2028-04-01,
,,2028-05-01,
,,2028-06-01,
,,2028-07-01,
,,2028-08-01,
,,2028-09-01,
,,2028-10-01,
,,2028-11-01,
,,2028-12-01,
,,2029-01-01,
,,2029-02-01,
,,2029-03-01,
,,2029-04-01,
,,2029-05-01,
,,2029-06-01,
,,2029-07-01,
,,2029-08-01,
,,2029-09-01,
,,2029-10-01,
,,2029-11-01,
,,2029-12-01,
,,2030-01-01,
,,2030-02-01,
,,2030-03-01,
,,2030-04-01,
,,2030-05-01,
,,2030-06-01,
,,2030-07-01,
,,2030-08-01,
,,2030-09-01,
,,2030-10-01,
,,2030-11-01,
,,2030-12-01,
,,2031-01-01,
,,2031-02-01,
,,2031-03-01,
,,2031-04-01,
,,2031-05-01,
,,2031-06-01,
,,2031-07-01,
,,2031-08-01,
,,2031-09-01,
