t,q,t_model,q_model
0.0,16560.0,0.0,16560.0
1.0,15879.0,1.0,12142.703757970423
2.0,11237.0,2.0,9493.351903177847
3.0,8683.0,3.0,7741.227038911509
4.0,5586.0,4.0,6503.308304660156
5.0,5460.0,5.0,5585.907130003233
6.0,3416.0,6.0,4881.005689020117
7.0,3728.0,7.0,4323.813890475691
8.0,4811.0,8.0,3873.214903017176
9.0,2728.0,9.0,3501.9129564181812
10.0,423.0,10.0,3191.1075030615702
11.0,2855.0,11.0,2927.4454790594277
12.0,4000.0,12.0,2701.1931058161254
13.0,2517.0,13.0,2505.0948922717203
14.0,3192.0,14.0,2333.6370108857554
15.0,3389.0,15.0,2182.5576191619334
16.0,3475.0,16.0,2048.5129188397323
17.0,3440.0,17.0,1928.84423868836
18.0,2784.0,18.0,1821.412300434289
19.0,2605.0,19.0,1724.4771636771816
20.0,2069.0,20.0,1636.609851169266
21.0,2293.0,21.0,1556.6263422401425
22.0,2610.0,22.0,1483.5376173618004
23.0,1468.0,23.0,1416.511391971358
24.0,1171.0,24.0,1354.8424785688644
25.0,536.0,25.0,1297.9295969790187
26.0,1170.0,26.0,1245.2570587697862
27.0,1390.0,27.0,1196.3801750656794
28.0,655.0,28.0,1150.9135366019789
29.0,1565.0,29.0,1108.521529648323
30.0,1452.0,30.0,1068.9106072181369
31.0,785.0,31.0,1031.8229492189346
32.0,1276.0,32.0,997.0312298276168
33.0,377.0,33.0,964.33427367019
34.0,948.0,34.0,933.5534301503923
35.0,694.0,35.0,904.5295316216149
36.0,985.0,36.0,877.1203289792913
37.0,333.0,37.0,851.1983197993005
38.0,523.0,38.0,826.6489009189586
39.0,1252.0,39.0,803.3687904975044
40.0,702.0,40.0,781.2646749540648
41.0,838.0,41.0,760.252044399969
42.0,777.0,42.0,740.2541867392699
43.0,751.0,43.0,721.2013158709648
44.0,910.0,44.0,703.0298136673069
45.0,779.0,45.0,685.6815688390288
46.0,705.0,46.0,669.1033985960175
47.0,890.0,47.0,653.2465413000242
48.0,292.0,48.0,638.0662101852905
49.0,816.0,49.0,623.5211997729479
50.0,942.0,50.0,609.5735378884926
51.0,979.0,51.0,596.1881772584293
52.0,863.0,52.0,583.3327215521306
53.0,1000.0,53.0,570.9771814800207
54.0,1033.0,54.0,559.0937571850187
55.0,1077.0,55.0,547.65664369162
,,56.0,536.6418566228654
,,57.0,526.0270757735196
,,58.0,515.7915044493207
,,59.0,505.91574275634144
,,60.0,496.3816732589945
,,61.0,487.172357626233
,,62.0,478.2719430583051
,,63.0,469.6655774353111
,,64.0,461.33933225741237
,,65.0,453.2801325578763
,,66.0,445.4756930667333
,,67.0,437.91445998681826
,,68.0,430.5855578171443
,,69.0,423.47874072246896
,,70.0,416.5843480038019
,,71.0,409.893263273611
,,72.0,403.39687698250845
,,73.0,397.0870519820553
,,74.0,390.9560918416836
,,75.0,384.9967116671884
,,76.0,379.2020111942853
,,77.0,373.56544995379886
,,78.0,368.0808243255105
,,79.0,362.7422463158792
,,80.0,357.54412391102403
,,81.0,352.4811428707826
,,82.0,347.54824984251945
,,83.0,342.7406366848621
,,84.0,338.0537259018314
,,85.0,333.4831570970515
,,86.0,329.0247743660004
,,87.0,324.6746145516917
,,88.0,320.42889629586404
,,89.0,316.2840098237745
,,90.0,312.23650740612123
,,91.0,308.28309444651666
,,92.0,304.4206211473653
,,93.0,300.6460747110007
,,94.0,296.9565720365677
,,95.0,293.34935287642116
