t,q,t_model,q_model
2018-06-01,12902.0,2018-11-01,16081.210748602463
2018-07-01,21021.0,2018-12-01,10570.125528629611
2018-08-01,23013.0,2019-01-01,7990.772238196335
2018-09-01,22024.0,2019-02-01,6476.159619158555
2018-10-01,16560.0,2019-03-01,5472.527389737467
2018-11-01,15879.0,2019-04-01,4755.2157477443525
2018-12-01,11237.0,2019-05-01,4215.185632745303
2019-01-01,8683.0,2019-06-01,3792.8880042800897
2019-02-01,5586.0,2019-07-01,3452.9483779676834
2019-03-01,5460.0,2019-08-01,3172.982075511475
2019-04-01,3416.0,2019-09-01,2938.108127077833
2019-05-01,3728.0,2019-10-01,2738.034194243601
2019-06-01,4811.0,2019-11-01,2565.406223231652
2019-07-01,2728.0,2019-12-01,2414.8246490260103
2019-08-01,423.0,2020-01-01,2282.232266980013
2019-09-01,2855.0,2020-02-01,2164.5193260232236
2019-10-01,4000.0,2020-03-01,2059.2607423718136
2019-11-01,2517.0,2020-04-01,1964.53647403067
2019-12-01,3192.0,2020-05-01,1878.8058213624738
2020-01-01,3389.0,2020-06-01,1800.8176219642053
2020-02-01,3475.0,2020-07-01,1729.544896283307
2020-03-01,3440.0,2020-08-01,1664.1364954998714
2020-04-01,2784.0,2020-09-01,1603.880792810992
2020-05-01,2605.0,2020-10-01,1548.1780490209687
2020-06-01,2069.0,2020-11-01,1496.519121055881
2020-07-01,2293.0,2020-12-01,1448.4688729936624
2020-08-01,2610.0,2021-01-01,1403.653117693202
2020-09-01,1468.0,2021-02-01,1361.7482400488448
2020-10-01,1171.0,2021-03-01,1322.4728789118465
2020-11-01,536.0,2021-04-01,1285.5812051250416
2020-12-01,1170.0,2021-05-01,1250.857448436388
2021-01-01,1390.0,2021-06-01,1218.111409961255
2021-02-01,655.0,2021-07-01,1187.1747585930348
2021-03-01,1565.0,2021-08-01,1157.897955650308
2021-04-01,1452.0,2021-09-01,1130.1476864933866
2021-05-01,785.0,2021-10-01,1103.8047039330422
2021-06-01,1276.0,2021-11-01,1078.7620081848227
2021-07-01,377.0,2021-12-01,1054.923303469987
2021-08-01,948.0,2022-01-01,1032.2016832719337
2021-09-01,694.0,2022-02-01,1010.518505561931
2021-10-01,985.0,2022-03-01,989.8024266279803
2021-11-01,333.0,2022-04-01,969.988567935904
2021-12-01,523.0,2022-05-01,951.0177950676385
2022-01-01,1252.0,2022-06-01,932.8360914793428
2022-02-01,702.0,2022-07-01,915.3940128001435
2022-03-01,838.0,2022-08-01,898.6462098035876
2022-04-01,777.0,2022-09-01,882.5510101457261
2022-05-01,751.0,2022-10-01,867.0700505675471
2022-06-01,910.0,2022-11-01,852.1679525764358
2022-07-01,779.0,2022-12-01,837.8120357074625
2022-08-01,705.0,2023-01-01,823.9720633647212
2022-09-01,890.0,2023-02-01,810.6200169907139
2022-10-01,292.0,2023-03-01,797.729894935825
2022-11-01,816.0,2023-04-01,785.2775329226057
2022-12-01,942.0,2023-05-01,773.2404434389157
2023-01-01,979.0,2023-06-01,761.5976717644561
2023-02-01,901.0,2023-07-01,750.3296666486792
2023-03-01,1000.0,2023-08-01,739.4181639240835
2023-04-01,1033.0,2023-09-01,728.8460815653516
2023-05-01,1237.0,2023-10-01,718.5974248980996
2023-06-01,971.0,2023-11-01,708.6572008264973
2023-07-01,1028.0,2023-12-01,699.0113400910703
,,2024-01-01,689.6466266902465
,,2024-02-01,680.5506337046772
,,2024-03-01,671.7116648545885
,,2024-04-01,663.1187011994889
,,2024-05-01,654.7613524582702
,,2024-06-01,646.6298124875653
,,2024-07-01,638.714818508436
,,2024-08-01,631.0076137171147
,,2024-09-01,623.4999129555298
,,2024-10-01,616.1838711524584
,,2024-11-01,609.0520542770398
,,2024-12-01,602.0974125736027
,,2025-01-01,595.3132558707833
,,2025-02-01,588.693230779164
,,2025-03-01,582.2312996104765
,,2025-04-01,575.9217208681167
,,2025-05-01,569.7590311735557
,,2025-06-01,563.7380285064382
,,2025-07-01,557.8537566479339
,,2025-08-01,552.101490727417
,,2025-09-01,546.4767237819434
,,2025-10-01,540.9751542464107
,,2025-11-01,535.5926742998205
,,2025-12-01,530.325358999837
,,2026-01-01,525.16945614392
,,2026-02-01,520.1213768007814
,,2026-03-01,515.177686460855
,,2026-04-01,510.3350967589154
,,2026-05-01,505.5904577260074
,,2026-06-01,500.94075053148003
,,2026-07-01,496.38308067921423
,,2026-08-01,491.91467162511475
,,2026-09-01,487.53285878564407
,,2026-10-01,483.23508390963724
,,2026-11-01,479.01888978786997
,,2026-12-01,474.8819152768864
,,2027-01-01,470.82189061544995
,,2027-02-01,466.8366330136669
,,2027-03-01,462.92404249638037
,,2027-04-01,459.0820979838349
,,2027-05-01,455.30885359391107
,,2027-06-01,451.6024351513988
,,2027-07-01,447.96103689086743
,,2027-08-01,444.3829183406777
,,2027-09-01,440.86640137659083
,,2027-10-01,437.40986743426646
,,2027-11-01,434.01175487070714
