t,q,t_model,q_model
0.0,906.0,0.0,906.0
1.0,466.0,1.0,595.6248122122126
2.0,234.0,2.0,482.55463102875746
3.0,141.0,3.0,418.80534177977586
4.0,85.0,4.0,376.3287228546861
5.0,344.0,5.0,345.3424410918933
6.0,254.0,6.0,321.40678536523563
7.0,431.0,7.0,302.1718167950454
8.0,477.0,8.0,286.2598189222274
9.0,635.0,9.0,272.80161660302434
10.0,610.0,10.0,261.2176718638576
11.0,549.0,11.0,251.10446672528613
12.0,393.0,12.0,242.17107658404902
13.0,347.0,13.0,234.20165144681556
14.0,220.0,14.0,227.0321493090541
15.0,224.0,15.0,220.535329608497
16.0,69.0,16.0,214.6107472731115
17.0,78.0,17.0,209.17788825655586
18.0,159.0,18.0,204.17134248479815
19.0,174.0,19.0,199.5373352781495
20.0,236.0,20.0,195.23118686074284
21.0,261.0,21.0,191.21541972781404
22.0,289.0,22.0,187.45832702538442
23.0,422.0,23.0,183.93287468911848
24.0,375.0,24.0,180.61584900491223
25.0,428.0,25.0,177.48718720091856
26.0,285.0,26.0,174.52944630980804
27.0,314.0,27.0,171.7273777246841
28.0,270.0,28.0,169.06758342661595
29.0,186.0,29.0,166.5382359546708
30.0,175.0,30.0,164.12884858682082
31.0,92.0,31.0,161.83008541302516
32.0,72.0,32.0,159.63360335602042
33.0,116.0,33.0,157.53191996842995
34.0,97.0,34.0,155.51830217202257
35.0,112.0,35.0,153.58667212275907
36.0,231.0,36.0,151.73152716665882
37.0,116.0,37.0,149.94787145626933
38.0,79.0,38.0,148.23115726913358
39.0,103.0,39.0,146.5772344400739
40.0,72.0,40.0,144.98230661202714
41.0,74.0,41.0,143.442893243279
42.0,11.0,42.0,141.95579649558596
43.0,17.0,43.0,140.51807227796724
44.0,0.0,44.0,139.12700484263388
45.0,0.0,45.0,137.78008442855543
46.0,0.0,46.0,136.4749875291604
47.0,0.0,47.0,135.20955942722176
48.0,0.0,48.0,133.9817986949151
49.0,0.0,49.0,132.78984340257352
50.0,0.0,50.0,131.63195881756855
51.0,0.0,51.0,130.506526406418
52.0,0.0,52.0,129.4120339797871
53.0,0.0,53.0,128.34706684241155
54.0,0.0,54.0,127.31029982885995
55.0,0.0,55.0,126.30049012206176
56.0,0.0,56.0,125.31647076513661
57.0,0.0,57.0,124.35714478866876
,,58.0,123.42147988549777
,,59.0,122.50850357361281
,,60.0,121.61729879506305
,,61.0,120.74699990511355
,,62.0,119.89678901133819
,,63.0,119.0658926270749
,,64.0,118.25357860778266
,,65.0,117.45915334242045
,,66.0,116.68195917509583
,,67.0,115.92137203496424
,,68.0,115.17679925475788
,,69.0,114.44767756042737
,,70.0,113.73347121623239
,,71.0,113.03367031125084
,,72.0,112.34778917471837
,,73.0,111.67536490888803
,,74.0,111.01595602923027
,,75.0,110.36914120279992
,,76.0,109.73451807648985
,,77.0,109.11170218768764
,,78.0,108.50032595056265
,,79.0,107.90003771184534
,,80.0,107.31050087052917
,,81.0,106.73139305643525
,,82.0,106.16240536303648
,,83.0,105.60324163034878
,,84.0,105.0536177740675
,,85.0,104.51326115745955
,,86.0,103.98191000282252
,,87.0,103.459312839594
,,88.0,102.94522798643995
,,89.0,102.4394230648723
,,90.0,101.94167454214994
,,91.0,101.45176730139728
,,92.0,100.96949423704378
,,93.0,100.4946558738367
,,94.0,100.02706000781896
,,95.0,99.56652136778803
,,96.0,99.11286129586739
,,97.0,98.66590744592602
