t,q,t_model,q_model
0.0,10942.0,0.0,12328.631133837951
1.0,9239.0,1.0,11403.81818579475
2.0,8193.0,2.0,10536.404551085638
3.0,8533.0,3.0,9723.592143723547
4.0,15654.0,4.0,8962.680930536828
5.0,9864.0,5.0,8251.066878534613
6.0,9965.0,6.0,7586.239915415203
7.0,8930.0,7.0,6965.781903330033
8.0,7566.0,8.0,6387.364626018584
9.0,5937.0,9.0,5848.7477894324065
10.0,4865.0,10.0,5347.777035969243
11.0,3583.0,11.0,4882.381972441473
12.0,2353.0,12.0,4450.574211906062
13.0,4563.0,13.0,4050.4454294867087
14.0,3568.0,14.0,3680.1654323221546
15.0,2655.0,15.0,3337.98024377836
16.0,891.0,16.0,3022.210202065967
17.0,1384.0,17.0,2731.2480734083547
18.0,1677.0,18.0,2463.5571799098316
19.0,914.0,19.0,2217.669542277681
20.0,287.0,20.0,1992.1840375564427
21.0,30.0,21.0,1785.7645720374226
22.0,810.0,22.0,1597.138269511505
23.0,1962.0,23.0,1425.0936750385372
24.0,1818.0,24.0,1268.4789744120633
25.0,2355.0,25.0,1126.2002295039679
26.0,2144.0,26.0,997.2196296797725
27.0,1708.0,27.0,880.553759481707
28.0,1835.0,28.0,775.2718827835339
29.0,1318.0,29.0,680.4942436283224
30.0,683.0,30.0,595.3903839680123
31.0,366.0,31.0,519.1774785316952
32.0,20.0,32.0,451.1186870581782
33.0,115.0,33.0,390.5215241375432
34.0,165.0,34.0,336.7362469161744
35.0,103.0,35.0,289.15426093013656
36.0,1037.0,36.0,247.2065443429228
37.0,760.0,37.0,210.3620908755081
38.0,1177.0,38.0,178.1263717294127
39.0,1137.0,39.0,150.03981681724292
40.0,688.0,40.0,125.67631562995493
41.0,602.0,41.0,104.6417380860764
42.0,562.0,42.0,86.57247572540335
43.0,710.0,43.0,71.13400362843694
44.0,675.0,44.0,58.019463463227595
45.0,992.0,45.0,46.94826808353071
46.0,1214.0,46.0,37.664728126524395
47.0,2147.0,47.0,29.93670108504813
48.0,2031.0,48.0,23.554263358753516
,,49.0,18.328405821095348
,,50.0,14.089753475217421
,,51.0,10.687309812080208
,,52.0,7.987226529327301
,,53.0,5.871599320260529
,,54.0,4.2372904999410625
,,55.0,2.994779301187755
,,56.0,2.0670407487778903
,,57.0,1.3884541076206849
,,58.0,0.9037420028677084
,,59.0,0.5669414305418247
,,60.0,0.34040802128789727
,,61.0,0.193855094122162
,,62.0,0.1034292512397131
,,63.0,0.05082453304392278
,,64.0,0.022437495632205776
,,65.0,0.008566023958808757
,,66.0,0.0026553071218946627
,,67.0,0.0005952733938692794
,,68.0,7.509598054547686e-05
,,69.0,2.5389088958988546e-06
,,70.0,4.675642386849053e-11
,,71.0,
,,72.0,
,,73.0,
,,74.0,
,,75.0,
,,76.0,
,,77.0,
,,78.0,
,,79.0,
,,80.0,
,,81.0,
,,82.0,
,,83.0,
,,84.0,
,,85.0,
,,86.0,
,,87.0,
,,88.0,
