t,q,t_model,q_model
0.0,1061.0,0.0,1061.0
1.0,778.0,1.0,773.0784585068035
2.0,725.0,2.0,686.2063061648665
3.0,630.0,3.0,636.6426538404103
4.0,568.0,4.0,602.6814651211986
5.0,480.0,5.0,577.17801919204
6.0,615.0,6.0,556.9325214349425
7.0,580.0,7.0,540.2490676396026
8.0,480.0,8.0,526.1260615492648
9.0,565.0,9.0,513.9252513137566
,,10.0,503.21627853201636
,,11.0,493.6959881527707
,,12.0,485.1432446741301
,,13.0,477.3920743134033
,,14.0,470.3149102099909
,,15.0,463.81171424060307
,,16.0,457.80267282634765
,,17.0,452.223149738167
,,18.0,447.02011093785126
,,19.0,442.1495367195134
,,20.0,437.57451244942814
,,21.0,433.2637959189246
,,22.0,429.1907259482913
,,23.0,425.3323795704235
,,24.0,421.66891312252716
,,25.0,418.18304132668527
,,26.0,414.8596212393587
,,27.0,411.6853168373954
,,28.0,408.6483262770386
,,29.0,405.73815834836773
,,30.0,402.9454479004719
,,31.0,400.26180240038724
,,32.0,397.6796735614726
,,33.0,395.19224930681406
,,34.0,392.7933623408271
,,35.0,390.47741237260254
,,36.0,388.2392996286247
,,37.0,386.07436775430705
,,38.0,383.9783545655112
,,39.0,381.94734939655063
,,40.0,379.9777560177752
,,41.0,378.0662602769208
,,42.0,376.20980176399775
,,43.0,374.40554891721007
,,44.0,372.6508770830884
,,45.0,370.94334912221194
,,46.0,369.28069821609387
,,47.0,367.6608125837623
,,48.0,366.08172186044953
,,49.0,364.5415849273102
