t,q,t_model,q_model
2019-11-01,777.0,2022-08-01,1062.1953269563044
2019-12-01,5153.0,2022-09-01,773.9494118722996
2020-01-01,6244.0,2022-10-01,686.9793890068504
2020-02-01,5098.0,2022-11-01,637.3598980681846
2020-03-01,4998.0,2022-12-01,603.3604485343224
2020-04-01,3547.0,2023-01-01,577.8282703182667
2020-05-01,3594.0,2023-02-01,557.5599639002712
2020-06-01,4569.0,2023-03-01,540.8577144573858
2020-07-01,4293.0,2023-04-01,526.7187973303996
2020-08-01,5132.0,2023-05-01,514.5042416119854
2020-09-01,4896.0,2023-06-01,503.78320405753993
2020-10-01,5053.0,2023-07-01,494.2521880800641
2020-11-01,4775.0,2023-08-01,485.6898090455042
2020-12-01,4961.0,2023-09-01,477.92990618442394
2021-01-01,4691.0,2023-10-01,470.8447689188748
2021-02-01,2793.0,2023-11-01,464.3342464222068
2021-03-01,5658.0,2023-12-01,458.31843519722185
2021-04-01,4683.0,2024-01-01,452.7326261954214
2021-05-01,3055.0,2024-02-01,447.52372563023033
2021-06-01,3993.0,2024-03-01,442.64766420298025
2021-07-01,4463.0,2024-04-01,438.06748569176796
2021-08-01,3247.0,2024-05-01,433.751912690322
2021-09-01,2831.0,2024-06-01,429.6742539823364
2021-10-01,2234.0,2024-07-01,425.8115607755975
2021-11-01,2002.0,2024-08-01,422.1439670513593
2021-12-01,2173.0,2024-09-01,418.6541680580398
2022-01-01,2141.0,2024-10-01,415.32700379199736
2022-02-01,1986.0,2024-11-01,412.1491232056616
2022-03-01,1904.0,2024-12-01,409.1087111592701
2022-04-01,1518.0,2025-01-01,406.1952646234621
2022-05-01,1444.0,2025-02-01,403.39940789650916
2022-06-01,1711.0,2025-03-01,400.7127389903855
2022-07-01,1482.0,2025-04-01,398.12770111451914
2022-08-01,1061.0,2025-05-01,395.6374745174823
2022-09-01,778.0,2025-06-01,393.23588495559005
2022-10-01,725.0,2025-07-01,390.9173258286223
2022-11-01,630.0,2025-08-01,388.67669161763774
2022-12-01,568.0,2025-09-01,386.50932072218154
2023-01-01,480.0,2025-10-01,384.41094615632136
2023-02-01,615.0,2025-11-01,382.3776528485984
2023-03-01,580.0,2025-12-01,380.40584051783566
2023-04-01,480.0,2026-01-01,378.4921912780312
2023-05-01,565.0,2026-02-01,376.6336412713252
,,2026-03-01,374.82735574587235
,,2026-04-01,373.07070709125793
,,2026-05-01,371.36125542236994
,,2026-06-01,369.69673136691443
,,2026-07-01,368.0750207647785
,,2026-08-01,366.4941510313733
,,2026-09-01,364.95227897364157
,,2026-10-01,363.4476798779499
,,2026-11-01,361.9787377146963
,,2026-12-01,360.5439363260211
,,2027-01-01,359.1418514812209
,,2027-02-01,357.77114369990346
,,2027-03-01,356.43055175604843
,,2027-04-01,355.11888678734
,,2027-05-01,353.83502694372095
,,2027-06-01,352.57791251734244
,,2027-07-01,351.34654150316214
,,2027-08-01,350.1399655455514
,,2027-09-01,348.9572862315566
,,2027-10-01,347.7976516960443
,,2027-11-01,346.660253507943
,,2027-12-01,345.54432381027146
,,2028-01-01,344.44913268967235
,,2028-02-01,343.37398575383156
,,2028-03-01,342.31822189748874
,,2028-04-01,341.28121123979594
,,2028-05-01,340.26235321758406
,,2028-06-01,339.26107482069017
,,2028-07-01,338.27682895690566
,,2028-08-01,337.30909293535296
,,2028-09-01,336.35736705820574
,,2028-10-01,335.4211733116501
,,2028-11-01,334.5000541478618
,,2028-12-01,333.5935713505547
,,2029-01-01,332.70130497735346
,,2029-02-01,331.82285237286834
,,2029-03-01,330.95782724690986
,,2029-04-01,330.10585881278047
,,2029-05-01,329.26659098103534
,,2029-06-01,328.4396816045056
,,2029-07-01,327.6248017707471
,,2029-08-01,326.82163513840413
,,2029-09-01,326.0298773142786
,,2029-10-01,325.24923526816156
,,2029-11-01,324.47942678273034
,,2029-12-01,323.72017993603475
,,2030-01-01,322.9712326142965
,,2030-02-01,322.23233205292905
,,2030-03-01,321.50323440384983
,,2030-04-01,320.78370432731043
,,2030-05-01,320.0735146066048
,,2030-06-01,319.37244578414385
,,2030-07-01,318.68028581749905
,,2030-08-01,317.99682975412173
,,2030-09-01,317.32187942354267
,,2030-10-01,316.6552431459423
,,2030-11-01,315.99673545606544
,,2030-12-01,315.34617684152636
,,2031-01-01,314.7033934946184
,,2031-02-01,314.068217076807
,,2031-03-01,313.4404844951393
,,2031-04-01,312.8200376898593
,,2031-05-01,312.20672343256587
,,2031-06-01,311.60039313429445
,,2031-07-01,311.0009026629475
,,2031-08-01,310.40811216953466
,,2031-09-01,309.82188592272183
