t,q,t_model,q_model
0.0,3768.0,0.0,3768.0
1.0,2163.0,1.0,2259.3565027419772
2.0,1946.0,2.0,1742.156285259477
3.0,1906.0,3.0,1461.538066514277
4.0,1754.0,4.0,1279.7593195429179
5.0,675.0,5.0,1150.083216659804
6.0,367.0,6.0,1051.7513513028264
7.0,685.0,7.0,973.9707843007498
8.0,768.0,8.0,910.509710956216
9.0,1090.0,9.0,857.488723231441
10.0,580.0,10.0,812.3516641713052
11.0,870.0,11.0,773.3376588132292
12.0,804.0,12.0,739.1894486241879
13.0,609.0,13.0,708.982499068401
14.0,640.0,14.0,682.0199463418215
15.0,638.0,15.0,657.7653853554597
16.0,918.0,16.0,635.7983901209303
17.0,590.0,17.0,615.7842125914365
18.0,769.0,18.0,597.4526150656667
19.0,497.0,19.0,580.5827539832275
20.0,517.0,20.0,564.992173214588
21.0,566.0,21.0,550.528649766327
22.0,391.0,22.0,537.0640583302909
23.0,525.0,23.0,524.4896899250919
24.0,596.0,24.0,512.7126345378553
25.0,310.0,25.0,501.65295356527304
26.0,413.0,26.0,491.24144622771666
27.0,433.0,27.0,481.41786805967894
28.0,405.0,28.0,472.12949728115166
29.0,532.0,29.0,463.3299715969988
30.0,465.0,30.0,454.97833719621616
31.0,431.0,31.0,447.03826571561746
32.0,460.0,32.0,439.4774052344917
33.0,482.0,33.0,432.26683903292775
34.0,477.0,34.0,425.3806316082321
35.0,486.0,35.0,418.7954458147038
36.0,638.0,36.0,412.4902183367308
37.0,365.0,37.0,406.445883285633
38.0,533.0,38.0,400.6451357168791
39.0,518.0,39.0,395.0722284353743
40.0,406.0,40.0,389.712796695264
41.0,661.0,41.0,384.55370638375086
42.0,451.0,42.0,379.5829220633415
43.0,387.0,43.0,374.78939187730293
44.0,369.0,44.0,370.1629468321508
45.0,423.0,45.0,365.6942123842104
46.0,333.0,46.0,361.37453059440986
47.0,254.0,47.0,357.1958913918034
48.0,239.0,48.0,353.15087171386887
49.0,438.0,49.0,349.23258147980715
,,50.0,345.43461550934495
,,51.0,341.7510106298368
,,52.0,338.1762073235042
,,53.0,334.705015358242
,,54.0,331.33258292262866
,,55.0,328.05436885106707
,,56.0,324.8661175803896
,,57.0,321.76383652640857
,,58.0,318.74377560914854
,,59.0,315.8024086899575
,,60.0,312.9364167132801
,,61.0,310.14267237134254
,,62.0,307.418226131979
,,63.0,304.7602934888464
,,64.0,302.1662433097673
,,65.0,299.63358717327884
,,66.0,297.15996959595816
,,67.0,294.74315906400295
,,68.0,292.3810397920929
,,69.0,290.07160414092516
,,70.0,287.812945632174
,,71.0,285.6032525060963
,,72.0,283.4408017727157
,,73.0,281.3239537125616
,,74.0,279.25114678740636
,,75.0,277.22089292540056
,,76.0,275.231773148526
,,77.0,273.2824335134105
,,78.0,271.3715813393388
,,79.0,269.4979816997776
,,80.0,267.6604541559598
,,81.0,265.85786971305765
,,82.0,264.08914798126057
,,83.0,262.35325452567304
,,84.0,260.6491983903856
,,85.0,258.9760297833668
,,86.0,257.33283790999
,,87.0,255.71874894406096
,,88.0,254.1329241261637
,,89.0,252.57455797999998
