t,q,t_model,q_model
2017-09-01,5015.0,2019-04-01,3777.6952577640336
2017-10-01,18925.0,2019-05-01,2265.1699432077226
2017-11-01,17204.0,2019-06-01,1746.6389429693556
2017-12-01,12712.0,2019-07-01,1465.2986791169317
2018-01-01,6246.0,2019-08-01,1283.0522060819023
2018-02-01,5884.0,2019-09-01,1153.042439917661
2018-03-01,9987.0,2019-10-01,1054.457561614544
2018-04-01,7152.0,2019-11-01,976.476861213816
2018-05-01,1701.0,2019-12-01,912.8524992641716
2018-06-01,4160.0,2020-01-01,859.6950858114518
2018-07-01,3152.0,2020-02-01,814.4418867772454
2018-08-01,10989.0,2020-03-01,775.3274963771433
2018-09-01,3145.0,2020-04-01,741.0914210872626
2018-10-01,799.0,2020-05-01,710.8067474969193
2018-11-01,5348.0,2020-06-01,683.7748187356635
2018-12-01,5754.0,2020-07-01,659.4578495166274
2019-01-01,3431.0,2020-08-01,637.4343320737381
2019-02-01,7286.0,2020-09-01,617.3686570362603
2019-03-01,6071.0,2020-10-01,598.9898913673804
2019-04-01,3768.0,2020-11-01,582.0766232648676
2019-05-01,2163.0,2020-12-01,566.445927130187
2019-06-01,1946.0,2021-01-01,551.9451882923275
2019-07-01,1906.0,2021-02-01,538.4459517701291
2019-08-01,1754.0,2021-03-01,525.8392288684045
2019-09-01,675.0,2021-04-01,514.0318705120383
2019-10-01,367.0,2021-05-01,502.9437324115852
2019-11-01,685.0,2021-06-01,492.5054357302523
2019-12-01,768.0,2021-07-01,482.65658099042474
2020-01-01,1090.0,2021-08-01,473.3443107562431
2020-02-01,580.0,2021-09-01,464.5221434400018
2020-03-01,870.0,2021-10-01,456.14901985443504
2020-04-01,804.0,2021-11-01,448.18851816160986
2020-05-01,609.0,2021-12-01,440.6082031976597
2020-06-01,640.0,2022-01-01,433.37908383846604
2020-07-01,638.0,2022-02-01,426.4751578479532
2020-08-01,918.0,2022-03-01,419.87302803274434
2020-09-01,590.0,2022-04-01,413.5515768802332
2020-10-01,769.0,2022-05-01,407.49168944422763
2020-11-01,497.0,2022-06-01,401.6760162536841
2020-12-01,517.0,2022-07-01,396.0887695951652
2021-01-01,566.0,2022-08-01,390.71554776158644
2021-02-01,391.0,2022-09-01,385.5431828454029
2021-03-01,525.0,2022-10-01,380.55960844132164
2021-04-01,596.0,2022-11-01,375.7537442556139
2021-05-01,310.0,2022-12-01,371.1153951294523
2021-06-01,413.0,2023-01-01,366.63516239797906
2021-07-01,433.0,2023-02-01,362.30436584479986
2021-08-01,405.0,2023-03-01,358.11497478864453
2021-09-01,532.0,2023-04-01,354.0595470670693
2021-10-01,465.0,2023-05-01,350.1311748707428
2021-11-01,431.0,2023-06-01,346.3234365385336
2021-12-01,460.0,2023-07-01,342.63035355424637
2022-01-01,482.0,2023-08-01,339.0463520951774
2022-02-01,477.0,2023-09-01,335.5662285744875
