t,q,t_model,q_model
0.0,295.0,0.0,295.0
1.0,189.0,1.0,291.96921240469277
2.0,155.0,2.0,288.93658956004924
3.0,108.0,3.0,285.9021099437189
4.0,157.0,4.0,282.86575153619873
5.0,111.0,5.0,279.8274918035671
6.0,86.0,6.0,276.7873076794119
7.0,95.0,7.0,273.7451755459072
8.0,490.0,8.0,270.7010712139855
9.0,520.0,9.0,267.65496990255303
10.0,412.0,10.0,264.60684621668946
11.0,304.0,11.0,261.55667412476856
12.0,352.0,12.0,258.5044269344327
13.0,700.0,13.0,255.4500772673498
14.0,441.0,14.0,252.3935970326731
15.0,373.0,15.0,249.33495739912098
16.0,341.0,16.0,246.27412876558566
17.0,267.0,17.0,243.21108073017254
18.0,131.0,18.0,240.14578205756507
19.0,63.0,19.0,237.0782006446004
20.0,259.0,20.0,234.00830348393131
21.0,969.0,21.0,230.93605662564116
22.0,205.0,22.0,227.8614251366647
23.0,318.0,23.0,224.78437305785715
24.0,20.0,24.0,221.70486335853894
25.0,215.0,25.0,218.6228578883278
26.0,185.0,26.0,215.5383173260544
27.0,518.0,27.0,212.451201125537
28.0,375.0,28.0,209.36146745797157
29.0,228.0,29.0,206.26907315066887
30.0,90.0,30.0,203.17397362184644
31.0,68.0,31.0,200.07612281115232
32.0,273.0,32.0,196.9754731055676
33.0,64.0,33.0,193.87197526029746
34.0,324.0,34.0,190.76557831422144
35.0,287.0,35.0,187.65622949942815
36.0,118.0,36.0,184.5438741443093
37.0,206.0,37.0,181.42845556963178
38.0,84.0,38.0,178.30991497694106
39.0,11.0,39.0,175.18819132857797
40.0,113.0,40.0,172.0632212185082
41.0,229.0,41.0,168.93493873307034
42.0,62.0,42.0,165.80327530064287
43.0,107.0,43.0,162.66815952910784
44.0,255.0,44.0,159.5295170298524
45.0,124.0,45.0,156.38727022688738
46.0,225.0,46.0,153.24133814948235
47.0,567.0,47.0,150.09163620650241
48.0,146.0,48.0,146.93807594038984
49.0,80.0,49.0,143.78056475844915
50.0,252.0,50.0,140.61900563876418
51.0,174.0,51.0,137.4532968076908
52.0,136.0,52.0,134.28333138541586
53.0,89.0,53.0,131.10899699554187
54.0,60.0,54.0,127.93017533402879
55.0,57.0,55.0,124.74674169207778
56.0,132.0,56.0,121.55856442665686
57.0,0.0,57.0,118.36550437130448
58.0,0.0,58.0,115.16741417857264
59.0,0.0,59.0,111.96413758392939
60.0,469.0,60.0,108.75550857906951
61.0,166.0,61.0,105.54135048029737
62.0,127.0,62.0,102.32147487484049
63.0,108.0,63.0,99.09568042448525
64.0,96.0,64.0,95.86375150161356
65.0,116.0,65.0,92.6254566273184
66.0,52.0,66.0,89.38054667445846
67.0,6.0,67.0,86.12875278984122
68.0,193.0,68.0,82.86978397859768
69.0,58.0,69.0,79.6033242794048
70.0,66.0,70.0,76.32902944037114
71.0,66.0,71.0,73.04652298049712
72.0,36.0,72.0,69.75539148831625
73.0,57.0,73.0,66.45517896422416
74.0,56.0,74.0,63.14537995107703
75.0,91.0,75.0,59.82543111132669
76.0,64.0,76.0,56.49470078662848
77.0,72.0,77.0,53.15247589926349
78.0,78.0,78.0,49.79794529451224
79.0,66.0,79.0,46.43017823081102
80.0,52.0,80.0,43.048096117532474
81.0,68.0,81.0,39.650434632969535
82.0,34.0,82.0,36.23569176064784
83.0,73.0,83.0,32.802054548271435
84.0,26.0,84.0,29.347292484003404
85.0,2.0,85.0,25.86859606515756
86.0,0.0,86.0,22.362320204650462
87.0,2.0,87.0,18.82355026843748
88.0,0.0,88.0,15.245305246777216
89.0,0.0,89.0,11.616896405545866
90.0,0.0,90.0,7.919900399165863
91.0,0.0,91.0,4.114663587105745
92.0,0.0,92.0,0.0019441080082450058
,,93.0,
,,94.0,
,,95.0,
,,96.0,
,,97.0,
,,98.0,
,,99.0,
,,100.0,
,,101.0,
,,102.0,
,,103.0,
,,104.0,
,,105.0,
,,106.0,
,,107.0,
,,108.0,
,,109.0,
,,110.0,
,,111.0,
,,112.0,
,,113.0,
,,114.0,
,,115.0,
,,116.0,
,,117.0,
,,118.0,
,,119.0,
,,120.0,
,,121.0,
,,122.0,
,,123.0,
,,124.0,
,,125.0,
,,126.0,
,,127.0,
,,128.0,
,,129.0,
,,130.0,
,,131.0,
,,132.0,
