t,q,t_model,q_model
0.0,295.0,0.0,324.69675037197135
1.0,189.0,1.0,321.3608626320936
2.0,155.0,2.0,318.0229548939256
3.0,108.0,3.0,314.6830034685275
4.0,157.0,4.0,311.34098411976
5.0,111.0,5.0,307.99687204528027
6.0,86.0,6.0,304.650641856651
7.0,95.0,7.0,301.3022675585116
8.0,490.0,8.0,297.95172252675485
9.0,520.0,9.0,294.5989794856501
10.0,412.0,10.0,291.2440104838476
11.0,304.0,11.0,287.8867868691967
12.0,352.0,12.0,284.5272792623017
13.0,700.0,13.0,281.1654575287372
14.0,441.0,14.0,277.80129074983654
15.0,373.0,15.0,274.434747191961
16.0,341.0,16.0,271.0657942741495
17.0,267.0,17.0,267.6943985340414
18.0,131.0,18.0,264.3205255919561
19.0,63.0,19.0,260.94414011300324
20.0,259.0,20.0,257.56520576708664
21.0,969.0,21.0,254.18368518665508
22.0,205.0,22.0,250.79953992203815
23.0,318.0,23.0,247.41273039419366
24.0,20.0,24.0,244.0232158446764
25.0,215.0,25.0,240.63095428262147
26.0,185.0,26.0,237.2359024285174
27.0,518.0,27.0,233.83801565452194
28.0,375.0,28.0,230.43724792105286
29.0,228.0,29.0,227.03355170935805
30.0,90.0,30.0,223.62687794974292
31.0,68.0,31.0,220.21717594510037
32.0,273.0,32.0,216.80439328935404
33.0,64.0,33.0,213.3884757803858
34.0,324.0,34.0,209.96936732697463
35.0,287.0,35.0,206.54700984922437
36.0,118.0,36.0,203.1213431719027
37.0,206.0,37.0,199.69230491005095
38.0,84.0,38.0,196.25983034615345
39.0,11.0,39.0,192.82385229807608
40.0,113.0,40.0,189.38430097689235
41.0,229.0,41.0,185.94110383361362
42.0,62.0,42.0,182.4941853937223
43.0,107.0,43.0,179.0434670782737
44.0,255.0,44.0,175.58886701018014
45.0,124.0,45.0,172.13029980411414
46.0,225.0,46.0,168.66767633826888
47.0,567.0,47.0,165.20090350597778
48.0,146.0,48.0,161.7298839449306
49.0,80.0,49.0,158.25451574140754
50.0,252.0,50.0,154.774692106592
51.0,174.0,51.0,151.29030102159751
52.0,136.0,52.0,147.80122484734602
53.0,89.0,53.0,144.30733989485086
54.0,60.0,54.0,140.80851595076498
55.0,57.0,55.0,137.30461575223515
56.0,132.0,56.0,133.79549440412677
57.0,0.0,57.0,130.28099873051502
58.0,0.0,58.0,126.76096655093367
59.0,0.0,59.0,123.23522587017686
60.0,469.0,60.0,119.70359396838957
61.0,166.0,61.0,116.1658763756673
62.0,127.0,62.0,112.62186571229837
63.0,108.0,63.0,109.07134037196519
64.0,96.0,64.0,105.51406302047496
65.0,116.0,65.0,101.94977887664496
66.0,52.0,66.0,98.37821373446431
67.0,6.0,67.0,94.7990716761095
68.0,193.0,68.0,91.2120324131455
69.0,58.0,69.0,87.6167481773864
70.0,66.0,70.0,84.01284006215268
71.0,66.0,71.0,80.39989368725065
72.0,36.0,72.0,76.77745402434222
73.0,57.0,73.0,73.14501916973347
74.0,56.0,74.0,69.50203278345133
75.0,91.0,75.0,65.84787481847461
76.0,64.0,76.0,62.18185002933939
77.0,72.0,77.0,58.5031735549674
78.0,78.0,78.0,54.81095258416721
79.0,66.0,79.0,51.104162680460284
80.0,52.0,80.0,47.38161667479007
81.0,68.0,81.0,43.641922970038905
82.0,34.0,82.0,39.883428346314474
83.0,73.0,83.0,36.10413734694196
84.0,26.0,84.0,32.30159492125995
85.0,2.0,85.0,28.47270874251466
86.0,0.0,86.0,24.613466783821973
87.0,2.0,87.0,20.718459669915585
88.0,0.0,88.0,16.780003634092633
89.0,0.0,89.0,12.78633393996128
90.0,0.0,90.0,8.717172619928252
91.0,0.0,91.0,4.528874222396997
92.0,0.0,92.0,0.0021398154327094206
,,93.0,
,,94.0,
,,95.0,
,,96.0,
,,97.0,
,,98.0,
,,99.0,
,,100.0,
,,101.0,
,,102.0,
,,103.0,
,,104.0,
,,105.0,
,,106.0,
,,107.0,
,,108.0,
,,109.0,
,,110.0,
,,111.0,
,,112.0,
,,113.0,
,,114.0,
,,115.0,
,,116.0,
,,117.0,
,,118.0,
,,119.0,
,,120.0,
,,121.0,
,,122.0,
,,123.0,
,,124.0,
,,125.0,
,,126.0,
,,127.0,
,,128.0,
,,129.0,
,,130.0,
,,131.0,
,,132.0,
