t,q,t_model,q_model
0.0,244.0,0.0,244.0
1.0,241.0,1.0,244.0260424469754
2.0,157.0,2.0,244.05219099328247
3.0,151.0,3.0,244.0784464954681
4.0,139.0,4.0,244.10480982044683
5.0,154.0,5.0,244.13128184566838
6.0,218.0,6.0,244.1578634592889
7.0,141.0,7.0,244.18455556034527
8.0,384.0,8.0,244.21135905893323
9.0,600.0,9.0,244.23827487638903
10.0,415.0,10.0,244.26530394547507
11.0,573.0,11.0,244.29244721056892
12.0,340.0,12.0,244.31970562785676
13.0,424.0,13.0,244.34708016553054
14.0,215.0,14.0,244.3745718039893
15.0,268.0,15.0,244.4021815360449
16.0,333.0,16.0,244.42991036713184
17.0,213.0,17.0,244.4577593155219
18.0,257.0,18.0,244.48572941254278
19.0,258.0,19.0,244.513821702802
20.0,239.0,20.0,244.54203724441533
21.0,231.0,21.0,244.57037710924
22.0,307.0,22.0,244.59884238311344
23.0,192.0,23.0,244.62743416609658
24.0,237.0,24.0,244.656153572723
25.0,234.0,25.0,244.68500173225337
26.0,197.0,26.0,244.71397978893526
,,27.0,244.74308890226914
,,28.0,244.77233024727997
,,29.0,244.80170501479492
,,30.0,244.8312144117274
,,31.0,244.8608596613674
,,32.0,244.8906420036786
,,33.0,244.92056269560186
,,34.0,244.95062301136593
,,35.0,244.98082424280537
,,36.0,245.01116769968544
,,37.0,245.0416547100349
,,38.0,245.0722866204862
,,39.0,245.10306479662407
,,40.0,245.13399062334167
,,41.0,245.16506550520577
,,42.0,245.19629086683022
,,43.0,245.2276681532584
,,44.0,245.25919883035482
,,45.0,245.29088438520625
,,46.0,245.32272632653218
,,47.0,245.3547261851058
,,48.0,245.3868855141847
,,49.0,245.41920588995268
,,50.0,245.4516889119717
,,51.0,245.48433620364585
,,52.0,245.51714941269626
,,53.0,245.5501302116482
,,54.0,245.58328029833015
,,55.0,245.61660139638585
,,56.0,245.6500952557989
,,57.0,245.68376365343119
,,58.0,245.71760839357464
,,59.0,245.7516313085177
,,60.0,245.78583425912612
,,61.0,245.8202191354389
,,62.0,245.85478785728012
,,63.0,245.8895423748864
,,64.0,245.92448466955136
,,65.0,245.95961675428708
,,66.0,245.99494067450323
