t,q,t_model,q_model
0.0,244.0,0.0,272.27511024690733
1.0,241.0,1.0,272.3041705342898
2.0,157.0,2.0,272.33334921596423
3.0,151.0,3.0,272.3626472477355
4.0,139.0,4.0,272.3920655969775
5.0,154.0,5.0,272.42160524282036
6.0,218.0,6.0,272.45126717634116
7.0,141.0,7.0,272.48105240075853
8.0,384.0,8.0,272.51096193163164
9.0,600.0,9.0,272.54099679706263
10.0,415.0,10.0,272.5711580379039
11.0,573.0,11.0,272.60144670796905
12.0,340.0,12.0,272.63186387424855
13.0,424.0,13.0,272.6624106171301
14.0,215.0,14.0,272.6930880306228
15.0,268.0,15.0,272.7238972225872
16.0,333.0,16.0,272.7548393149693
17.0,213.0,17.0,272.78591544403963
18.0,257.0,18.0,272.81712676063785
19.0,258.0,19.0,272.84847443042236
20.0,239.0,20.0,272.879959634125
21.0,231.0,21.0,272.9115835678116
22.0,307.0,22.0,272.943347443148
23.0,192.0,23.0,272.9752524876722
24.0,237.0,24.0,273.0072999450715
25.0,234.0,25.0,273.0394910754672
26.0,197.0,26.0,273.0718271557041
,,27.0,273.10430947964744
,,28.0,273.1369393584859
,,29.0,273.1697181210417
,,30.0,273.2026471140872
,,31.0,273.23572770266935
,,32.0,273.2689612704406
,,33.0,273.30234921999823
,,34.0,273.3358929732307
,,35.0,273.3695939716724
,,36.0,273.4034536768662
,,37.0,273.43747357073505
,,38.0,273.4716551559613
,,39.0,273.5059999563758
,,40.0,273.5405095173553
,,41.0,273.57518540623016
,,42.0,273.6100292127006
,,43.0,273.64504254926413
,,44.0,273.68022705165174
,,45.0,273.7155843792763
,,46.0,273.7511162156903
,,47.0,273.78682426905505
,,48.0,273.82271027262243
,,49.0,273.8587759852267
,,50.0,273.89502319178973
,,51.0,273.93145370383826
,,52.0,273.968069360034
,,53.0,274.00487202671707
,,54.0,274.04186359846307
,,55.0,274.0790459986543
,,56.0,274.1164211800653
,,57.0,274.1539911254635
,,58.0,274.19175784822517
,,59.0,274.2297233929671
,,60.0,274.2678898361953
,,61.0,274.30625928696946
,,62.0,274.3448338875859
,,63.0,274.3836158142778
,,64.0,274.4226072779343
,,65.0,274.4618105248385
,,66.0,274.5012278374254
