t,q,t_model,q_model
0.0,3898.0,0.0,3898.0
1.0,3139.0,1.0,2772.8996771764246
2.0,2250.0,2.0,2218.3899536407926
3.0,2130.0,3.0,1878.67516529584
4.0,1095.0,4.0,1645.5064138821497
5.0,1551.0,5.0,1473.7935765825696
6.0,1277.0,6.0,1341.1142871277998
7.0,797.0,7.0,1234.9508513464948
8.0,778.0,8.0,1147.717444228629
9.0,1704.0,9.0,1074.5256871858528
10.0,932.0,10.0,1012.0711545036868
11.0,1800.0,11.0,958.0328630791232
12.0,1183.0,12.0,910.7285397727097
13.0,626.0,13.0,868.9064234323679
14.0,750.0,14.0,831.6141227356671
15.0,679.0,15.0,798.1130267323098
16.0,866.0,16.0,767.8207235089661
17.0,892.0,17.0,740.2712303158104
18.0,916.0,18.0,715.0868872672144
19.0,941.0,19.0,691.9580873872256
20.0,278.0,20.0,670.6283925079208
21.0,338.0,21.0,650.883426436932
22.0,400.0,22.0,632.5424657162635
23.0,469.0,23.0,615.4519886683842
24.0,192.0,24.0,599.480667272617
25.0,710.0,25.0,584.5154365451424
26.0,781.0,26.0,570.4583785986373
27.0,687.0,27.0,557.2242296922906
28.0,432.0,28.0,544.738368692582
29.0,456.0,29.0,532.9351811532919
30.0,440.0,30.0,521.7567191099481
31.0,453.0,31.0,511.15159563055573
32.0,529.0,32.0,501.07406718425
33.0,597.0,33.0,491.4832673699794
34.0,642.0,34.0,482.34256345697287
35.0,645.0,35.0,473.61901321166323
36.0,500.0,36.0,465.28290411051813
37.0,337.0,37.0,457.30736061747547
38.0,257.0,38.0,449.66800799534764
39.0,517.0,39.0,442.3426833116686
40.0,546.0,40.0,435.3111860312024
41.0,685.0,41.0,428.5550619646231
42.0,2238.0,42.0,422.0574154447637
43.0,1773.0,43.0,415.8027454883638
44.0,827.0,44.0,409.77680241834474
45.0,152.0,45.0,403.96646200463795
46.0,127.0,46.0,398.35961465788216
47.0,52.0,47.0,392.94506760121675
48.0,96.0,48.0,387.7124582676623
49.0,69.0,49.0,382.6521774373726
50.0,25.0,50.0,377.75530085081357
51.0,70.0,51.0,373.0135282189803
52.0,71.0,52.0,368.41912870676384
53.0,73.0,53.0,363.96489209586264
54.0,26.0,54.0,359.64408494352705
55.0,84.0,55.0,355.45041114641026
56.0,81.0,56.0,351.3779763977453
57.0,70.0,57.0,347.4212560932831
58.0,55.0,58.0,343.5750662988321
59.0,56.0,59.0,339.83453744140394
60.0,63.0,60.0,336.1950904281892
61.0,69.0,61.0,332.65241493394024
62.0,67.0,62.0,329.2024496287193
63.0,45.0,63.0,325.84136414512716
64.0,55.0,64.0,322.56554260768127
65.0,63.0,65.0,319.37156856749533
66.0,65.0,66.0,316.2562112032543
67.0,125.0,67.0,313.21641266506606
68.0,39.0,68.0,310.24927645140485
69.0,53.0,69.0,307.3520567213209
70.0,60.0,70.0,304.5221484545949
71.0,49.0,71.0,301.7570783817664
72.0,65.0,72.0,299.05449661411586
73.0,1756.0,73.0,296.41216891089175
74.0,2489.0,74.0,293.82796952744525
75.0,2233.0,75.0,291.29987459359165
76.0,1501.0,76.0,288.8259559765376
77.0,741.0,77.0,286.40437558717707
78.0,269.0,78.0,284.0333800925378
79.0,891.0,79.0,281.71129600070964
80.0,205.0,80.0,279.4365250877547
81.0,403.0,81.0,277.2075401389395
82.0,241.0,82.0,275.0228809791699
83.0,375.0,83.0,272.88115076979227
84.0,235.0,84.0,270.7810125509734
85.0,534.0,85.0,268.7211860107168
86.0,76.0,86.0,266.7004444632339
87.0,0.0,87.0,264.71761202088686
88.0,297.0,88.0,262.77156094527436
89.0,351.0,89.0,260.8612091642534
90.0,385.0,90.0,258.9855179427993
91.0,425.0,91.0,257.14348969660836
