t,q,t_model,q_model
2012-04-01,11000.0,2018-10-01,1499.1342283157855
2012-05-01,9851.0,2018-11-01,720.408836849483
2012-06-01,3898.0,2018-12-01,545.6042665245176
2012-07-01,3139.0,2019-01-01,458.00101140083876
2012-08-01,2250.0,2019-02-01,402.95189404740825
2012-09-01,2130.0,2019-03-01,364.22933154621165
2012-10-01,1095.0,2019-04-01,335.0671762986986
2012-11-01,1551.0,2019-05-01,312.0733081902576
2012-12-01,1277.0,2019-06-01,293.3339594991105
2013-01-01,797.0,2019-07-01,277.6762356971095
2013-02-01,778.0,2019-08-01,264.3357199511942
2013-03-01,1704.0,2019-09-01,252.78994455050182
2013-04-01,932.0,2019-10-01,242.6680007924378
2013-05-01,1800.0,2019-11-01,233.69828471531466
2013-06-01,1183.0,2019-12-01,225.67670953687633
2013-07-01,626.0,2020-01-01,218.44653646227613
2013-08-01,750.0,2020-02-01,211.88511570435878
2013-09-01,679.0,2020-03-01,205.894902552977
2013-10-01,866.0,2020-04-01,200.39720896930493
2013-11-01,892.0,2020-05-01,195.32775751991423
2013-12-01,916.0,2020-06-01,190.63345358992348
2014-01-01,941.0,2020-07-01,186.26999990346812
2014-02-01,278.0,2020-08-01,182.20010523442616
2014-03-01,338.0,2020-09-01,178.39211989367385
2014-04-01,400.0,2020-10-01,174.81898276164603
2014-05-01,469.0,2020-11-01,171.4573991144529
2014-06-01,192.0,2020-12-01,168.28719172436035
2014-07-01,710.0,2021-01-01,165.29078365063478
2014-08-01,781.0,2021-02-01,162.45278224557822
2014-09-01,687.0,2021-03-01,159.75964176091767
2014-10-01,432.0,2021-04-01,157.19938757815385
2014-11-01,456.0,2021-05-01,154.76138918253332
2014-12-01,440.0,2021-06-01,152.43617201092238
2015-01-01,453.0,2021-07-01,150.21526054086024
2015-02-01,529.0,2021-08-01,148.09104666715288
2015-03-01,597.0,2021-09-01,146.0566786846534
2015-04-01,642.0,2021-10-01,144.10596716847942
2015-05-01,645.0,2021-11-01,142.23330479262734
2015-06-01,500.0,2021-12-01,140.43359771035608
2015-07-01,337.0,2022-01-01,138.70220657550044
2015-08-01,257.0,2022-02-01,137.034895643038
2015-09-01,517.0,2022-03-01,135.4277886721203
2015-10-01,546.0,2022-04-01,133.87733058214764
2015-11-01,685.0,2022-05-01,132.3802539950012
2015-12-01,2238.0,2022-06-01,130.93354994390356
2016-01-01,1773.0,2022-07-01,129.53444214896953
2016-02-01,827.0,2022-08-01,128.18036435705582
2016-03-01,152.0,2022-09-01,126.86894032346557
2016-04-01,127.0,2022-10-01,125.59796607888907
2016-05-01,52.0,2022-11-01,124.36539417939684
2016-06-01,96.0,2022-12-01,123.16931968250226
2016-07-01,69.0,2023-01-01,122.00796763000062
2016-08-01,25.0,2023-02-01,120.87968184983178
2016-09-01,70.0,2023-03-01,119.78291491571018
2016-10-01,71.0,2023-04-01,118.71621912560053
2016-11-01,73.0,2023-05-01,117.67823837901004
2016-12-01,26.0,2023-06-01,116.6677008490985
2017-01-01,84.0,2023-07-01,115.6834123592545
2017-02-01,81.0,2023-08-01,114.72425038543747
2017-03-01,70.0,2023-09-01,113.78915861556162
2017-04-01,55.0,2023-10-01,112.87714200576553
2017-05-01,56.0,2023-11-01,111.98726228078647
2017-06-01,63.0,2023-12-01,111.1186338320261
2017-07-01,69.0,2024-01-01,110.27041997240502
2017-08-01,67.0,2024-02-01,109.44182951188272
2017-09-01,45.0,2024-03-01,108.63211362167708
2017-10-01,55.0,2024-04-01,107.84056295884004
2017-11-01,63.0,2024-05-01,107.0665050260096
2017-12-01,65.0,2024-06-01,106.30930174392854
2018-01-01,125.0,2024-07-01,105.56834721674934
2018-02-01,39.0,2024-08-01,104.84306567227927
2018-03-01,53.0,2024-09-01,104.13290956120014
2018-04-01,60.0,2024-10-01,103.43735780095575
2018-05-01,49.0,2024-11-01,102.75591415146546
2018-06-01,65.0,2024-12-01,102.0881057111208
2018-07-01,1756.0,2025-01-01,101.43348152267315
2018-08-01,2489.0,2025-02-01,100.79161127964282
2018-09-01,2233.0,2025-03-01,100.16208412479065
2018-10-01,1501.0,2025-04-01,99.54450753300397
2018-11-01,741.0,2025-05-01,98.93850627167294
2018-12-01,269.0,2025-06-01,98.34372143228079
2019-01-01,891.0,2025-07-01,97.759809527511
