t,q,t_model,q_model
0.0,585.0,0.0,585.0
1.0,392.0,1.0,384.7224680536822
2.0,274.0,2.0,337.97331558177973
3.0,210.0,3.0,312.25688713654876
4.0,184.0,4.0,294.9126158972445
5.0,285.0,5.0,282.00444385515533
6.0,535.0,6.0,271.81727503398207
7.0,203.0,7.0,263.4570657404019
8.0,239.0,8.0,256.4017072053
9.0,80.0,9.0,250.32120594996812
10.0,0.0,10.0,244.9944397344837
11.0,243.0,11.0,240.26641062441098
12.0,205.0,12.0,236.02450709589556
13.0,252.0,13.0,232.18448790110725
14.0,26.0,14.0,228.68178614221543
15.0,0.0,15.0,225.4658891994119
16.0,87.0,16.0,222.49657978912094
17.0,255.0,17.0,219.74134723602606
18.0,365.0,18.0,217.17355910746096
19.0,288.0,19.0,214.77114115595873
20.0,237.0,20.0,212.5156056273405
21.0,136.0,21.0,210.39132361558444
22.0,36.0,22.0,208.3849717521798
23.0,75.0,23.0,206.48510562468996
24.0,160.0,24.0,204.68182677861782
25.0,37.0,25.0,202.9665198166019
26.0,294.0,26.0,201.33164268733137
27.0,108.0,27.0,199.77055781500152
28.0,280.0,28.0,198.27739492940697
29.0,254.0,29.0,196.84693874928652
30.0,319.0,30.0,195.47453633122637
31.0,305.0,31.0,194.1560201128939
32.0,288.0,32.0,192.8876435812313
33.0,506.0,33.0,191.66602717197648
34.0,480.0,34.0,190.4881125182222
35.0,375.0,35.0,189.35112355624904
36.0,390.0,36.0,188.25253329770428
37.0,528.0,37.0,187.19003531082734
38.0,410.0,38.0,186.16151913623958
39.0,393.0,39.0,185.16504900690293
40.0,441.0,40.0,184.19884535617823
41.0,451.0,41.0,183.26126868920886
42.0,437.0,42.0,182.35080546620011
43.0,590.0,43.0,181.46605570542232
44.0,265.0,44.0,180.60572206190827
45.0,195.0,45.0,179.76860017712278
46.0,324.0,46.0,178.9535701271402
47.0,265.0,47.0,178.15958882345615
48.0,245.0,48.0,177.38568324258264
49.0,227.0,49.0,176.63094437888694
50.0,204.0,50.0,175.89452183042644
51.0,187.0,51.0,175.17561894035057
52.0,211.0,52.0,174.47348842722462
53.0,183.0,53.0,173.78742844673764
54.0,159.0,54.0,173.11677903497235
55.0,144.0,55.0,172.4609188899749
56.0,163.0,56.0,171.81926245395388
57.0,152.0,57.0,171.19125726322517
58.0,153.0,58.0,170.57638153712082
59.0,159.0,59.0,169.9741419806135
60.0,105.0,60.0,169.38407177845218
61.0,171.0,61.0,168.80572876124046
62.0,120.0,62.0,168.2386937261719
63.0,209.0,63.0,167.6825688971233
64.0,111.0,64.0,167.13697651053627
65.0,133.0,65.0,166.60155751502697
66.0,139.0,66.0,166.07597037398799
67.0,150.0,67.0,165.55988996160366
68.0,96.0,68.0,165.05300654371993
69.0,111.0,69.0,164.55502483590766
70.0,109.0,70.0,164.065663131849
71.0,59.0,71.0,163.5846524958771
72.0,2.0,72.0,163.11173601411855
73.0,12.0,73.0,162.64666809923872
74.0,82.0,74.0,162.18921384427784
75.0,109.0,75.0,161.73914842150148
76.0,190.0,76.0,161.2962565225765
77.0,74.0,77.0,160.8603318367303
78.0,149.0,78.0,160.43117656386067
79.0,47.0,79.0,160.00860095984132
80.0,191.0,80.0,159.59242291151722
81.0,111.0,81.0,159.1824675391074
82.0,5.0,82.0,158.77856682393394
83.0,182.0,83.0,158.3805592595777
84.0,85.0,84.0,157.98828952472388
85.0,183.0,85.0,157.60160817610958
86.0,25.0,86.0,157.2203713601173
87.0,67.0,87.0,156.8444405416809
88.0,103.0,88.0,156.47368224927894
89.0,135.0,89.0,156.10796783489027
90.0,28.0,90.0,155.74717324787716
91.0,172.0,91.0,155.39117882184325
92.0,91.0,92.0,155.0398690735886
93.0,210.0,93.0,154.69313251335183
94.0,38.0,94.0,154.3508614655928
95.0,85.0,95.0,154.01295189962434
96.0,2.0,96.0,153.67930326945526
97.0,184.0,97.0,153.3498183622535
98.0,76.0,98.0,153.0244031548815
99.0,68.0,99.0,152.70296667799727
100.0,168.0,100.0,152.38542088724964
101.0,185.0,101.0,152.07168054113092
102.0,87.0,102.0,151.76166308508053
103.0,76.0,103.0,151.45528854146272
104.0,0.0,104.0,151.15247940506583
105.0,169.0,105.0,150.85316054379686
106.0,89.0,106.0,150.55725910426585
107.0,25.0,107.0,150.26470442197595
108.0,0.0,108.0,149.9754279358537
,,109.0,149.68936310687212
,,110.0,149.40644534053453
,,111.0,149.12661191300347
,,112.0,148.8498019006715
,,113.0,148.575956112985
,,114.0,148.30501702834306
,,115.0,148.0369287329053
,,116.0,147.7716368621525
,,117.0,147.5090885450539
,,118.0,147.24923235070358
,,119.0,146.9920182372967
,,120.0,146.73739750332464
,,121.0,146.48532274087498
,,122.0,146.23574779092863
,,123.0,145.9886277005534
,,124.0,145.74391868189892
,,125.0,145.5015780729031
,,126.0,145.26156429962577
,,127.0,145.0238368401299
,,128.0,144.78835618983467
,,129.0,144.55508382827048
,,130.0,144.32398218716762
,,131.0,144.0950146198161
,,132.0,143.8681453716366
,,133.0,143.64333955190554
,,134.0,143.4205631065813
,,135.0,143.19978279218032
,,136.0,142.9809661506552
,,137.0,142.76408148523
,,138.0,142.54909783714825
,,139.0,142.33598496329407
,,140.0,142.12471331464715
,,141.0,141.91525401553474
,,142.0,141.7075788436457
,,143.0,141.501660210774
,,144.0,141.29747114425928
,,145.0,141.09498526909545
,,146.0,140.89417679067842
,,147.0,140.69502047816593
,,148.0,140.49749164842393
