t,q,t_model,q_model
2013-05-01,5669.0,2014-05-01,579.6786187839205
2013-06-01,16144.0,2014-06-01,381.22288700256314
2013-07-01,6310.0,2014-07-01,334.8989824996036
2013-08-01,3838.0,2014-08-01,309.4164804121045
2013-09-01,4623.0,2014-09-01,292.22997922267956
2013-10-01,4205.0,2014-10-01,279.43922479467363
2013-11-01,3916.0,2014-11-01,269.34472231334655
2013-12-01,4708.0,2014-12-01,261.0605606448901
2014-01-01,3159.0,2015-01-01,254.06938031898716
2014-02-01,1468.0,2015-02-01,248.04418960239798
2014-03-01,570.0,2015-03-01,242.76587766671102
2014-04-01,1982.0,2015-04-01,238.08085649731424
2014-05-01,585.0,2015-05-01,233.8775389273579
2014-06-01,392.0,2015-06-01,230.07244999925769
2014-07-01,274.0,2015-07-01,226.6016101401014
2014-08-01,210.0,2015-08-01,223.41496621197186
2014-09-01,184.0,2015-09-01,220.47266676291278
2014-10-01,285.0,2015-10-01,217.74249684700416
2014-11-01,535.0,2015-11-01,215.19806629025825
2014-12-01,203.0,2015-12-01,212.81750164091036
2015-01-01,239.0,2016-01-01,210.58248331638478
2015-02-01,80.0,2016-02-01,208.47752457709882
2015-03-01,0.0,2016-03-01,206.48942324893994
2015-04-01,243.0,2016-04-01,204.6068390221747
2015-05-01,205.0,2016-05-01,202.8199634823912
2015-06-01,252.0,2016-06-01,201.1202596011402
2015-07-01,26.0,2016-07-01,199.50025393246162
2015-08-01,0.0,2016-08-01,197.95336927845028
2015-09-01,87.0,2016-09-01,196.47378876709834
2015-10-01,255.0,2016-10-01,195.05634455731524
2015-11-01,365.0,2016-11-01,193.6964260306198
2015-12-01,288.0,2016-12-01,192.38990353440244
2016-01-01,237.0,2017-01-01,191.13306463530478
2016-02-01,136.0,2017-02-01,189.9225605108593
2016-03-01,36.0,2017-03-01,188.75536061422065
2016-04-01,75.0,2017-04-01,187.62871413379472
2016-05-01,160.0,2017-05-01,186.54011706767045
2016-06-01,37.0,2017-06-01,185.48728396426273
2016-07-01,294.0,2017-07-01,184.46812356172944
2016-08-01,108.0,2017-08-01,183.4807177015016
2016-09-01,280.0,2017-09-01,182.52330300455102
2016-10-01,254.0,2017-10-01,181.59425488948636
2016-11-01,319.0,2017-11-01,180.69207358424316
2016-12-01,305.0,2017-12-01,179.815371841855
2017-01-01,288.0,2018-01-01,178.96286411849505
2017-02-01,506.0,2018-02-01,178.13335701092885
2017-03-01,480.0,2018-03-01,177.3257407824822
2017-04-01,375.0,2018-04-01,176.5389818329782
2017-05-01,390.0,2018-05-01,175.77211598991852
2017-06-01,528.0,2018-06-01,175.0242425163293
2017-07-01,410.0,2018-07-01,174.29451874584572
2017-08-01,393.0,2018-08-01,173.58215526830907
2017-09-01,441.0,2018-09-01,172.88641159983916
2017-10-01,451.0,2018-10-01,172.20659228036627
2017-11-01,437.0,2018-11-01,171.54204334925458
2017-12-01,590.0,2018-12-01,170.89214915614764
2018-01-01,265.0,2019-01-01,170.25632946970924
2018-02-01,195.0,2019-02-01,169.63403685167376
2018-03-01,324.0,2019-03-01,169.02475426768757
2018-04-01,265.0,2019-04-01,168.4279929099214
2018-05-01,245.0,2019-05-01,167.8432902094523
2018-06-01,227.0,2019-06-01,167.2702080190239
2018-07-01,204.0,2019-07-01,166.708330949057
2018-08-01,187.0,2019-08-01,166.15726484175048
2018-09-01,211.0,2019-09-01,165.616635369826
2018-10-01,183.0,2019-10-01,165.08608674796704
2018-11-01,159.0,2019-11-01,164.56528054631224
2018-12-01,144.0,2019-12-01,164.0538945965133
