t,q,t_model,q_model
0.0,1227.0,0.0,1227.0
1.0,1177.0,1.0,1195.931356420134
2.0,1070.0,2.0,1166.1969126362035
3.0,735.0,3.0,1137.7166965557085
4.0,716.0,4.0,1110.4168414071603
5.0,833.0,5.0,1084.2290229317318
6.0,858.0,6.0,1059.0899570705803
7.0,838.0,7.0,1034.9409507500186
8.0,177.0,8.0,1011.7274993772705
9.0,377.0,9.0,989.3989255180481
10.0,672.0,10.0,967.9080539585833
11.0,1353.0,11.0,947.2109189794918
12.0,738.0,12.0,927.2665002039406
13.0,1025.0,13.0,908.0364838420112
14.0,622.0,14.0,889.4850465485949
15.0,310.0,15.0,871.5786594533195
16.0,728.0,16.0,854.2859102160288
17.0,752.0,17.0,837.5773412170239
18.0,530.0,18.0,821.4253022133353
19.0,796.0,19.0,805.8038159855753
20.0,642.0,20.0,790.6884556684863
21.0,543.0,21.0,776.0562326055804
22.0,648.0,22.0,761.8854936972392
23.0,364.0,23.0,748.1558273247459
24.0,761.0,24.0,734.8479770321251
25.0,646.0,25.0,721.9437622351619
26.0,588.0,26.0,709.4260053041272
27.0,459.0,27.0,697.2784644348825
28.0,530.0,28.0,685.485771783331
29.0,408.0,29.0,674.0333763916017
30.0,561.0,30.0,662.9074914817678
31.0,145.0,31.0,652.0950457350372
32.0,1003.0,32.0,641.5836382118626
33.0,485.0,33.0,631.3614966018541
34.0,544.0,34.0,621.4174385222184
35.0,327.0,35.0,611.7408356101264
36.0,1058.0,36.0,602.3215801782874
37.0,554.0,37.0,593.1500542244007
38.0,529.0,38.0,584.2171006043626
39.0,551.0,39.0,575.5139961963476
40.0,406.0,40.0,567.0324268984103
41.0,607.0,41.0,558.764464316217
42.0,427.0,42.0,550.702544010127
43.0,510.0,43.0,542.839445182208
44.0,396.0,44.0,535.1682716940535
45.0,457.0,45.0,527.6824343155633
46.0,299.0,46.0,520.3756341132716
47.0,381.0,47.0,513.2418468944356
48.0,551.0,48.0,506.2753086300293
49.0,566.0,49.0,499.4705017860738
50.0,440.0,50.0,492.8221424984591
51.0,437.0,51.0,486.32516853161894
52.0,352.0,52.0,479.97472796616137
53.0,491.0,53.0,473.76616856488437
54.0,417.0,54.0,467.69502777055277
55.0,272.0,55.0,461.75702329241636
56.0,232.0,56.0,455.9480442417469
57.0,617.0,57.0,450.2641427796867
58.0,411.0,58.0,444.70152624346434
59.0,377.0,59.0,439.2565497195626
60.0,304.0,60.0,433.9257090347485
61.0,26.0,61.0,428.70563413800323
62.0,43.0,62.0,423.59308284835186
63.0,609.0,63.0,418.5849349453895
64.0,600.0,64.0,413.6781865809594
65.0,642.0,65.0,408.86994499196294
66.0,257.0,66.0,404.15742349568666
67.0,411.0,67.0,399.53793675032693
68.0,261.0,68.0,395.0088962645906
69.0,282.0,69.0,390.56780614135045
70.0,330.0,70.0,386.2122590413584
71.0,252.0,71.0,381.93993235395897
72.0,287.0,72.0,377.7485845626206
73.0,239.0,73.0,373.63605179391004
74.0,194.0,74.0,369.6002445392811
75.0,248.0,75.0,365.63914453974536
76.0,207.0,76.0,361.7508018241351
77.0,177.0,77.0,357.93333189226513
78.0,146.0,78.0,354.1849130348543
79.0,256.0,79.0,350.50378378258466
80.0,193.0,80.0,346.88824047715383
81.0,187.0,81.0,343.33663495761965
82.0,194.0,82.0,339.8473723557559
83.0,232.0,83.0,336.418908994519
84.0,256.0,84.0,333.0497503840872
85.0,356.0,85.0,329.73844931027077
86.0,322.0,86.0,326.48360401040196
87.0,86.0,87.0,323.28385643210606
88.0,235.0,88.0,320.1378905706288
89.0,68.0,89.0,317.04443088064863
90.0,41.0,90.0,314.00224075873973
91.0,10.0,91.0,311.0101210928767
92.0,28.0,92.0,308.0669088755766
93.0,88.0,93.0,305.17147587747104
94.0,53.0,94.0,302.32272737828373
95.0,137.0,95.0,299.51960095235705
96.0,90.0,96.0,296.76106530603465
97.0,503.0,97.0,294.04611916435505
98.0,213.0,98.0,291.3737902046528
99.0,530.0,99.0,288.74313403479533
100.0,206.0,100.0,286.15323321390974
101.0,199.0,101.0,283.6031963135664
102.0,173.0,102.0,281.0921570175003
103.0,249.0,103.0,278.6192732580508
104.0,175.0,104.0,276.18372638759797
105.0,239.0,105.0,273.7847203833663
106.0,119.0,106.0,271.42148108405
107.0,94.0,107.0,269.0932554567961
108.0,254.0,108.0,266.79931089315767
109.0,210.0,109.0,264.5389345327008
110.0,233.0,110.0,262.311432613016
111.0,202.0,111.0,260.1161298449492
112.0,230.0,112.0,257.95236881192733
113.0,140.0,113.0,255.8195093923093
114.0,31.0,114.0,253.7169282037485
115.0,102.0,115.0,251.6440180686009
116.0,107.0,116.0,249.6001874994634
117.0,103.0,117.0,247.5848602039695
118.0,829.0,118.0,245.59747460801415
119.0,277.0,119.0,243.63748339661836
120.0,697.0,120.0,241.70435307168316
121.0,229.0,121.0,239.79756352591826
122.0,206.0,122.0,237.916607632265
123.0,344.0,123.0,236.0609908481654
124.0,221.0,124.0,234.2302308340597
125.0,97.0,125.0,232.42385708552416
126.0,0.0,126.0,230.6414105784875
127.0,199.0,127.0,228.88244342699198
128.0,376.0,128.0,227.14651855298766
129.0,202.0,129.0,225.43320936767404
130.0,146.0,130.0,223.74209946392406
131.0,194.0,131.0,222.07278231934683
132.0,152.0,132.0,220.424861009566
133.0,199.0,133.0,218.79794793130932
134.0,137.0,134.0,217.19166453492298
135.0,117.0,135.0,215.6056410659415
136.0,84.0,136.0,214.03951631536071
137.0,329.0,137.0,212.49293737827622
138.0,56.0,138.0,210.96555942056509
139.0,56.0,139.0,209.45704545330204
140.0,163.0,140.0,207.96706611461553
141.0,208.0,141.0,206.49529945870063
142.0,343.0,142.0,205.04143075171893
