t,q,t_model,q_model
2007-05-01,10700.0,2008-11-01,1733.2256030927513
2007-06-01,6457.0,2008-12-01,1421.7238338657778
2007-07-01,6996.0,2009-01-01,1237.2036174019745
2007-08-01,6130.0,2009-02-01,1111.4456678241077
2007-09-01,5299.0,2009-03-01,1018.5738262308229
2007-10-01,5399.0,2009-04-01,946.3101588031069
2007-11-01,4849.0,2009-05-01,887.9747422578106
2007-12-01,4372.0,2009-06-01,839.5780138392558
2008-01-01,2997.0,2009-07-01,798.5695757921176
2008-02-01,2200.0,2009-08-01,763.2321942028825
2008-03-01,3045.0,2009-09-01,732.3612601342451
2008-04-01,2709.0,2009-10-01,705.0832340066223
2008-05-01,2007.0,2009-11-01,680.747014994458
2008-06-01,6532.0,2009-12-01,658.8559528907258
2008-07-01,1875.0,2010-01-01,639.0236655157889
2008-08-01,1940.0,2010-02-01,620.9443943239693
2008-09-01,1670.0,2010-03-01,604.3725602940345
2008-10-01,2509.0,2010-04-01,589.1083237323168
2008-11-01,1938.0,2010-05-01,574.9871685254706
2008-12-01,1227.0,2010-06-01,561.8722483994146
2009-01-01,1177.0,2010-07-01,549.6486688621142
2009-02-01,1070.0,2010-08-01,538.2191513371574
2009-03-01,735.0,2010-09-01,527.5007010012037
2009-04-01,716.0,2010-10-01,517.4220146467444
2009-05-01,833.0,2010-11-01,507.92144175126816
2009-06-01,858.0,2010-12-01,498.94536434334054
2009-07-01,838.0,2011-01-01,490.44689759721297
2009-08-01,177.0,2011-02-01,482.3848386762518
2009-09-01,377.0,2011-03-01,474.7228096187915
2009-10-01,672.0,2011-04-01,467.4285532799563
2009-11-01,1353.0,2011-05-01,460.4733510226918
2009-12-01,738.0,2011-06-01,453.83153801823545
2010-01-01,1025.0,2011-07-01,447.48009737814857
2010-02-01,622.0,2011-08-01,441.39831839047224
2010-03-01,310.0,2011-09-01,435.56750722014
2010-04-01,728.0,2011-10-01,429.97074080741515
2010-05-01,752.0,2011-11-01,424.5926565374942
2010-06-01,530.0,2011-12-01,419.4192716904993
2010-07-01,796.0,2012-01-01,414.43782781024817
2010-08-01,642.0,2012-02-01,409.63665602396543
2010-09-01,543.0,2012-03-01,405.00506005703966
2010-10-01,648.0,2012-04-01,400.53321425742257
2010-11-01,364.0,2012-05-01,396.2120744040126
2010-12-01,761.0,2012-06-01,392.03329944586346
2011-01-01,646.0,2012-07-01,387.98918262241756
2011-02-01,588.0,2012-08-01,384.07259066322024
2011-03-01,459.0,2012-09-01,380.27690996968505
2011-04-01,530.0,2012-10-01,376.5959988500443
2011-05-01,408.0,2012-11-01,373.02414501841594
2011-06-01,561.0,2012-12-01,369.5560276853322
2011-07-01,145.0,2013-01-01,366.18668366438925
2011-08-01,1003.0,2013-02-01,362.9114770013334
2011-09-01,485.0,2013-03-01,359.7260717006596
2011-10-01,544.0,2013-04-01,356.6264071828955
2011-11-01,327.0,2013-05-01,353.6086761550026
2011-12-01,1058.0,2013-06-01,350.66930461820937
2012-01-01,554.0,2013-07-01,347.80493377332533
2012-02-01,529.0,2013-08-01,345.01240361415717
2012-03-01,551.0,2013-09-01,342.2887380258708
2012-04-01,406.0,2013-10-01,339.6311312277137
2012-05-01,607.0,2013-11-01,337.03693541896973
2012-06-01,427.0,2013-12-01,334.50364950385494
2012-07-01,510.0,2014-01-01,332.0289087856498
2012-08-01,396.0,2014-02-01,329.6104755330443
2012-09-01,457.0,2014-03-01,327.2462303327147
2012-10-01,299.0,2014-04-01,324.9341641517895
2012-11-01,381.0,2014-05-01,322.67237104229457
2012-12-01,551.0,2014-06-01,320.459041427057
2013-01-01,566.0,2014-07-01,318.292455913043
2013-02-01,440.0,2014-08-01,316.17097958381436
2013-03-01,437.0,2014-09-01,314.09305672783034
2013-04-01,352.0,2014-10-01,312.05720596376943
2013-05-01,491.0,2014-11-01,310.06201572798585
2013-06-01,417.0,2014-12-01,308.106140092707
2013-07-01,272.0,2015-01-01,306.188294886678
2013-08-01,232.0,2015-02-01,304.3072540927183
2013-09-01,617.0,2015-03-01,302.461846499112
2013-10-01,411.0,2015-04-01,300.65095258394615
2013-11-01,377.0,2015-05-01,298.8735016134697
2013-12-01,304.0,2015-06-01,297.12846893730125
2014-01-01,26.0,2015-07-01,295.4148734648819
2014-02-01,43.0,2015-08-01,293.731775308983
2014-03-01,609.0,2015-09-01,292.0782735833454
2014-04-01,600.0,2015-10-01,290.4535043426652
2014-05-01,642.0,2015-11-01,288.8566386541733
2014-06-01,257.0,2015-12-01,287.2868807909784
2014-07-01,411.0,2016-01-01,285.74346653818486
2014-08-01,261.0,2016-02-01,284.22566160355336
2014-09-01,282.0,2016-03-01,282.7327601251558
2014-10-01,330.0,2016-04-01,281.26408326910297
2014-11-01,252.0,2016-05-01,279.8189779109827
2014-12-01,287.0,2016-06-01,278.3968153951635
2015-01-01,239.0,2016-07-01,276.9969903665812
2015-02-01,194.0,2016-08-01,275.6189196700543
2015-03-01,248.0,2016-09-01,274.2620413125589
2015-04-01,207.0,2016-10-01,272.9258134842472
2015-05-01,177.0,2016-11-01,271.6097136343177
2015-06-01,146.0,2016-12-01,270.313237598137
2015-07-01,256.0,2017-01-01,269.0358987722878
2015-08-01,193.0,2017-02-01,267.77722733445853
2015-09-01,187.0,2017-03-01,266.53676950532235
