t,q,t_model,q_model
0.0,5180.0,0.0,5180.0
1.0,4063.0,1.0,3624.320847480904
2.0,2776.0,2.0,2818.3511013210473
3.0,2412.0,3.0,2320.633112706697
4.0,2154.0,4.0,1980.7443272449223
5.0,1619.0,5.0,1732.915009892909
6.0,1849.0,6.0,1543.6686073551043
7.0,1329.0,7.0,1394.107873720343
8.0,1441.0,8.0,1272.7300497179433
9.0,1392.0,9.0,1172.1187088768231
10.0,785.0,10.0,1087.2698695119232
11.0,1039.0,11.0,1014.6806666672351
12.0,684.0,12.0,951.8232166700318
13.0,761.0,13.0,896.8258919463912
14.0,725.0,14.0,848.2723170063509
15.0,589.0,15.0,805.0702008141934
16.0,824.0,16.0,766.3631896506271
17.0,774.0,17.0,731.4700974836261
18.0,627.0,18.0,699.8420602674066
19.0,655.0,19.0,671.0317216960228
20.0,591.0,20.0,644.6706760383427
21.0,653.0,21.0,620.4526910539654
22.0,559.0,22.0,598.1210497259578
23.0,492.0,23.0,577.4588746321821
24.0,338.0,24.0,558.2816440080708
25.0,490.0,25.0,540.4313399375059
26.0,537.0,26.0,523.7718269275402
27.0,396.0,27.0,508.1851685044471
28.0,506.0,28.0,493.5686664035344
29.0,481.0,29.0,479.832461777815
30.0,394.0,30.0,466.8975774533201
31.0,459.0,31.0,454.6943091863945
32.0,399.0,32.0,443.1608952385437
33.0,664.0,33.0,432.24240951717974
34.0,445.0,34.0,421.88983552790154
35.0,758.0,35.0,412.0592874982125
36.0,431.0,36.0,402.7113520144961
37.0,10.0,37.0,393.8105289045356
38.0,424.0,38.0,385.32475429046065
39.0,542.0,39.0,377.22499202072356
40.0,338.0,40.0,369.48488227858144
41.0,316.0,41.0,362.08043821839357
42.0,288.0,42.0,354.9897831201056
43.0,235.0,43.0,348.1929218677036
44.0,320.0,44.0,341.6715416187718
45.0,289.0,45.0,335.4088373930109
46.0,284.0,46.0,329.38935900899537
47.0,237.0,47.0,323.59887637271373
48.0,214.0,48.0,318.0242605936739
49.0,241.0,49.0,312.6533787943551
50.0,271.0,50.0,307.47500080216685
51.0,735.0,51.0,302.47871618227214
52.0,713.0,52.0,297.6548602945508
53.0,464.0,53.0,292.99444824658264
54.0,491.0,54.0,288.48911577322934
55.0,368.0,55.0,284.1310662073646
56.0,416.0,56.0,279.9130228197687
57.0,163.0,57.0,275.82818590259
58.0,0.0,58.0,271.87019405290084
59.0,195.0,59.0,268.03308918304793
60.0,371.0,60.0,264.31128484462016
61.0,0.0,61.0,260.6995375045078
62.0,601.0,62.0,257.1929204560147
63.0,514.0,63.0,253.78680008639512
64.0,494.0,64.0,250.4768142554308
65.0,406.0,65.0,247.25885256850742
66.0,639.0,66.0,244.12903835272098
67.0,264.0,67.0,241.08371216639793
68.0,243.0,68.0,238.11941669148996
69.0,296.0,69.0,235.23288287500083
70.0,263.0,70.0,232.42101720023672
71.0,326.0,71.0,229.68088998153087
72.0,241.0,72.0,227.00972458740574
73.0,273.0,73.0,224.40488750711467
74.0,265.0,74.0,221.8638791843144
75.0,273.0,75.0,219.38432554941585
76.0,173.0,76.0,216.9639701890696
77.0,245.0,77.0,214.600667097376
78.0,306.0,78.0,212.2923739588599
79.0,290.0,79.0,210.03714591810834
80.0,284.0,80.0,207.83312979529651
81.0,63.0,81.0,205.67855871069625
82.0,182.0,82.0,203.57174708471806
83.0,62.0,83.0,201.51108598313684
84.0,106.0,84.0,199.49503877992734
85.0,123.0,85.0,197.52213711263212
86.0,219.0,86.0,195.5909771074256
87.0,399.0,87.0,193.70021585305938
88.0,259.0,88.0,191.84856810469233
89.0,414.0,89.0,190.03480320025406
90.0,270.0,90.0,188.25774217347214
91.0,135.0,91.0,186.51625504903924
92.0,169.0,92.0,184.8092583066103
93.0,153.0,93.0,183.13571250142297
94.0,133.0,94.0,181.4946200303361
95.0,187.0,95.0,179.88502303298893
96.0,168.0,96.0,178.30600141861123
97.0,186.0,97.0,176.75667100976725
98.0,167.0,98.0,175.23618179500255
99.0,180.0,99.0,173.74371628298798
100.0,143.0,100.0,172.27848795132667
101.0,207.0,101.0,170.83973978371264
102.0,154.0,102.0,169.42674288960595
103.0,172.0,103.0,168.03879520102757
104.0,200.0,104.0,166.67522024147772
105.0,148.0,105.0,165.33536596234796
106.0,174.0,106.0,164.01860364253614
107.0,163.0,107.0,162.72432684728147
108.0,180.0,108.0,161.45195044252304
109.0,175.0,109.0,160.20090966134654
110.0,86.0,110.0,158.9706592193254
111.0,103.0,111.0,157.7606724757856
112.0,107.0,112.0,156.57044063822664
113.0,163.0,113.0,155.39947200732306
114.0,124.0,114.0,154.24729126010345
115.0,149.0,115.0,153.11343876906628
116.0,268.0,116.0,151.99746995514198
117.0,127.0,117.0,150.89895467254715
118.0,91.0,118.0,149.81747662370722
119.0,118.0,119.0,148.75263280254012
120.0,0.0,120.0,147.7040329645053
121.0,116.0,121.0,146.67129912192428
122.0,104.0,122.0,145.65406506317208
123.0,125.0,123.0,144.65197589443002
124.0,127.0,124.0,143.66468760276882
125.0,78.0,125.0,142.69186663941008
126.0,151.0,126.0,141.73318952208257
127.0,26.0,127.0,140.78834245545826
128.0,166.0,128.0,139.8570209687119
129.0,120.0,129.0,138.93892956930785
130.0,0.0,130.0,138.03378141216916
131.0,149.0,131.0,137.14129798343535
132.0,0.0,132.0,136.26120879806155
133.0,285.0,133.0,135.3932511105543
134.0,170.0,134.0,134.53716963818172
135.0,14.0,135.0,133.69271629603233
136.0,0.0,136.0,132.85964994333327
137.0,299.0,137.0,132.03773614047165
138.0,158.0,138.0,131.22674691619454
139.0,173.0,139.0,130.42646054449114
140.0,69.0,140.0,129.63666133069017
141.0,0.0,141.0,128.85713940632903
142.0,98.0,142.0,128.08769053237714
143.0,213.0,143.0,127.32811591041774
144.0,81.0,144.0,126.57822200141372
145.0,218.0,145.0,125.8378203517038
146.0,216.0,146.0,125.10672742589307
147.0,236.0,147.0,124.38476444632064
148.0,317.0,148.0,123.6717572388033
149.0,177.0,149.0,122.96753608436968
150.0,172.0,150.0,122.2719355767147
151.0,407.0,151.0,121.5847944851172
152.0,159.0,152.0,120.90595562257768
153.0,192.0,153.0,120.23526571894446
154.0,210.0,154.0,119.57257529880938
155.0,171.0,155.0,118.91773856396381
156.0,146.0,156.0,118.27061328021705
157.0,162.0,157.0,117.6310606683894
158.0,184.0,158.0,116.99894529929968
159.0,165.0,159.0,116.37413499257775
,,160.0,115.75650071913971
,,161.0,115.14591650717114
,,162.0,114.54225935147241
,,163.0,113.94540912602521
,,164.0,113.35524849964773
,,165.0,112.77166285461134
,,166.0,112.19454020809776
,,167.0,111.6237711363814
,,168.0,111.05924870162666
,,169.0,110.5008683811955
,,170.0,109.9485279993648
,,171.0,109.40212766135824
,,172.0,108.86156968960094
,,173.0,108.32675856211014
,,174.0,107.79760085293829
,,175.0,107.27400517458899
,,176.0,106.7558821223301
,,177.0,106.24314422033055
,,178.0,105.7357058695518
,,179.0,105.23348329732761
,,180.0,104.73639450856774
,,181.0,104.24435923852535
,,182.0,103.75729890706927
,,183.0,103.27513657440585
,,184.0,102.79779689819614
,,185.0,102.32520609201802
,,186.0,101.85729188512364
,,187.0,101.39398348344506
,,188.0,100.9352115318035
,,189.0,100.48090807727854
,,190.0,100.03100653369579
,,191.0,99.58544164719365
,,192.0,99.14414946283027
,,193.0,98.70706729219509
,,194.0,98.2741336819888
,,195.0,97.84528838353843
,,196.0,97.42047232321548
,,197.0,96.99962757372512
,,198.0,96.5826973262374
,,199.0,96.16962586333113
