t,q,t_model,q_model
2009-08-01,475.0,2010-01-01,9894.836623550484
2009-09-01,6850.0,2010-02-01,5308.495177779578
2009-10-01,2212.0,2010-03-01,3714.710075529753
2009-11-01,8879.0,2010-04-01,2889.1173180959718
2009-12-01,13862.0,2010-05-01,2379.278010949307
2010-01-01,9894.0,2010-06-01,2031.0927229618937
2010-02-01,5180.0,2010-07-01,1777.1959626104199
2010-03-01,4063.0,2010-08-01,1583.3015622232024
2010-04-01,2776.0,2010-09-01,1430.0557795765308
2010-05-01,2412.0,2010-10-01,1305.6779889608058
2010-06-01,2154.0,2010-11-01,1202.5724930131942
2010-07-01,1619.0,2010-12-01,1115.614227257219
2010-08-01,1849.0,2011-01-01,1041.215458571612
2010-09-01,1329.0,2011-02-01,976.7869701885326
2010-10-01,1441.0,2011-03-01,920.4116557279667
2010-11-01,1392.0,2011-04-01,870.6386699385315
2010-12-01,785.0,2011-05-01,826.3490976374267
2011-01-01,1039.0,2011-06-01,786.6656792613732
2011-02-01,684.0,2011-07-01,750.8905734902022
2011-03-01,761.0,2011-08-01,718.4614758073548
2011-04-01,725.0,2011-09-01,688.9200586664273
2011-05-01,589.0,2011-10-01,661.8888679984062
2011-06-01,824.0,2011-11-01,637.0541393853415
2011-07-01,774.0,2011-12-01,614.1528325947636
2011-08-01,627.0,2012-01-01,592.9627208958005
2011-09-01,655.0,2012-02-01,573.2947251230731
2011-10-01,591.0,2012-03-01,554.9869194129914
2011-11-01,653.0,2012-04-01,537.899797160382
2011-12-01,559.0,2012-05-01,521.9124977631719
2012-01-01,492.0,2012-06-01,506.9197735143783
2012-02-01,338.0,2012-07-01,492.8295321777888
2012-03-01,490.0,2012-08-01,479.56083134327133
2012-04-01,537.0,2012-09-01,467.04223028456454
2012-05-01,396.0,2012-10-01,455.21042691940505
2012-06-01,506.0,2012-11-01,444.00912379032656
2012-07-01,481.0,2012-12-01,433.38807927239264
2012-08-01,394.0,2013-01-01,423.30230954933603
2012-09-01,459.0,2013-02-01,413.71141405085814
2012-10-01,399.0,2013-03-01,404.57900256516365
2012-11-01,664.0,2013-04-01,395.872206535241
2012-12-01,445.0,2013-05-01,387.5612604109424
2013-01-01,758.0,2013-06-01,379.6191415807586
2013-02-01,431.0,2013-07-01,372.0212595110153
2013-03-01,10.0,2013-08-01,364.74518639919506
2013-04-01,424.0,2013-09-01,357.7704229955697
2013-05-01,542.0,2013-10-01,351.0781943345587
2013-06-01,338.0,2013-11-01,344.65127099896216
2013-07-01,316.0,2013-12-01,338.4738122587689
2013-08-01,288.0,2014-01-01,332.53122801453713
2013-09-01,235.0,2014-02-01,326.8100569591342
2013-10-01,320.0,2014-03-01,321.29785877116245
2013-11-01,289.0,2014-04-01,315.9831184846962
2013-12-01,284.0,2014-05-01,310.8551614557472
2014-01-01,237.0,2014-06-01,305.90407757630595
2014-02-01,214.0,2014-07-01,301.1206535800425
2014-03-01,241.0,2014-08-01,296.4963124463369
2014-04-01,271.0,2014-09-01,292.02305904658
2014-05-01,735.0,2014-10-01,287.69343129293094
2014-06-01,713.0,2014-11-01,283.5004561484806
2014-07-01,464.0,2014-12-01,279.437609941915
2014-08-01,491.0,2015-01-01,275.4987825016693
2014-09-01,368.0,2015-02-01,271.67824468617147
2014-10-01,416.0,2015-03-01,267.97061893969516
2014-11-01,163.0,2015-04-01,264.37085254892946
2014-12-01,0.0,2015-05-01,260.8741933147261
2015-01-01,195.0,2015-06-01,257.4761673875559
2015-02-01,371.0,2015-07-01,254.17255904475635
2015-03-01,0.0,2015-08-01,250.9593922133462
2015-04-01,601.0,2015-09-01,247.83291356457676
2015-05-01,514.0,2015-10-01,244.7895770259375
