t,q,t_model,q_model
2013-03-01,1655.0,2013-04-01,1582.5104392038477
2013-04-01,1644.0,2013-05-01,1210.019943985689
2013-05-01,1069.0,2013-06-01,991.0421560103148
2013-06-01,1033.0,2013-07-01,845.3355977210416
2013-07-01,867.0,2013-08-01,740.6732266989872
2013-08-01,616.0,2013-09-01,661.4698919890783
2013-09-01,694.0,2013-10-01,599.2200333146113
2013-10-01,732.0,2013-11-01,548.8670447457414
2013-11-01,564.0,2013-12-01,507.2060783003213
2013-12-01,439.0,2014-01-01,472.1022810030338
2014-01-01,584.0,2014-02-01,442.07573646824784
2014-02-01,412.0,2014-03-01,416.0664790037198
2014-03-01,376.0,2014-04-01,393.2943366180612
2014-04-01,358.0,2014-05-01,373.1716432352992
2014-05-01,406.0,2014-06-01,355.24686013502225
2014-06-01,355.0,2014-07-01,339.16700920942895
2014-07-01,252.0,2014-08-01,324.6519571816635
2014-08-01,243.0,2014-09-01,311.47639253550534
2014-09-01,234.0,2014-10-01,299.4569287372583
2014-10-01,289.0,2014-11-01,288.4427037172907
2014-11-01,304.0,2014-12-01,278.308413675728
2014-12-01,283.0,2015-01-01,268.9490735156657
2015-01-01,328.0,2015-02-01,260.2760225761278
2015-02-01,244.0,2015-03-01,252.21384221956248
2015-03-01,266.0,2015-04-01,244.6979503851286
2015-04-01,235.0,2015-05-01,237.67270510493955
2015-05-01,321.0,2015-06-01,231.08989513165056
2015-06-01,223.0,2015-07-01,224.90752815785066
2015-07-01,153.0,2015-08-01,219.0888500777358
2015-08-01,134.0,2015-09-01,213.6015452726512
2015-09-01,275.0,2015-10-01,208.41707994255913
2015-10-01,430.0,2015-11-01,203.51015937331445
2015-11-01,162.0,2015-12-01,198.8582766288585
2015-12-01,161.0,2016-01-01,194.44133511620737
2016-01-01,161.0,2016-02-01,190.2413312311416
2016-02-01,164.0,2016-03-01,186.2420861679183
2016-03-01,189.0,2016-04-01,182.42901819290338
2016-04-01,211.0,2016-05-01,178.78894840362307
2016-05-01,38.0,2016-06-01,175.309934341426
2016-06-01,19.0,2016-07-01,171.98112688646793
2016-07-01,540.0,2016-08-01,168.79264670421244
2016-08-01,264.0,2016-09-01,165.73547718276268
2016-09-01,222.0,2016-10-01,162.8013713376981
2016-10-01,190.0,2016-11-01,159.9827705943295
2016-11-01,247.0,2016-12-01,157.27273370840228
2016-12-01,205.0,2017-01-01,154.6648743722336
2017-01-01,200.0,2017-02-01,152.1533062872626
2017-02-01,184.0,2017-03-01,149.73259467632417
2017-03-01,289.0,2017-04-01,147.39771336772495
2017-04-01,186.0,2017-05-01,145.14400671480223
