t,q,t_model,q_model
0.0,537.0,0.0,537.0
1.0,522.0,1.0,440.5499108333006
2.0,488.0,2.0,383.4491709793816
3.0,443.0,3.0,344.5401147913875
4.0,361.0,4.0,315.8074309383171
5.0,310.0,5.0,293.4503365146727
6.0,276.0,6.0,275.4017273169844
7.0,131.0,7.0,260.4273056220967
8.0,9.0,8.0,247.7381357389703
9.0,0.0,9.0,236.80305893778632
10.0,346.0,10.0,227.2494976516074
11.0,406.0,11.0,218.80728075499968
12.0,296.0,12.0,211.27503706096226
13.0,271.0,13.0,204.49916434961867
14.0,227.0,14.0,198.36016329934304
15.0,270.0,15.0,192.7634687477322
16.0,181.0,16.0,187.6331267917445
17.0,167.0,17.0,182.90732890509048
18.0,206.0,18.0,178.53519076062912
19.0,196.0,19.0,174.47438526871593
20.0,93.0,20.0,170.68937425366732
21.0,212.0,21.0,167.1500675828316
22.0,157.0,22.0,163.83079269312844
23.0,150.0,23.0,160.70949296914887
24.0,156.0,24.0,157.76709719801372
25.0,153.0,25.0,154.9870185348241
26.0,136.0,26.0,152.35475265143955
27.0,219.0,27.0,149.8575526547377
28.0,173.0,28.0,147.48416401151914
29.0,119.0,29.0,145.22460680542181
30.0,149.0,30.0,143.06999564457416
31.0,140.0,31.0,141.01238975502935
32.0,125.0,32.0,139.0446674531196
33.0,210.0,33.0,137.1604204424114
34.0,127.0,34.0,135.35386433572916
35.0,147.0,35.0,133.61976253672472
36.0,28.0,36.0,131.95336118427144
37.0,111.0,37.0,130.35033330704863
38.0,354.0,38.0,128.80673068486124
39.0,218.0,39.0,127.31894218963116
40.0,177.0,40.0,125.88365759915501
41.0,14.0,41.0,124.49783605314411
42.0,0.0,42.0,123.15867846323479
43.0,137.0,43.0,121.86360330385239
44.0,469.0,44.0,120.61022530462307
45.0,234.0,45.0,119.39633664180346
46.0,221.0,46.0,118.21989028931878
47.0,196.0,47.0,117.07898524213128
48.0,235.0,48.0,115.97185336789288
49.0,236.0,49.0,114.89684767883935
50.0,227.0,50.0,113.85243184597799
51.0,225.0,51.0,112.83717080287587
52.0,164.0,52.0,111.84972230761936
53.0,135.0,53.0,110.88882934948572
54.0,117.0,54.0,109.9533133020998
55.0,71.0,55.0,109.04206773780489
56.0,166.0,56.0,108.15405282902681
57.0,99.0,57.0,107.2882902718666
58.0,120.0,58.0,106.44385867526832
59.0,72.0,59.0,105.61988936608779
60.0,70.0,60.0,104.8155625664084
61.0,56.0,61.0,104.03010390465515
62.0,117.0,62.0,103.26278122657232
63.0,0.0,63.0,102.51290167605075
64.0,78.0,64.0,101.77980901920711
65.0,0.0,65.0,101.06288118809852
66.0,107.0,66.0,100.36152802306441
67.0,32.0,67.0,99.67518919497336
68.0,0.0,68.0,99.00333229066139
69.0,92.0,69.0,98.34545104661504
70.0,73.0,70.0,97.70106371751162
71.0,0.0,71.0,97.0697115676051
72.0,12.0,72.0,96.45095747416529
73.0,0.0,73.0,95.84438463325706
74.0,78.0,74.0,95.24959535910673
75.0,62.0,75.0,94.66620996915474
76.0,73.0,76.0,94.09386574765486
77.0,79.0,77.0,93.53221598135755
78.0,68.0,78.0,92.98092906142195
79.0,57.0,79.0,92.43968764624256
80.0,51.0,80.0,91.90818788036391
81.0,132.0,81.0,91.3861386650917
82.0,61.0,82.0,90.87326097680203
83.0,0.0,83.0,90.36928722930257
84.0,102.0,84.0,89.87396067691782
85.0,34.0,85.0,89.38703485525761
86.0,263.0,86.0,88.90827305688684
87.0,126.0,87.0,88.43744783934923
88.0,237.0,88.0,87.97434056321
89.0,81.0,89.0,87.51874095797473
90.0,143.0,90.0,87.07044671391641
91.0,104.0,91.0,86.6292630980014
92.0,137.0,92.0,86.19500259224934
,,93.0,85.76748455299324
,,94.0,85.34653488962617
,,95.0,84.9319857615299
,,96.0,84.52367529198072
,,97.0,84.12144729791916
,,98.0,83.7251510345532
,,99.0,83.33464095384183
,,100.0,82.9497764759751
,,101.0,82.57042177303174
,,102.0,82.19644556405397
,,103.0,81.82772092083384
,,104.0,81.46412508375471
,,105.0,81.10553928707849
,,106.0,80.75184859311021
,,107.0,80.40294173471182
,,108.0,80.05871096567219
,,109.0,79.71905191847428
,,110.0,79.38386346903039
,,111.0,79.05304760798565
,,112.0,78.72650931821565
,,113.0,78.4041564581686
,,114.0,78.0858996507252
,,115.0,77.77165217727007
,,116.0,77.46132987668815
,,117.0,77.15485104901755
,,118.0,76.85213636350693
,,119.0,76.5531087708414
,,120.0,76.25769341931517
,,121.0,75.96581757474254
,,122.0,75.67741054391196
,,123.0,75.39240360139902
,,124.0,75.11072991956551
,,125.0,74.83232450158178
,,126.0,74.55712411731902
,,127.0,74.2850672419674
,,128.0,74.01609399724383
,,129.0,73.75014609506113
,,130.0,73.48716678353772
,,131.0,73.22710079523353
,,132.0,72.96989429750467
