t,q,t_model,q_model
2009-08-01,5976.0,2015-08-01,730.2832015882948
2009-09-01,2508.0,2015-09-01,556.0673781286671
2009-10-01,2433.0,2015-10-01,467.3306437945965
2009-11-01,1734.0,2015-11-01,411.210667706006
2009-12-01,1205.0,2015-12-01,371.60694335918873
2010-01-01,1698.0,2016-01-01,341.72652556240376
2010-02-01,1531.0,2016-02-01,318.14038714282316
2010-03-01,1390.0,2016-03-01,298.90529883682467
2010-04-01,933.0,2016-04-01,282.82662471253366
2010-05-01,1012.0,2016-05-01,269.124031710568
2010-06-01,1100.0,2016-06-01,257.2632777423566
2010-07-01,552.0,2016-07-01,246.8646066557452
2010-08-01,1022.0,2016-08-01,237.64965595607708
2010-09-01,981.0,2016-09-01,229.40909367586656
2010-10-01,823.0,2016-10-01,221.9820501081669
2010-11-01,632.0,2016-11-01,215.2425781415961
2010-12-01,972.0,2016-12-01,209.09046879000115
2011-01-01,671.0,2017-01-01,203.44485724822388
2011-02-01,484.0,2017-02-01,198.23966960761575
2011-03-01,544.0,2017-03-01,193.4203149588047
2011-04-01,564.0,2017-04-01,188.94123926398123
2011-05-01,580.0,2017-05-01,184.76408758978738
2011-06-01,353.0,2017-06-01,180.85630357124748
2011-07-01,531.0,2017-07-01,177.19004822996195
2011-08-01,517.0,2017-08-01,173.74135548639447
2011-09-01,494.0,2017-09-01,170.48946545325592
2011-10-01,501.0,2017-10-01,167.4162928961383
2011-11-01,297.0,2017-11-01,164.50599961696136
2011-12-01,607.0,2017-12-01,161.7446475648724
2012-01-01,425.0,2018-01-01,159.11991525590014
2012-02-01,326.0,2018-02-01,156.6208642809787
2012-03-01,475.0,2018-03-01,154.23774576897128
2012-04-01,272.0,2018-04-01,151.96183896592126
2012-05-01,279.0,2018-05-01,149.78531581464628
2012-06-01,148.0,2018-06-01,147.70112672466055
2012-07-01,377.0,2018-07-01,145.7029037209653
2012-08-01,311.0,2018-08-01,143.78487793015157
2012-09-01,324.0,2018-09-01,141.94180896050074
2012-10-01,158.0,2018-10-01,140.1689242010413
2012-11-01,124.0,2018-11-01,138.46186643359263
2012-12-01,249.0,2018-12-01,136.81664844462736
2013-01-01,240.0,2019-01-01,135.2296135575058
2013-02-01,256.0,2019-02-01,133.69740119329796
2013-03-01,144.0,2019-03-01,132.21691671992892
2013-04-01,301.0,2019-04-01,130.7853049723655
2013-05-01,209.0,2019-05-01,129.3999269268889
2013-06-01,157.0,2019-06-01,128.05833909473196
2013-07-01,427.0,2019-07-01,126.75827526807426
2013-08-01,168.0,2019-08-01,125.49763030739008
2013-09-01,192.0,2019-09-01,124.27444570565238
2013-10-01,120.0,2019-10-01,123.08689670367534
2013-11-01,111.0,2019-11-01,121.93328076333562
2013-12-01,230.0,2019-12-01,120.81200723267864
2014-01-01,136.0,2020-01-01,119.72158805990401
2014-02-01,234.0,2020-02-01,118.66062943266628
2014-03-01,148.0,2020-03-01,117.62782423562943
2014-04-01,26.0,2020-04-01,116.62194523325851
2014-05-01,299.0,2020-05-01,115.64183889682616
2014-06-01,205.0,2020-06-01,114.68641980488152
2014-07-01,236.0,2020-07-01,113.75466555524835
2014-08-01,287.0,2020-08-01,112.84561213421196
2014-09-01,229.0,2020-09-01,111.95834969511041
2014-10-01,335.0,2020-10-01,111.09201870421754
2014-11-01,293.0,2020-11-01,110.24580641672733
2014-12-01,387.0,2020-12-01,109.41894364992851
2015-01-01,434.0,2021-01-01,108.61070182438738
2015-02-01,431.0,2021-02-01,107.82039024721591
2015-03-01,434.0,2021-03-01,107.04735361435203
2015-04-01,412.0,2021-04-01,106.29096971128162
2015-05-01,339.0,2021-05-01,105.55064729382904
2015-06-01,349.0,2021-06-01,104.82582413257887
2015-07-01,685.0,2021-07-01,104.11596520619948
2015-08-01,720.0,2021-08-01,103.4205610304479
2015-09-01,537.0,2021-09-01,102.73912611097263
2015-10-01,522.0,2021-10-01,102.07119750921522
2015-11-01,488.0,2021-11-01,101.41633351176569
2015-12-01,443.0,2021-12-01,100.77411239446295
2016-01-01,361.0,2022-01-01,100.14413127336738
2016-02-01,310.0,2022-02-01,99.52600503547754
2016-03-01,276.0,2022-03-01,98.91936534273005
2016-04-01,131.0,2022-04-01,98.3238597034183
2016-05-01,9.0,2022-05-01,97.73915060570046
2016-06-01,0.0,2022-06-01,97.16491470834791
2016-07-01,346.0,2022-07-01,96.60084208431677
2016-08-01,406.0,2022-08-01,96.04663551311437
2016-09-01,296.0,2022-09-01,95.50200981828266
2016-10-01,271.0,2022-10-01,94.96669124663684
2016-11-01,227.0,2022-11-01,94.44041688618333
2016-12-01,270.0,2022-12-01,93.92293411990008
2017-01-01,181.0,2023-01-01,93.4140001127958
2017-02-01,167.0,2023-02-01,92.91338132987768
2017-03-01,206.0,2023-03-01,92.42085308284933
2017-04-01,196.0,2023-04-01,91.93619910353675
2017-05-01,93.0,2023-05-01,91.45921114219858
2017-06-01,212.0,2023-06-01,90.9896885890228
2017-07-01,157.0,2023-07-01,90.52743811724392
2017-08-01,150.0,2023-08-01,90.07227334643581
2017-09-01,156.0,2023-09-01,89.62401452464549
