t,q,t_model,q_model
0.0,5779.0,0.0,5779.0
1.0,5160.0,1.0,4756.120582803938
2.0,4492.0,2.0,4019.1960409576213
3.0,3688.0,3.0,3465.47134216208
4.0,3011.0,4.0,3035.675267140099
5.0,2569.0,5.0,2693.3471173846297
6.0,3455.0,6.0,2414.892340588765
7.0,2566.0,7.0,2184.403568591607
8.0,2389.0,8.0,1990.78674979447
9.0,1742.0,9.0,1826.0813663666497
10.0,1115.0,10.0,1684.435080205458
11.0,1479.0,11.0,1561.4543994933497
12.0,1334.0,12.0,1453.7802663453672
13.0,1282.0,13.0,1358.8029313541242
14.0,45.0,14.0,1274.4657312524118
15.0,1043.0,15.0,1199.1271400093303
16.0,807.0,16.0,1131.4619277510856
17.0,2107.0,17.0,1070.3891237788298
18.0,1535.0,18.0,1015.0187017745842
19.0,1117.0,19.0,964.6115676709442
20.0,1014.0,20.0,918.5491474019354
21.0,661.0,21.0,876.3100012875061
22.0,1013.0,22.0,837.4516487680309
23.0,852.0,23.0,801.5963030892474
24.0,781.0,24.0,768.4195725933024
25.0,689.0,25.0,737.6414359405958
26.0,675.0,26.0,709.0189769001425
27.0,631.0,27.0,682.34049274729
28.0,627.0,28.0,657.4206838240335
29.0,596.0,29.0,634.0967006519214
30.0,544.0,30.0,612.2248761591078
31.0,576.0,31.0,591.6780089785832
32.0,531.0,32.0,572.3430928359057
33.0,476.0,33.0,554.1194092221376
34.0,502.0,34.0,536.9169176030103
35.0,625.0,35.0,520.6548906276453
36.0,562.0,36.0,505.26075210618785
37.0,444.0,37.0,490.66908361746925
38.0,416.0,38.0,476.82077200052134
39.0,512.0,39.0,463.6622750639963
40.0,430.0,40.0,451.1449869074273
41.0,549.0,41.0,439.22468751006323
42.0,347.0,42.0,427.86106387697987
43.0,381.0,43.0,417.0172921694794
44.0,290.0,44.0,406.65967198915877
45.0,431.0,45.0,396.7573054117394
46.0,493.0,46.0,387.28181453996154
47.0,472.0,47.0,378.2070923135273
48.0,490.0,48.0,369.5090821170221
49.0,367.0,49.0,361.1655823947857
50.0,406.0,50.0,353.1560730395355
51.0,396.0,51.0,345.4615607889425
52.0,284.0,52.0,338.06444125730263
53.0,531.0,53.0,330.94837556084735
54.0,357.0,54.0,324.0981797756057
55.0,283.0,55.0,317.4997257046295
56.0,322.0,56.0,311.13985163383626
57.0,286.0,57.0,305.00628192847597
58.0,265.0,58.0,299.0875544700398
59.0,327.0,59.0,293.37295506022804
60.0,272.0,60.0,287.85245802763876
61.0,345.0,61.0,282.5166723668467
62.0,385.0,62.0,277.35679282077786
63.0,383.0,63.0,272.3645553876346
64.0,292.0,64.0,267.5321967946999
65.0,328.0,65.0,262.85241753446263
66.0,323.0,66.0,258.3183481048133
67.0,338.0,67.0,253.9235181354998
68.0,338.0,68.0,249.66182811842188
69.0,298.0,69.0,245.52752349037763
70.0,271.0,70.0,241.51517084413115
71.0,282.0,71.0,237.61963606765804
72.0,309.0,72.0,233.83606423257083
73.0,292.0,73.0,230.15986107139886
74.0,309.0,74.0,226.58667589991066
75.0,278.0,75.0,223.11238585529992
76.0,307.0,76.0,219.73308133403728
77.0,300.0,77.0,216.44505252472752
78.0,303.0,78.0,213.24477694157923
79.0,228.0,79.0,210.12890787324582
80.0,306.0,80.0,207.09426366996496
81.0,280.0,81.0,204.13781779922408
82.0,485.0,82.0,201.25668960671337
83.0,363.0,83.0,198.4481357251832
84.0,259.0,84.0,195.7095420790781
85.0,286.0,85.0,193.03841643753915
86.0,302.0,86.0,190.43238147261323
87.0,292.0,87.0,187.88916828333342
88.0,221.0,88.0,185.40661034978237
89.0,244.0,89.0,182.98263788436384
90.0,238.0,90.0,180.61527255032118
91.0,262.0,91.0,178.30262252008794
,,92.0,176.04287784835893
,,93.0,173.83430613686355
,,94.0,171.67524846971702
,,95.0,169.56411559995084
,,96.0,167.4993843693912
,,97.0,165.47959434547883
,,98.0,163.50334465992566
,,99.0,161.56929103528958
,,100.0,159.67614298662807
,,101.0,157.82266118638358
,,102.0,156.00765498155542
,,103.0,154.22998005304072
,,104.0,152.48853620778664
,,105.0,150.78226529508837
,,106.0,149.11014923900652
,,107.0,147.47120817946342
,,108.0,145.8644987151137
,,109.0,144.28911224158165
,,110.0,142.74417337911146
,,111.0,141.22883848409637
,,112.0,139.74229423933954
,,113.0,138.28375631825546
,,114.0,136.85246811854978
,,115.0,135.4476995612199
,,116.0,134.06874595099904
,,117.0,132.71492689462568
,,118.0,131.38558527356307
,,119.0,130.08008626801234
,,120.0,128.79781642927304
,,121.0,127.53818279769358
,,122.0,126.30061206363213
,,123.0,125.08454976901409
,,124.0,123.88945954722475
,,125.0,122.71482239921737
,,126.0,121.56013600385077
,,127.0,120.42491406059219
,,128.0,119.30868566283618
,,129.0,118.21099470019821
,,130.0,117.1313992882389
,,131.0,116.06947122416992
