t,q,t_model,q_model
2015-08-01,6980.0,2015-09-01,7503.370724650268
2015-09-01,7456.0,2015-10-01,5995.6660382720065
2015-10-01,5779.0,2015-11-01,4956.449466138557
2015-11-01,5160.0,2015-12-01,4201.170465134091
2015-12-01,4492.0,2016-01-01,3630.0167528319785
2016-01-01,3688.0,2016-02-01,3184.5550864582256
2016-02-01,3011.0,2016-03-01,2828.4315199028388
2016-03-01,2569.0,2016-04-01,2537.9107663101727
2016-04-01,3455.0,2016-05-01,2296.876055012539
2016-05-01,2566.0,2016-06-01,2094.0215604131267
2016-06-01,2389.0,2016-07-01,1921.195454647111
2016-07-01,1742.0,2016-08-01,1772.3803395594184
2016-08-01,1115.0,2016-09-01,1643.043190142166
2016-09-01,1479.0,2016-10-01,1529.7080070838615
2016-10-01,1334.0,2016-11-01,1429.6672860131916
2016-11-01,1282.0,2016-12-01,1340.7825901231045
2016-12-01,45.0,2017-01-01,1261.343815481253
2017-01-01,1043.0,2017-02-01,1189.9680163572543
2017-02-01,807.0,2017-03-01,1125.5254486704896
2017-03-01,2107.0,2017-04-01,1067.084689795617
2017-04-01,1535.0,2017-05-01,1013.8713541373648
2017-05-01,1117.0,2017-06-01,965.2366470832216
2017-06-01,1014.0,2017-07-01,920.6331380301048
2017-07-01,661.0,2017-08-01,879.5958984956118
2017-08-01,1013.0,2017-09-01,841.7276745260655
2017-09-01,852.0,2017-10-01,806.687125762668
2017-10-01,781.0,2017-11-01,774.1794191367701
2017-11-01,689.0,2017-12-01,743.9486474262219
2017-12-01,675.0,2018-01-01,715.7716744364544
2018-01-01,631.0,2018-02-01,689.4531045600249
2018-02-01,627.0,2018-03-01,664.8211452559189
2018-03-01,596.0,2018-04-01,641.7241837042604
2018-04-01,544.0,2018-05-01,620.0279385086949
2018-05-01,576.0,2018-06-01,599.6130773490754
2018-06-01,531.0,2018-07-01,580.3732144358854
2018-07-01,476.0,2018-08-01,562.2132192893366
2018-08-01,502.0,2018-09-01,545.0477820723327
2018-09-01,625.0,2018-10-01,528.8001914099815
2018-10-01,562.0,2018-11-01,513.4012890411027
2018-11-01,444.0,2018-12-01,498.78857230013693
