t,q,t_model,q_model
0.0,6893.0,0.0,6893.0
1.0,5769.0,1.0,4682.572200198744
2.0,4515.0,2.0,3314.4096509531278
3.0,1913.0,3.0,2425.1699730813816
4.0,1284.0,4.0,1823.7472324821458
5.0,1316.0,5.0,1403.3222979839986
6.0,395.0,6.0,1101.116697491682
7.0,863.0,7.0,878.6481724017426
8.0,679.0,8.0,711.4662522542463
9.0,496.0,9.0,583.5478786090265
10.0,285.0,10.0,484.10588264511466
11.0,858.0,11.0,405.7038951047827
12.0,895.0,12.0,343.1066842624024
13.0,626.0,13.0,292.55888482795194
14.0,381.0,14.0,251.32094040031632
15.0,311.0,15.0,217.3637124312919
16.0,363.0,16.0,189.16337013918078
17.0,246.0,17.0,165.56106522239097
18.0,392.0,18.0,145.6653010607568
19.0,146.0,19.0,128.78295385605435
20.0,260.0,20.0,114.36984419948718
21.0,230.0,21.0,101.99485416877424
22.0,197.0,22.0,91.3135627169976
23.0,194.0,23.0,82.04865730495547
24.0,142.0,24.0,73.97522844823882
25.0,67.0,25.0,66.90962274929562
26.0,260.0,26.0,60.700916642695375
27.0,0.0,27.0,55.224339296739586
28.0,269.0,28.0,50.37615863207127
29.0,90.0,29.0,46.069675171267725
30.0,265.0,30.0,42.2320615731453
31.0,149.0,31.0,38.801852718311004
32.0,210.0,32.0,35.72693988357218
33.0,10.0,33.0,32.96295820808572
34.0,104.0,34.0,30.471983009635
35.0,142.0,35.0,28.221470140997372
36.0,12.0,36.0,26.18339031029289
37.0,270.0,37.0,24.33351842693524
38.0,103.0,38.0,22.650847511707198
39.0,143.0,39.0,21.11710320326972
40.0,130.0,40.0,19.716339898918903
41.0,133.0,41.0,18.434603448587044
42.0,135.0,42.0,17.25964834752401
,,43.0,16.180699745807534
,,44.0,15.18825246266577
,,45.0,14.273900674450307
,,46.0,13.430193123477776
,,47.0,12.650509636931453
,,48.0,11.928955501315864
,,49.0,11.260270847748211
,,50.0,10.639752697029854
,,51.0,10.063187714648834
,,52.0,9.526794053163327
,,53.0,9.02717092739174
,,54.0,8.561254788009043
,,55.0,8.126281140660687
,,56.0,7.719751207832866
,,57.0,7.33940275528046
,,58.0,6.983184508480607
,,59.0,6.649233671111548
,,60.0,6.335856129991914
,,61.0,6.04150899171973
,,62.0,5.764785147428084
,,63.0,5.504399605261879
,,64.0,5.259177366717229
,,65.0,5.0280426539717045
,,66.0,4.8100093216756905
,,67.0,4.604172309120658
,,68.0,4.4097000078685324
,,69.0,4.225827436331891
,,70.0,4.051850126865635
,,71.0,3.8871186430240816
,,72.0,3.7310336550522782
,,73.0,3.5830415106670332
,,74.0,3.442630245952586
,,75.0,3.309325987925245
,,76.0,3.1826897061605433
,,77.0,3.062314275952305
,,78.0,2.947821819892735
,,79.0,2.8388612986177026
,,80.0,2.735106324829373
,,81.0,2.636253177655463
,,82.0,2.542018996987445
