t,q,t_model,q_model
2018-08-01,42.0,2019-10-01,11629.001794888778
2018-09-01,2128.0,2019-11-01,7402.900638731938
2018-10-01,2394.0,2019-12-01,4994.444332606838
2018-11-01,8619.0,2020-01-01,3524.0560544899363
2018-12-01,6762.0,2020-02-01,2576.8132523162517
2019-01-01,6636.0,2020-03-01,1939.69217827976
2019-02-01,11239.0,2020-04-01,1495.7212021635032
2019-03-01,13280.0,2020-05-01,1177.0580916309352
2019-04-01,18272.0,2020-06-01,942.5251733918003
2019-05-01,15826.0,2020-07-01,766.1512088320076
2019-06-01,14949.0,2020-08-01,631.0087585162145
2019-07-01,14996.0,2020-09-01,525.7465650458586
2019-08-01,11989.0,2020-10-01,442.56093184383565
2019-09-01,10234.0,2020-11-01,375.967998846437
2019-10-01,11647.0,2020-12-01,322.03822510405433
2019-11-01,6893.0,2021-01-01,277.9062781782647
2019-12-01,5769.0,2021-02-01,241.44975134719195
2020-01-01,4515.0,2021-03-01,211.07403700473031
2020-02-01,1913.0,2021-04-01,185.56549317291484
2020-03-01,1284.0,2021-05-01,163.9894634543406
2020-04-01,1316.0,2021-06-01,145.6183154438315
2020-05-01,395.0,2021-07-01,129.87991759008617
2020-06-01,863.0,2021-08-01,116.32025302206462
2020-07-01,679.0,2021-09-01,104.57595468692936
2020-08-01,496.0,2021-10-01,94.35389725050014
2020-09-01,285.0,2021-11-01,85.41587103252098
2020-10-01,858.0,2021-12-01,77.56695834289317
2020-11-01,895.0,2022-01-01,70.64663628537116
2020-12-01,626.0,2022-02-01,64.52190761639868
2021-01-01,381.0,2022-03-01,59.08195440445817
2021-02-01,311.0,2022-04-01,54.23394524187249
2021-03-01,363.0,2022-05-01,49.89972357217271
2021-04-01,246.0,2022-06-01,46.01317431444934
2021-05-01,392.0,2022-07-01,42.51811651289837
2021-06-01,146.0,2022-08-01,39.36660677356691
2021-07-01,260.0,2022-09-01,36.51756561681481
2021-08-01,230.0,2022-10-01,33.935659261184874
2021-09-01,197.0,2022-11-01,31.590384659143922
2021-10-01,194.0,2022-12-01,29.455317178493818
2021-11-01,142.0,2023-01-01,27.507489135664386
2021-12-01,67.0,2023-02-01,25.726874141550308
2022-01-01,260.0,2023-03-01,24.0959574302021
2022-02-01,0.0,2023-04-01,22.599376382939468
2022-03-01,269.0,2023-05-01,21.22361861487792
