t,q,t_model,q_model
0.0,4520.0,0.0,4520.0
1.0,3825.0,1.0,3131.864407810247
2.0,2498.0,2.0,2358.3054105465494
3.0,1688.0,3.0,1871.2588101700778
4.0,1158.0,4.0,1539.2374558719318
5.0,1326.0,5.0,1299.8597258531802
6.0,486.0,6.0,1119.9372471034956
7.0,982.0,7.0,980.2781296151493
8.0,1059.0,8.0,869.0559481169955
9.0,771.0,9.0,778.6082073536251
10.0,623.0,10.0,703.7644303340662
11.0,659.0,11.0,640.9164696599818
12.0,446.0,12.0,587.4742349798503
13.0,1122.0,13.0,541.5330516345495
14.0,1155.0,14.0,501.66280118750814
15.0,1072.0,15.0,466.76999527977284
16.0,800.0,16.0,436.0050590559108
17.0,592.0,17.0,408.6984935664276
18.0,664.0,18.0,384.31597974843464
19.0,448.0,19.0,362.4262009674596
20.0,529.0,20.0,342.67738646463397
21.0,371.0,21.0,324.7799483159259
22.0,193.0,22.0,308.493449217927
23.0,15.0,23.0,293.61669631167223
24.0,45.0,24.0,279.9801235062217
25.0,66.0,25.0,267.43987098138706
26.0,149.0,26.0,255.87313841033244
27.0,165.0,27.0,245.17450465859625
28.0,186.0,28.0,235.25298832572506
29.0,149.0,29.0,226.02968156109182
30.0,123.0,30.0,217.4358314051844
31.0,455.0,31.0,209.4112733700851
32.0,223.0,32.0,201.90314439810678
33.0,360.0,33.0,194.86481901003694
34.0,421.0,34.0,188.25502496522802
35.0,452.0,35.0,182.03710422564745
36.0,584.0,36.0,176.1783922429772
37.0,415.0,37.0,170.64969414584246
38.0,357.0,38.0,165.42484070991503
39.0,92.0,39.0,160.48031035220478
40.0,44.0,40.0,155.79490602778827
41.0,28.0,41.0,151.34947799043425
42.0,0.0,42.0,147.12668503404487
43.0,0.0,43.0,143.11078815474409
44.0,38.0,44.0,139.2874716362602
45.0,0.0,45.0,135.643687419444
46.0,13.0,46.0,132.1675193131031
47.0,0.0,47.0,128.84806417096323
48.0,200.0,48.0,125.67532762432933
49.0,44.0,49.0,122.64013234217812
50.0,7.0,50.0,119.73403710592262
51.0,0.0,51.0,116.94926524759697
52.0,0.0,52.0,114.27864121776467
53.0,3.0,53.0,111.7155342310999
54.0,3.0,54.0,109.25380808977818
55.0,0.0,55.0,106.88777641274503
56.0,13.0,56.0,104.61216260681603
57.0,0.0,57.0,102.42206400682673
58.0,144.0,58.0,100.31291968948248
59.0,13.0,59.0,98.28048153144329
60.0,137.0,60.0,96.32078813839682
61.0,5.0,61.0,94.43014131996827
62.0,5.0,62.0,92.60508482656964
63.0,0.0,63.0,90.84238509976737
64.0,0.0,64.0,89.13901381832598
65.0,0.0,65.0,87.49213204850753
66.0,0.0,66.0,85.89907583008716
67.0,0.0,67.0,84.35734304940372
68.0,0.0,68.0,82.86458146803672
69.0,0.0,69.0,81.41857779075451
70.0,0.0,70.0,80.01724766952566
,,71.0,78.65862655188968
,,72.0,77.34086129206908
,,73.0,76.06220245206269
,,74.0,74.82099722775519
,,75.0,73.61568294194815
,,76.0,72.44478105228399
,,77.0,71.30689162739885
,,78.0,70.20068824939361
,,79.0,69.12491330492729
,,80.0,68.07837363098545
,,81.0,67.05993648470803
,,82.0,66.06852580963474
,,83.0,65.10311877337563
,,84.0,64.1627425540861
,,85.0,63.24647135524516
,,86.0,62.3534236301367
,,87.0,61.482759499138396
,,88.0,60.63367834445483
,,89.0,59.805416568308885
,,90.0,58.99724550184644
,,91.0,58.20846945312786
,,92.0,57.43842388358984
,,93.0,56.686473703273016
,,94.0,55.95201167593687
,,95.0,55.234456925930544
,,96.0,54.53325353936575
,,97.0,53.84786925275357
,,98.0,53.17779422282489
,,99.0,52.522539871762554
,,100.0,51.88163780253593
,,101.0,51.25463877944926
,,102.0,50.641111769399835
,,103.0,50.0406430396924
,,104.0,49.452835308576475
,,105.0,48.87730694496638
,,106.0,48.313691214071376
,,107.0,47.761635565909295
,,108.0,47.22080096390153
,,109.0,46.69086125095421
,,110.0,46.171502550619344
