t,q,t_model,q_model
0.0,9967.0,0.0,9967.0
1.0,7948.0,1.0,8245.840411019188
2.0,6713.0,2.0,6947.143511463838
3.0,4905.0,3.0,5941.470656481912
4.0,6075.0,4.0,5145.744799276825
5.0,3502.0,5.0,4504.57945145066
6.0,3752.0,6.0,3979.8502744817292
7.0,4079.0,7.0,3544.590231482778
8.0,3118.0,8.0,3179.2704799192325
9.0,3551.0,9.0,2869.455735768046
10.0,2517.0,10.0,2604.2814949683225
11.0,2865.0,11.0,2375.4388654330946
12.0,2650.0,12.0,2176.4819845556362
13.0,1295.0,13.0,2002.3456874222245
14.0,1665.0,14.0,1849.0033385145184
15.0,1480.0,15.0,1713.2200185398892
16.0,1264.0,16.0,1592.3717831647427
17.0,1340.0,17.0,1484.3114720958565
18.0,1339.0,18.0,1387.2678169911542
19.0,1332.0,19.0,1299.768702966038
20.0,1196.0,20.0,1220.5821758952115
21.0,1038.0,21.0,1148.6706426291166
22.0,1002.0,22.0,1083.1549872101841
23.0,963.0,23.0,1023.2862161842964
24.0,812.0,24.0,968.4228749650317
25.0,808.0,25.0,918.0129269151813
26.0,500.0,26.0,871.5791120217474
27.0,868.0,27.0,828.7070396965873
28.0,735.0,28.0,789.0354456191783
29.0,845.0,29.0,752.2481731647739
30.0,793.0,30.0,718.067538099069
31.0,641.0,31.0,686.2488095544511
32.0,622.0,32.0,656.5755970425545
33.0,610.0,33.0,628.8559768845429
34.0,754.0,34.0,602.9192252172957
35.0,903.0,35.0,578.613051056232
36.0,393.0,36.0,555.801243537002
37.0,529.0,37.0,534.3616637408762
38.0,462.0,38.0,514.1845244254583
39.0,406.0,39.0,495.1709112842722
40.0,384.0,40.0,477.2315076174539
41.0,445.0,41.0,460.2854909489547
42.0,353.0,42.0,444.25957551066267
43.0,429.0,43.0,429.08717889197465
44.0,602.0,44.0,414.7076947282317
45.0,534.0,45.0,401.0658562324824
46.0,404.0,46.0,388.1111777877575
47.0,403.0,47.0,375.7974638106604
48.0,256.0,48.0,364.08237575042887
49.0,294.0,49.0,352.92704946362846
50.0,322.0,50.0,342.29575635369736
51.0,325.0,51.0,332.1556026272584
52.0,297.0,52.0,322.47626182820574
53.0,218.0,53.0,313.2297364926517
,,54.0,304.39014534450024
,,55.0,295.93353294038
,,56.0,287.83769908839315
,,57.0,280.08204571952905
,,58.0,272.6474391934802
,,59.0,265.5160862801071
,,60.0,258.67142228067956
,,61.0,252.09800994489268
,,62.0,245.7814480052022
,,63.0,239.7082882931726
,,64.0,233.86596052657939
,,65.0,228.24270396372088
,,66.0,222.82750521511662
,,67.0,217.61004158447756
,,68.0,212.5806293821968
,,69.0,207.73017671706452
,,70.0,203.050140326652
,,71.0,198.53248605489222
,,72.0,194.16965262767255
,,73.0,189.95451841452322
,,74.0,185.88037089737242
,,75.0,181.94087859641112
,,76.0,178.1300652288504
,,77.0,174.44228589917233
,,78.0,170.87220513973952
,,79.0,167.41477663864737
,,80.0,164.06522450774477
,,81.0,160.81902595805857
,,82.0,157.67189526262652
,,83.0,154.61976889816535
,,84.0,151.65879176722015
,,85.0,148.78530441160467
,,86.0,145.99583113616146
,,87.0,143.28706896925667
,,88.0,140.65587739306798
,,89.0,138.0992687827051
,,90.0,135.61439949859553
,,91.0,133.19856158143415
,,92.0,130.8491750033925
,,93.0,128.5637804332582
