t,q,t_model,q_model
2011-05-01,6628.0,2013-12-01,2965.3465168533776
2011-06-01,5407.0,2014-01-01,2543.0098120656885
2011-07-01,1620.0,2014-02-01,2213.7458733850435
2011-08-01,7739.0,2014-03-01,1951.0010948338956
2011-09-01,12598.0,2014-04-01,1737.255753848378
2011-10-01,8839.0,2014-05-01,1560.5254712085987
2011-11-01,5696.0,2014-06-01,1412.3601940180502
2011-12-01,6303.0,2014-07-01,1286.6462785189472
2012-01-01,6270.0,2014-08-01,1178.861119254192
2012-02-01,5093.0,2014-09-01,1085.5937411128837
2012-03-01,7669.0,2014-10-01,1004.2274607281774
2012-04-01,3006.0,2014-11-01,932.7244690346654
2012-05-01,3911.0,2014-12-01,869.4763085489648
2012-06-01,1366.0,2015-01-01,813.1980110430715
2012-07-01,5081.0,2015-02-01,762.8518036294455
2012-08-01,2750.0,2015-03-01,717.5912370260659
2012-09-01,3879.0,2015-04-01,676.7196714544914
2012-10-01,3444.0,2015-05-01,639.6590204463532
2012-11-01,2631.0,2015-06-01,605.9259319188596
2012-12-01,3768.0,2015-07-01,575.1134344870047
2013-01-01,3544.0,2015-08-01,546.8766498294574
2013-02-01,3314.0,2015-09-01,520.9215648266031
2013-03-01,3210.0,2015-10-01,496.9961306489138
2013-04-01,2234.0,2015-11-01,474.88314889869247
2013-05-01,2052.0,2015-12-01,454.3945427371697
2013-06-01,2569.0,2016-01-01,435.3667105536348
2013-07-01,1879.0,2016-02-01,417.6567325322116
2013-08-01,2200.0,2016-03-01,401.1392542127192
2013-09-01,2072.0,2016-04-01,385.70391119420634
2013-10-01,1422.0,2016-05-01,371.25318924834784
2013-11-01,2072.0,2016-06-01,357.7006369501293
2013-12-01,3657.0,2016-07-01,344.969365391949
2014-01-01,1897.0,2016-08-01,332.9907829927298
2014-02-01,1640.0,2016-09-01,321.7035238419703
2014-03-01,1820.0,2016-10-01,311.05253616130767
2014-04-01,1588.0,2016-11-01,300.98830386467955
2014-05-01,1402.0,2016-12-01,291.4661792565728
2014-06-01,1476.0,2017-01-01,282.44580892986
2014-07-01,1497.0,2017-02-01,273.8906381402088
2014-08-01,1600.0,2017-03-01,265.76748151817833
2014-09-01,1305.0,2017-04-01,258.04615006720206
2014-10-01,1319.0,2017-05-01,250.69912608934058
2014-11-01,1306.0,2017-06-01,243.70127906137623
2014-12-01,1223.0,2017-07-01,237.02961661426366
2015-01-01,1238.0,2017-08-01,230.6630656983765
2015-02-01,894.0,2017-09-01,224.58227978419336
2015-03-01,938.0,2017-10-01,218.76946858380694
2015-04-01,741.0,2017-11-01,213.20824730738406
2015-05-01,767.0,2017-12-01,207.88350291002155
2015-06-01,341.0,2018-01-01,202.7812751540487
2015-07-01,89.0,2018-02-01,197.8886506223914
2015-08-01,1033.0,2018-03-01,193.19366808039263
2015-09-01,632.0,2018-04-01,188.68523380482097
2015-10-01,391.0,2018-05-01,184.35304568648579
2015-11-01,289.0,2018-06-01,180.1875250724892
2015-12-01,506.0,2018-07-01,176.17975545025328
2016-01-01,277.0,2018-08-01,172.32142719183014
2016-02-01,8.0,2018-09-01,168.6047876767584
2016-03-01,54.0,2018-10-01,165.02259619745033
2016-04-01,257.0,2018-11-01,161.56808312493587
2016-05-01,114.0,2018-12-01,158.2349128765439
2016-06-01,16.0,2019-01-01,155.0171502822732
2016-07-01,70.0,2019-02-01,151.90922999445255
2016-08-01,371.0,2019-03-01,148.9059286268744
2016-09-01,399.0,2019-04-01,146.00233934580265
2016-10-01,271.0,2019-05-01,143.1938486668568
2016-11-01,204.0,2019-06-01,140.47611523940964
2016-12-01,215.0,2019-07-01,137.84505042433804
2017-01-01,92.0,2019-08-01,135.2968004922114
2017-02-01,225.0,2019-09-01,132.8277302876769
2017-03-01,430.0,2019-10-01,130.43440822224989
2017-04-01,179.0,2019-11-01,128.11359247222708
2017-05-01,152.0,2019-12-01,125.8622182712629
2017-06-01,80.0,2020-01-01,123.67738619849723
2017-07-01,270.0,2020-02-01,121.55635137318299
2017-08-01,283.0,2020-03-01,119.49651347569267
2017-09-01,156.0,2020-04-01,117.49540752272382
2017-10-01,104.0,2020-05-01,115.55069533159458
2017-11-01,350.0,2020-06-01,113.66015761482402
2017-12-01,65.0,2020-07-01,111.82168665182276
2018-01-01,39.0,2020-08-01,110.03327948955176
2018-02-01,34.0,2020-09-01,108.29303162851373
2018-03-01,139.0,2020-10-01,106.59913115448136
2018-04-01,112.0,2020-11-01,104.94985327999181
2018-05-01,40.0,2020-12-01,103.34355526289625
2018-06-01,27.0,2021-01-01,101.7786716721835
2018-07-01,0.0,2021-02-01,100.25370997393907
2018-08-01,6.0,2021-03-01,98.76724641268108
2018-09-01,23.0,2021-04-01,97.31792216546629
2018-10-01,25.0,2021-05-01,95.90443974810104
2018-11-01,30.0,2021-06-01,94.52555965455214
2018-12-01,22.0,2021-07-01,93.180097212244
2019-01-01,94.0,2021-08-01,91.86691963737312
2019-02-01,24.0,2021-09-01,90.58494327568157
2019-03-01,2.0,2021-10-01,89.33313101532148
2019-04-01,97.0,2021-11-01,88.11048985952597
2019-05-01,349.0,2021-12-01,86.91606864778689
2019-06-01,19.0,2022-01-01,85.74895591513845
2019-07-01,12.0,2022-02-01,84.60827787996413
2019-08-01,2.0,2022-03-01,83.4931965514919
2019-09-01,8.0,2022-04-01,82.40290794882587
2019-10-01,0.0,2022-05-01,81.33664042398632
2019-11-01,33.0,2022-06-01,80.29365308200194
2019-12-01,172.0,2022-07-01,79.27323429162057
2020-01-01,404.0,2022-08-01,78.27470028068544
2020-02-01,402.0,2022-09-01,77.2973938106625
2020-03-01,123.0,2022-10-01,76.34068292520966
2020-04-01,86.0,2022-11-01,75.40395976804892
2020-05-01,61.0,2022-12-01,74.48663946574388
2020-06-01,26.0,2023-01-01,73.58815907129912
2020-07-01,45.0,2023-02-01,72.70797656478713
2020-08-01,250.0,2023-03-01,71.84556990747426
2020-09-01,173.0,2023-04-01,71.00043614616354
2020-10-01,79.0,2023-05-01,70.17209056469859
2020-11-01,5.0,2023-06-01,69.36006587978176
2020-12-01,0.0,2023-07-01,68.56391147845355
2021-01-01,102.0,2023-08-01,67.7831926947592
2021-02-01,0.0,2023-09-01,67.01749012329286
2021-03-01,0.0,2023-10-01,66.2663989674644
2021-04-01,0.0,2023-11-01,65.5295284204742
2021-05-01,0.0,2023-12-01,64.80650107711423
2021-06-01,0.0,2024-01-01,64.09695237463453
2021-07-01,110.0,2024-02-01,63.400530061028
2021-08-01,0.0,2024-03-01,62.71689368919167
2021-09-01,8.0,2024-04-01,62.04571413551983
2021-10-01,0.0,2024-05-01,61.38667314157535
2021-11-01,0.0,2024-06-01,60.739462877570375
2021-12-01,83.0,2024-07-01,60.10378552646558
2022-01-01,0.0,2024-08-01,59.47935288757076
2022-02-01,0.0,2024-09-01,58.86588599859778
2022-03-01,63.0,2024-10-01,58.26311477518013
2022-04-01,73.0,2024-11-01,57.670777666932985
2022-05-01,75.0,2024-12-01,57.08862132918302
2022-06-01,182.0,2025-01-01,56.516400309548345
2022-07-01,79.0,2025-02-01,55.953876748598105
2022-08-01,8.0,2025-03-01,55.400820093865434
2022-09-01,1427.0,2025-04-01,54.85700682653041
2022-10-01,657.0,2025-05-01,54.32222020012851
2022-11-01,684.0,2025-06-01,53.79624999067747
2022-12-01,386.0,2025-07-01,53.27889225764949
2023-01-01,693.0,2025-08-01,52.769949115248785
2023-02-01,708.0,2025-09-01,52.26922851348415
2023-03-01,930.0,2025-10-01,51.7765440285551
2023-04-01,538.0,2025-11-01,51.291714662096624
2023-05-01,419.0,2025-12-01,50.814564648852816
,,2026-01-01,50.344923272372995
,,2026-02-01,49.88262468834605
,,2026-03-01,49.42750775520952
,,2026-04-01,48.979415871689476
,,2026-05-01,48.53819682094549
,,2026-06-01,48.103702621012296
,,2026-07-01,47.67578938124604
,,2026-08-01,47.254317164498175
,,2026-09-01,46.83914985475453
,,2026-10-01,46.43015502999072
,,2026-11-01,46.02720384000766
,,2026-12-01,45.630170889023205
,,2027-01-01,45.238934122807116
,,2027-02-01,44.853374720157525
,,2027-03-01,44.47337698852686
,,2027-04-01,44.098828263615154
,,2027-05-01,43.729618812757366
,,2027-06-01,43.3656417419399
,,2027-07-01,43.00679290629007
,,2027-08-01,42.65297082388889
,,2027-09-01,42.30407659276599
,,2027-10-01,41.96001381094119
,,2027-11-01,41.62068849938464
,,2027-12-01,41.286009027772664
,,2028-01-01,40.95588604292314
,,2028-02-01,40.63023239979902
,,2028-03-01,40.30896309497411
,,2028-04-01,39.991995202460224
,,2028-05-01,39.67924781179927
,,2028-06-01,39.370641968328464
,,2028-07-01,39.06610061553098
,,2028-08-01,38.765548539388234
,,2028-09-01,38.46891231465424
,,2028-10-01,38.176120252975245
,,2028-11-01,37.887102352782236
,,2028-12-01,37.601790250886395
,,2029-01-01,37.320117175711054
,,2029-02-01,37.04201790209663
,,2029-03-01,36.76742870761749
,,2029-04-01,36.496287330352885
,,2029-05-01,36.228532928056055
,,2029-06-01,35.96410603866842
,,2029-07-01,35.702948542127885
,,2029-08-01,35.445003623422416
,,2029-09-01,35.19021573684236
,,2029-10-01,34.938530571386586
,,2029-11-01,34.68989501727979
,,2029-12-01,34.44425713355983
,,2030-01-01,34.20156611669578
,,2030-02-01,33.96177227019905
,,2030-03-01,33.72482697519138
,,2030-04-01,33.4906826618951
,,2030-05-01,33.259292782012395
,,2030-06-01,33.030611781961696
,,2030-07-01,32.80459507694059
,,2030-08-01,32.58119902578596
,,2030-09-01,32.36038090660307
,,2030-10-01,32.14209889313661
,,2030-11-01,31.92631203185772
,,2030-12-01,31.71298021974198
,,2031-01-01,31.502064182714484
,,2031-02-01,31.293525454738887
,,2031-03-01,31.08732635752833
,,2031-04-01,30.883429980856953
,,2031-05-01,30.681800163451552
,,2031-06-01,30.482401474443755
,,2031-07-01,30.285199195363703
,,2031-08-01,30.09015930265711
,,2031-09-01,29.897248450708275
