t,q,t_model,q_model
0.0,679.0,0.0,679.0
1.0,1138.0,1.0,674.44721387045
2.0,1184.0,2.0,669.8812822311771
3.0,1257.0,3.0,665.3020385655531
4.0,1072.0,4.0,660.709312587029
5.0,1011.0,5.0,656.1029301154391
6.0,794.0,6.0,651.482712947962
7.0,597.0,7.0,646.848478724454
8.0,658.0,8.0,642.2000407868467
9.0,1718.0,9.0,637.5372080322824
10.0,1496.0,10.0,632.8597847596433
11.0,1112.0,11.0,628.1675705091012
12.0,851.0,12.0,623.4603598942919
13.0,911.0,13.0,618.7379424266966
14.0,959.0,14.0,614.0001023317727
15.0,853.0,15.0,609.2466183563564
16.0,777.0,16.0,604.4772635668174
17.0,1015.0,17.0,599.6918051374146
18.0,881.0,18.0,594.8900041282562
19.0,741.0,19.0,590.0716152522333
20.0,602.0,20.0,585.236386630237
21.0,544.0,21.0,580.3840595339307
22.0,645.0,22.0,575.5143681152838
23.0,472.0,23.0,570.62703912202
24.0,675.0,24.0,565.7217915980632
25.0,657.0,25.0,560.7983365679942
26.0,578.0,26.0,555.8563767044525
27.0,412.0,27.0,550.895605977335
28.0,430.0,28.0,545.9157092835428
29.0,361.0,29.0,540.9163620559358
30.0,302.0,30.0,535.897229850029
31.0,481.0,31.0,530.8579679068564
32.0,379.0,32.0,525.7982206902777
33.0,214.0,33.0,520.7176213968663
34.0,394.0,34.0,515.6157914363431
35.0,278.0,35.0,510.49233988034905
36.0,80.0,36.0,505.34686287713686
37.0,1264.0,37.0,500.17894302955386
38.0,1708.0,38.0,494.98814873342974
39.0,2043.0,39.0,489.7740334732208
40.0,2012.0,40.0,484.5361350714508
41.0,1989.0,41.0,479.27397488815757
42.0,2630.0,42.0,473.98705696617435
43.0,2884.0,43.0,468.67486711765633
44.0,1036.0,44.0,463.3368719467937
45.0,27.0,45.0,457.9725178031239
46.0,1314.0,46.0,452.5812296592676
47.0,480.0,47.0,447.16240990624647
48.0,910.0,48.0,441.71543705879026
49.0,714.0,49.0,436.2396643621994
50.0,458.0,50.0,430.7344182913676
51.0,446.0,51.0,425.198996931487
52.0,330.0,52.0,419.6326682287238
53.0,376.0,53.0,414.03466809774875
54.0,0.0,54.0,408.4041983714044
55.0,683.0,55.0,402.7404245759533
56.0,655.0,56.0,397.04247351325034
57.0,724.0,57.0,391.3094306287569
58.0,476.0,58.0,385.5403371415219
59.0,275.0,59.0,379.7341869090247
60.0,827.0,60.0,373.8899229960208
61.0,201.0,61.0,368.00643391216926
62.0,383.0,62.0,362.08254947812276
63.0,373.0,63.0,356.11703627378876
64.0,239.0,64.0,350.1085926154494
65.0,174.0,65.0,344.0558430001412
66.0,264.0,66.0,337.95733194587825
67.0,516.0,67.0,331.81151714462726
68.0,388.0,68.0,325.61676183099405
69.0,168.0,69.0,319.3713262528435
70.0,540.0,70.0,313.0733581099041
71.0,396.0,71.0,306.72088180196437
72.0,40.0,72.0,300.3117862985054
73.0,541.0,73.0,293.84381140517246
74.0,857.0,74.0,287.3145321576026
75.0,444.0,75.0,280.72134101750754
76.0,247.0,76.0,274.06142747653325
77.0,366.0,77.0,267.3317545862918
78.0,301.0,78.0,260.52903182270234
79.0,392.0,79.0,253.64968355218136
80.0,302.0,80.0,246.68981218638794
81.0,422.0,81.0,239.64515487753505
82.0,453.0,82.0,232.51103229872
83.0,45.0,83.0,225.28228764640988
84.0,275.0,84.0,217.95321345664158
85.0,314.0,85.0,210.5174630866823
86.0,282.0,86.0,202.9679426971447
87.0,393.0,87.0,195.296678151574
88.0,156.0,88.0,187.49464924092607
89.0,370.0,89.0,179.551580741303
90.0,339.0,90.0,171.45567554801448
91.0,168.0,91.0,163.19326871436215
92.0,35.0,92.0,154.7483713356271
93.0,38.0,93.0,146.10205754591826
94.0,382.0,94.0,137.23162224992643
95.0,72.0,95.0,128.1093936788364
96.0,198.0,96.0,118.70100773146059
97.0,636.0,97.0,108.96280731022176
98.0,214.0,98.0,98.83774508489356
99.0,156.0,99.0,88.24855997927135
,,100.0,77.08556948936472
,,101.0,65.18261872419801
,,102.0,52.262680572976436
,,103.0,37.784691084268985
,,104.0,20.27959868333889
,,105.0,
,,106.0,
,,107.0,
,,108.0,
,,109.0,
,,110.0,
,,111.0,
,,112.0,
,,113.0,
,,114.0,
,,115.0,
,,116.0,
,,117.0,
,,118.0,
,,119.0,
,,120.0,
,,121.0,
,,122.0,
,,123.0,
,,124.0,
,,125.0,
,,126.0,
,,127.0,
,,128.0,
,,129.0,
,,130.0,
,,131.0,
,,132.0,
,,133.0,
,,134.0,
,,135.0,
,,136.0,
,,137.0,
,,138.0,
,,139.0,
