t,q,t_model,q_model
2012-10-01,1231.0,2018-09-01,2883.7216162528875
2012-11-01,16901.0,2018-10-01,938.8181053006904
2012-12-01,21470.0,2018-11-01,765.2402149251892
2013-01-01,21338.0,2018-12-01,678.3826372925357
2013-02-01,18143.0,2019-01-01,622.6471617584027
2013-03-01,15546.0,2019-02-01,582.5271965175713
2013-04-01,8058.0,2019-03-01,551.6434606760287
2013-05-01,9604.0,2019-04-01,526.7958949622265
2013-06-01,8084.0,2019-05-01,506.1682884023487
2013-07-01,6101.0,2019-06-01,488.63832304324933
2013-08-01,4793.0,2019-07-01,473.467788500746
2013-09-01,4597.0,2019-08-01,460.14730516592977
2013-10-01,4864.0,2019-09-01,448.31179745518494
2013-11-01,4587.0,2019-10-01,437.69141934572656
2013-12-01,4151.0,2019-11-01,428.08154838671726
2014-01-01,4178.0,2019-12-01,419.3236403360761
2014-02-01,3845.0,2020-01-01,411.2925694308373
2014-03-01,4048.0,2020-02-01,403.8879990872256
2014-04-01,3396.0,2020-03-01,397.0283439396925
2014-05-01,3639.0,2020-04-01,390.6464476837498
2014-06-01,3653.0,2020-05-01,384.6864265601916
2014-07-01,3606.0,2020-06-01,379.10132285200365
2014-08-01,3005.0,2020-07-01,373.8513326945801
2014-09-01,2809.0,2020-08-01,368.90244847054
2014-10-01,2569.0,2020-09-01,364.2254053644483
2014-11-01,2026.0,2020-10-01,359.7948543535692
2014-12-01,2103.0,2020-11-01,355.5887060294492
2015-01-01,1594.0,2020-12-01,351.58760487497784
2015-02-01,679.0,2021-01-01,347.7745042798321
2015-03-01,1138.0,2021-02-01,344.13432014792176
2015-04-01,1184.0,2021-03-01,340.65364640205814
2015-05-01,1257.0,2021-04-01,337.3205196665449
2015-06-01,1072.0,2021-05-01,334.1242233414601
2015-07-01,1011.0,2021-06-01,331.05512346995937
2015-08-01,794.0,2021-07-01,328.1045304480037
2015-09-01,597.0,2021-08-01,325.2645818792756
2015-10-01,658.0,2021-09-01,322.5281428396649
2015-11-01,1718.0,2021-10-01,319.8887205595804
2015-12-01,1496.0,2021-11-01,317.34039111227446
2016-01-01,1112.0,2021-12-01,314.87773615177576
2016-02-01,851.0,2022-01-01,312.4957881041296
2016-03-01,911.0,2022-02-01,310.189982502237
2016-04-01,959.0,2022-03-01,307.9561163840738
2016-05-01,853.0,2022-04-01,305.7903118589146
2016-06-01,777.0,2022-05-01,303.688984095888
2016-07-01,1015.0,2022-06-01,301.6488131110697
2016-08-01,881.0,2022-07-01,299.6667188290475
2016-09-01,741.0,2022-08-01,297.73983897687435
2016-10-01,602.0,2022-09-01,295.86550943604175
2016-11-01,544.0,2022-10-01,294.0412467342578
2016-12-01,645.0,2022-11-01,292.26473240559574
2017-01-01,472.0,2022-12-01,290.53379898668305
2017-02-01,675.0,2023-01-01,288.8464174494348
2017-03-01,657.0,2023-02-01,287.2006858984842
2017-04-01,578.0,2023-03-01,285.59481938484186
2017-05-01,412.0,2023-04-01,284.0271407071412
2017-06-01,430.0,2023-05-01,282.49607208869924
2017-07-01,361.0,2023-06-01,281.00012763302027
2017-08-01,302.0,2023-07-01,279.5379064726972
2017-09-01,481.0,2023-08-01,278.1080865372477
2017-10-01,379.0,2023-09-01,276.70941887453296
2017-11-01,214.0,2023-10-01,275.3407224682712
2017-12-01,394.0,2023-11-01,274.0008795009635
2018-01-01,278.0,2023-12-01,272.6888310174526
2018-02-01,80.0,2024-01-01,271.40357294947177
2018-03-01,1264.0,2024-02-01,270.1441524660136
2018-04-01,1708.0,2024-03-01,268.90966461826133
2018-05-01,2043.0,2024-04-01,267.699249251245
2018-06-01,2012.0,2024-05-01,266.5120881573905
2018-07-01,1989.0,2024-06-01,265.3474024497676
2018-08-01,2630.0,2024-07-01,264.20445013517053
2018-09-01,2884.0,2024-08-01,263.0825238692145
2018-10-01,1036.0,2024-09-01,261.9809488774492
2018-11-01,27.0,2024-10-01,260.8990810280948
2018-12-01,1314.0,2024-11-01,259.8363050434352
2019-01-01,480.0,2024-12-01,258.7920328381675
2019-02-01,910.0,2025-01-01,257.76570197413946
2019-03-01,714.0,2025-02-01,256.7567742219094
2019-04-01,458.0,2025-03-01,255.76473422046428
2019-05-01,446.0,2025-04-01,254.78908822723508
2019-06-01,330.0,2025-05-01,253.82936295126885
2019-07-01,376.0,2025-06-01,252.88510446306248
2019-08-01,0.0,2025-07-01,251.95587717514556
2019-09-01,683.0,2025-08-01,251.04126288801933
2019-10-01,655.0,2025-09-01,250.14085989653128
2019-11-01,724.0,2025-10-01,249.25428215218827
2019-12-01,476.0,2025-11-01,248.38115847729475
2020-01-01,275.0,2025-12-01,247.52113182714803
2020-02-01,827.0,2026-01-01,246.6738585968381
2020-03-01,201.0,2026-02-01,245.83900796948237
2020-04-01,383.0,2026-03-01,245.0162613029837
2020-05-01,373.0,2026-04-01,244.20531155263583
2020-06-01,239.0,2026-05-01,243.40586272711172
2020-07-01,174.0,2026-06-01,242.61762937556594
2020-08-01,264.0,2026-07-01,241.84033610375783
2020-09-01,516.0,2026-08-01,241.07371711726478
2020-10-01,388.0,2026-09-01,240.31751579000093
2020-11-01,168.0,2026-10-01,239.57148425639284
2020-12-01,540.0,2026-11-01,238.8353830256858
2021-01-01,396.0,2026-12-01,238.10898061696733
2021-02-01,40.0,2027-01-01,237.39205321359947
2021-03-01,541.0,2027-02-01,236.68438433584387
2021-04-01,857.0,2027-03-01,235.9857645305533
2021-05-01,444.0,2027-04-01,235.295991076882
2021-06-01,247.0,2027-05-01,234.61486770704138
2021-07-01,366.0,2027-06-01,233.94220434119572
2021-08-01,301.0,2027-07-01,233.27781683565416
2021-09-01,392.0,2027-08-01,232.6215267435748
2021-10-01,302.0,2027-09-01,231.9731610874476
2021-11-01,422.0,2027-10-01,231.33255214267425
2021-12-01,453.0,2027-11-01,230.69953723160666
2022-01-01,45.0,2027-12-01,230.07395852744924
2022-02-01,275.0,2028-01-01,229.45566286746845
2022-03-01,314.0,2028-02-01,228.84450157498893
2022-04-01,282.0,2028-03-01,228.24033028968935
2022-05-01,393.0,2028-04-01,227.64300880574206
2022-06-01,156.0,2028-05-01,227.0524009173694
2022-07-01,370.0,2028-06-01,226.4683742714157
2022-08-01,339.0,2028-07-01,225.89080022655995
2022-09-01,168.0,2028-08-01,225.31955371881628
2022-10-01,35.0,2028-09-01,224.75451313299138
2022-11-01,38.0,2028-10-01,224.19556017978735
2022-12-01,382.0,2028-11-01,223.64257977825858
2023-01-01,72.0,2028-12-01,223.09545994334678
2023-02-01,198.0,2029-01-01,222.55409167823618
2023-03-01,636.0,2029-02-01,222.01836887128462
2023-04-01,214.0,2029-03-01,221.4881881973018
2023-05-01,156.0,2029-04-01,220.96344902295812
,,2029-05-01,220.44405331612018
,,2029-06-01,219.92990555892118
,,2029-07-01,219.420912664384
,,2029-08-01,218.91698389642647
,,2029-09-01,218.41803079308636
,,2029-10-01,217.9239670928137
,,2029-11-01,217.4347086636854
,,2029-12-01,216.95017343540576
,,2030-01-01,216.4702813339636
,,2030-02-01,215.99495421882307
,,2030-03-01,215.5241158225327
,,2030-04-01,215.05769169264272
,,2030-05-01,214.59560913582618
,,2030-06-01,214.13779716410542
,,2030-07-01,213.6841864430907
,,2030-08-01,213.23470924214135
,,2030-09-01,212.78929938636526
,,2030-10-01,212.3478922103776
,,2030-11-01,211.91042451374122
,,2030-12-01,211.47683451801788
,,2031-01-01,211.04706182536046
,,2031-02-01,210.6210473785817
,,2031-03-01,210.19873342263668
,,2031-04-01,209.78006346746056
,,2031-05-01,209.3649822521045
,,2031-06-01,208.95343571011713
,,2031-07-01,208.5453709361194
,,2031-08-01,208.14073615352555
,,2031-09-01,207.7394806833622
