t,q,t_model,q_model
0.0,0.0,0.0,13.603986310388185
1.0,18.0,1.0,12.487880854030662
2.0,16.0,2.0,11.443926866097064
3.0,8.0,3.0,10.468764209728597
4.0,1.0,4.0,9.55912608064865
5.0,9.0,5.0,8.711838240039846
6.0,2.0,6.0,7.923818238101625
7.0,0.0,7.0,7.192074627977296
8.0,55.0,8.0,6.513706169722158
9.0,22.0,9.0,5.885901023965757
10.0,0.0,10.0,5.305935934901162
11.0,0.0,11.0,4.771175402212352
12.0,0.0,12.0,4.2790708415272
13.0,0.0,13.0,3.827159732957917
14.0,0.0,14.0,3.4130647572627897
15.0,0.0,15.0,3.034492919132734
16.0,0.0,16.0,2.689234657072793
17.0,0.0,17.0,2.3751629393123026
18.0,0.0,18.0,2.0902323451374136
19.0,0.0,19.0,1.8324781309955827
20.0,0.0,20.0,1.6000152806730306
21.0,0.0,21.0,1.3910375387923342
22.0,0.0,22.0,1.20381642681759
23.0,0.0,23.0,1.0367002406880381
24.0,0.0,24.0,0.8881130291267646
25.0,0.0,25.0,0.7565535515877068
26.0,0.0,26.0,0.6405942147104728
27.0,0.0,27.0,0.5388799860464838
28.0,0.0,28.0,0.4501272836997053
29.0,0.0,29.0,0.373122840388124
30.0,0.0,30.0,0.3067225402750313
31.0,0.0,31.0,0.2498502267381694
32.0,0.0,32.0,0.20149647903508924
33.0,0.0,33.0,0.16071735557848388
34.0,0.0,34.0,0.1266331012480781
35.0,0.0,35.0,0.09842681582586109
36.0,0.0,36.0,0.07534308023605289
37.0,0.0,37.0,0.056686536783061646
38.0,0.0,38.0,0.04182041898688541
39.0,0.0,39.0,0.030165025884772056
40.0,0.0,40.0,0.021196134757287644
41.0,0.0,41.0,0.014443345085248267
42.0,0.0,42.0,0.009488345062917737
43.0,0.0,43.0,0.005963090051203871
44.0,0.0,44.0,0.0035478797509638778
45.0,0.0,45.0,0.0019693172905866437
46.0,0.0,46.0,0.0009981283209751265
47.0,0.0,47.0,0.0004468106597898935
48.0,0.0,48.0,0.00016707326913060393
49.0,0.0,49.0,4.7003784814980206e-05
50.0,0.0,50.0,7.868105334328267e-06
51.0,0.0,51.0,3.705813759079757e-07
52.0,0.0,52.0,1.0648322349708583e-24
,,53.0,
,,54.0,
,,55.0,
,,56.0,
,,57.0,
,,58.0,
,,59.0,
,,60.0,
,,61.0,
,,62.0,
,,63.0,
,,64.0,
,,65.0,
,,66.0,
,,67.0,
,,68.0,
,,69.0,
,,70.0,
,,71.0,
,,72.0,
,,73.0,
,,74.0,
,,75.0,
,,76.0,
,,77.0,
,,78.0,
,,79.0,
,,80.0,
,,81.0,
,,82.0,
,,83.0,
,,84.0,
,,85.0,
,,86.0,
,,87.0,
,,88.0,
,,89.0,
,,90.0,
,,91.0,
,,92.0,
