t,q,t_model,q_model
0.0,555.0,0.0,555.0
1.0,487.0,1.0,522.5401254645577
2.0,479.0,2.0,493.4953324617761
3.0,432.0,3.0,467.3618545142777
4.0,421.0,4.0,443.7296227685939
5.0,343.0,5.0,422.26154472711573
6.0,343.0,6.0,402.678033632601
7.0,395.0,7.0,384.7453021842312
8.0,359.0,8.0,368.2663957407445
9.0,368.0,9.0,353.07424664572915
10.0,431.0,10.0,339.0262385075217
11.0,402.0,11.0,325.99991164512505
12.0,234.0,12.0,313.8895402264832
13.0,323.0,13.0,302.60338186560597
14.0,258.0,14.0,292.0614507616215
15.0,226.0,15.0,282.193701937603
16.0,230.0,16.0,272.93854087154756
17.0,164.0,17.0,264.24159261027967
18.0,189.0,18.0,256.05467926093354
19.0,237.0,19.0,248.3349659245005
20.0,207.0,20.0,241.04424363565772
21.0,204.0,21.0,234.14832439289765
22.0,102.0,22.0,227.6165284018697
23.0,137.0,23.0,221.42124757702334
24.0,140.0,24.0,215.53757242019947
25.0,140.0,25.0,209.9429718187828
26.0,196.0,26.0,204.61701722929533
27.0,167.0,27.0,199.54114424709527
28.0,187.0,28.0,194.69844579434476
29.0,190.0,29.0,190.07349215170808
30.0,131.0,30.0,185.65217386440492
31.0,231.0,31.0,181.42156420901023
32.0,204.0,32.0,177.36979844390518
33.0,183.0,33.0,173.4859675071372
34.0,137.0,34.0,169.7600241892103
35.0,0.0,35.0,166.1827001096665
36.0,264.0,36.0,162.74543207691204
37.0,189.0,37.0,159.44029661989404
38.0,8.0,38.0,156.25995165541514
39.0,409.0,39.0,153.19758440209893
40.0,133.0,40.0,150.24686477615685
41.0,576.0,41.0,147.40190360910245
42.0,284.0,42.0,144.6572151166369
43.0,200.0,43.0,142.00768312372116
44.0,141.0,44.0,139.44853061552078
45.0,212.0,45.0,136.9752922392396
46.0,116.0,46.0,134.58378942932424
47.0,397.0,47.0,132.2701078693403
48.0,383.0,48.0,130.03057703901493
49.0,286.0,49.0,127.86175162535261
50.0,134.0,50.0,125.76039460307376
51.0,95.0,51.0,123.72346181249549
52.0,55.0,52.0,121.74808788286803
53.0,45.0,53.0,119.83157336652702
54.0,64.0,54.0,117.97137296437367
55.0,9.0,55.0,116.16508473645915
56.0,0.0,56.0,114.41044020308193
57.0,13.0,57.0,112.70529525202691
58.0,10.0,58.0,111.04762177657209
59.0,0.0,59.0,109.43549997682214
60.0,0.0,60.0,107.86711126393466
61.0,0.0,61.0,106.34073171300523
62.0,0.0,62.0,104.85472601587223
63.0,0.0,63.0,103.40754188997855
64.0,0.0,64.0,101.99770490376332
,,65.0,100.62381368291722
,,66.0,99.28453546527507
,,67.0,97.97860197519464
,,68.0,96.70480559101638
,,69.0,95.46199578166011
,,70.0,94.24907579061981
,,71.0,93.06499954759822
,,72.0,91.90876878980181
,,73.0,90.77943037651922
,,74.0,89.67607378204897
,,75.0,88.59782875334378
,,76.0,87.54386311991531
,,77.0,86.51338074460561
,,78.0,85.50561960479354
,,79.0,84.51984999447748
,,80.0,83.55537283846493
,,81.0,82.61151811061877
,,82.0,81.68764334876273
,,83.0,80.78313225944163
,,84.0,79.89739340627358
,,85.0,79.02985897612439
,,86.0,78.17998361778335
,,87.0,77.34724334823187
,,88.0,76.53113452197047
,,89.0,75.73117285921444
,,90.0,74.94689252908232
,,91.0,74.17784528418996
,,92.0,73.42359964332734
,,93.0,72.68374011913815
,,94.0,71.95786648794491
,,95.0,71.24559309906766
,,96.0,70.54654822117288
,,97.0,69.86037342336297
,,98.0,69.18672298887641
,,99.0,68.52526335941708
,,100.0,67.8756726082666
,,101.0,67.23763994045976
,,102.0,66.6108652184194
,,103.0,65.99505851155438
,,104.0,65.38993966842389
