t,q,t_model,q_model
2017-02-01,3628.0,2017-02-01,3613.5165824109295
2017-03-01,1677.0,2017-03-01,1790.9511104666508
2017-04-01,1452.0,2017-04-01,1278.206187075025
2017-05-01,692.0,2017-05-01,1021.5277279140485
2017-06-01,898.0,2017-06-01,863.42630982367
2017-07-01,807.0,2017-07-01,754.6886841659278
2017-08-01,810.0,2017-08-01,674.5612221842777
2017-09-01,670.0,2017-09-01,612.6528593925561
2017-10-01,385.0,2017-10-01,563.1385805815503
2017-11-01,646.0,2017-11-01,522.4791297093179
2017-12-01,635.0,2017-12-01,488.3899151319284
2018-01-01,555.0,2018-01-01,459.3249209220394
2018-02-01,487.0,2018-02-01,434.1975010833535
2018-03-01,479.0,2018-03-01,412.21972540674966
2018-04-01,432.0,2018-04-01,392.80518606286887
2018-05-01,421.0,2018-05-01,375.50769652154355
2018-06-01,343.0,2018-06-01,359.98124424614264
2018-07-01,343.0,2018-07-01,345.9530284135849
2018-08-01,395.0,2018-08-01,333.20482749448195
2018-09-01,359.0,2018-09-01,321.55982595114693
2018-10-01,368.0,2018-10-01,310.873111066524
2018-11-01,431.0,2018-11-01,301.0246934802626
2018-12-01,402.0,2018-12-01,291.91429836134915
2019-01-01,234.0,2019-01-01,283.4574214745783
2019-02-01,323.0,2019-02-01,275.5823036793823
2019-03-01,258.0,2019-03-01,268.22758221390666
2019-04-01,226.0,2019-04-01,261.34044744952195
2019-05-01,230.0,2019-05-01,254.87518184077345
2019-06-01,164.0,2019-06-01,248.79199114574726
2019-07-01,189.0,2019-07-01,243.05606149116625
2019-08-01,237.0,2019-08-01,237.63679264341
2019-09-01,207.0,2019-09-01,232.5071699913166
2019-10-01,204.0,2019-10-01,227.64324663658547
2019-11-01,102.0,2019-11-01,223.02371356649473
2019-12-01,137.0,2019-12-01,218.62954080203295
2020-01-01,140.0,2020-01-01,214.443676126628
2020-02-01,140.0,2020-02-01,210.4507908273321
2020-03-01,196.0,2020-03-01,206.63706405081982
2020-04-01,167.0,2020-04-01,202.98999905632772
2020-05-01,187.0,2020-05-01,199.4982659573087
2020-06-01,190.0,2020-06-01,196.15156657178724
2020-07-01,131.0,2020-07-01,192.940517814007
2020-08-01,231.0,2020-08-01,189.85655070618895
2020-09-01,204.0,2020-09-01,186.8918226061836
2020-10-01,183.0,2020-10-01,184.03914066268945
2020-11-01,137.0,2020-11-01,181.29189484607906
2020-12-01,0.0,2020-12-01,178.64399917630982
2021-01-01,264.0,2021-01-01,176.08983999276018
2021-02-01,189.0,2021-02-01,173.62423029413193
2021-03-01,8.0,2021-03-01,171.24236932765206
2021-04-01,409.0,2021-04-01,168.93980673187554
2021-05-01,133.0,2021-05-01,166.7124106413398
2021-06-01,576.0,2021-06-01,164.55633924804843
2021-07-01,284.0,2021-07-01,162.46801538739334
2021-08-01,200.0,2021-08-01,160.4441037771654
2021-09-01,141.0,2021-09-01,158.48149058978134
2021-10-01,212.0,2021-10-01,156.57726508141062
2021-11-01,116.0,2021-11-01,154.72870303865267
2021-12-01,397.0,2021-12-01,152.9332518348917
2022-01-01,383.0,2022-01-01,151.18851691532902
2022-02-01,286.0,2022-02-01,149.49224955270677
2022-03-01,134.0,2022-03-01,147.84233573549673
2022-04-01,95.0,2022-04-01,146.23678606733844
2022-05-01,55.0,2022-05-01,144.6737265711934
2022-06-01,45.0,2022-06-01,143.15139030438624
2022-07-01,64.0,2022-07-01,141.66810970171974
2022-08-01,9.0,2022-08-01,140.2223095734296
2022-09-01,0.0,2022-09-01,138.81250069308786
2022-10-01,13.0,2022-10-01,137.43727391784915
2022-11-01,10.0,2022-11-01,136.09529478980858
2022-12-01,0.0,2022-12-01,134.78529857282783
2023-01-01,0.0,2023-01-01,133.50608568409498
2023-02-01,0.0,2023-02-01,132.25651748400472
2023-03-01,0.0,2023-03-01,131.035512391754
2023-04-01,0.0,2023-04-01,129.84204229741468
2023-05-01,0.0,2023-05-01,128.67512924422155
,,2023-06-01,127.5338423574539
,,2023-07-01,126.41729499863285
,,2023-08-01,125.32464212583984
,,2023-09-01,124.25507784281874
,,2023-10-01,123.2078331211797
,,2023-11-01,122.18217368150215
,,2023-12-01,121.17739802045776
,,2024-01-01,120.19283557226044
,,2024-02-01,119.22784499381386
,,2024-03-01,118.28181256388285
,,2024-04-01,117.35415068747487
,,2024-05-01,116.44429649739214
,,2024-06-01,115.55171054561312
,,2024-07-01,114.67587557779261
,,2024-08-01,113.81629538474031
,,2024-09-01,112.97249372525258
,,2024-10-01,112.14401331514046
,,2024-11-01,111.33041487772049
,,2024-12-01,110.53127625142018
,,2025-01-01,109.74619155049963
,,2025-02-01,108.97477037520957
,,2025-03-01,108.2166370679963
,,2025-04-01,107.47143001262802
,,2025-05-01,106.7388009733588
,,2025-06-01,106.0184144714674
,,2025-07-01,105.30994719670855
,,2025-08-01,104.6130874514006
,,2025-09-01,103.92753462504119
,,2025-10-01,103.25299869749794
,,2025-11-01,102.58919976896395
,,2025-12-01,101.93586761499803
,,2026-01-01,101.29274126508983
,,2026-02-01,100.65956860330046
,,2026-03-01,100.03610598963111
,,2026-04-01,99.42211790086589
,,2026-05-01,98.81737658972106
,,2026-06-01,98.22166176121358
,,2026-07-01,97.63476026523406
,,2026-08-01,97.05646580437913
,,2026-09-01,96.48657865615928
,,2026-10-01,95.92490540875797
,,2026-11-01,95.37125870957091
,,2026-12-01,94.82545702580472
,,2027-01-01,94.28732441646045
,,2027-02-01,93.75669031507036
,,2027-03-01,93.23338932259678
,,2027-04-01,92.7172610099381
,,2027-05-01,92.20814972952246
,,2027-06-01,91.70590443550073
,,2027-07-01,91.21037851208152
,,2027-08-01,90.72142960957733
,,2027-09-01,90.23891948775817
,,2027-10-01,89.76271386613224
,,2027-11-01,89.29268228079641
,,2027-12-01,88.82869794751987
,,2028-01-01,88.37063763074414
,,2028-02-01,87.91838151820134
,,2028-03-01,87.47181310086904
,,2028-04-01,87.0308190579967
,,2028-05-01,86.59528914695373
,,2028-06-01,86.1651160976628
,,2028-07-01,85.74019551139573
,,2028-08-01,85.32042576372139
,,2028-09-01,84.90570791140684
,,2028-10-01,84.4959456030834
,,2028-11-01,84.09104499350002
,,2028-12-01,83.69091466119583
,,2029-01-01,83.29546552943233
,,2029-02-01,82.90461079023474
,,2029-03-01,82.51826583139957
,,2029-04-01,82.13634816633316
,,2029-05-01,81.75877736659291
,,2029-06-01,81.3854749970096
,,2029-07-01,81.01636455327534
,,2029-08-01,80.65137140188786
,,2029-09-01,80.29042272234696
,,2029-10-01,79.93344745150465
,,2029-11-01,79.58037622997503
,,2029-12-01,79.23114135051505
,,2030-01-01,78.88567670829114
,,2030-02-01,78.54391775295164
,,2030-03-01,78.20580144242784
,,2030-04-01,77.87126619839128
,,2030-05-01,77.54025186329761
,,2030-06-01,77.21269965895102
