t,q,t_model,q_model
0.0,3395.0,0.0,3395.0
1.0,3022.0,1.0,3005.8449587076516
2.0,2756.0,2.0,2735.5410482034345
3.0,2664.0,3.0,2533.095887645335
4.0,3151.0,4.0,2373.808359148608
5.0,2695.0,5.0,2244.032266238061
6.0,2565.0,6.0,2135.518325221208
7.0,2516.0,7.0,2042.9402573991335
8.0,2162.0,8.0,1962.6813452451465
9.0,1756.0,9.0,1892.1858722323514
10.0,2357.0,10.0,1829.5885132569701
11.0,1226.0,11.0,1773.490882264637
12.0,1314.0,12.0,1722.8207342535743
13.0,1748.0,13.0,1676.7399137410575
14.0,1705.0,14.0,1634.5822558906268
15.0,1371.0,15.0,1595.8105477845256
16.0,1501.0,16.0,1559.985990685939
17.0,1286.0,17.0,1526.746080530089
18.0,994.0,18.0,1495.7882905656936
19.0,991.0,19.0,1466.8578364015345
20.0,1203.0,20.0,1439.7383668993282
21.0,1018.0,21.0,1414.2447870783524
22.0,1124.0,22.0,1390.217658055455
23.0,675.0,23.0,1367.5187795177508
24.0,1217.0,24.0,1346.0276700148906
25.0,772.0,25.0,1325.6387367262842
26.0,1145.0,26.0,1306.2589802916223
27.0,819.0,27.0,1287.8061189162388
28.0,711.0,28.0,1270.2070439800211
29.0,606.0,29.0,1253.3965399453643
30.0,603.0,30.0,1237.3162166248032
31.0,652.0,31.0,1221.9136133160803
32.0,622.0,32.0,1207.1414429790836
33.0,647.0,33.0,1192.9569512497426
34.0,697.0,34.0,1179.321370186254
35.0,2955.0,35.0,1166.1994506031997
36.0,2591.0,36.0,1153.559059946957
37.0,2708.0,37.0,1141.37083510607
38.0,2794.0,38.0,1129.607881485311
39.0,2054.0,39.0,1118.2455112161783
40.0,2559.0,40.0,1107.261014615927
41.0,2414.0,41.0,1096.63346000761
42.0,2235.0,42.0,1086.3435178254229
43.0,2100.0,43.0,1076.3733055917985
44.0,1652.0,44.0,1066.7062508953807
45.0,1650.0,45.0,1057.3269699458358
46.0,1098.0,46.0,1048.2211596510074
47.0,1684.0,47.0,1039.3755014687947
48.0,1515.0,48.0,1030.7775755420469
49.0,1485.0,49.0,1022.4157838389539
50.0,1101.0,50.0,1014.2792812013778
51.0,827.0,51.0,1006.3579133552952
52.0,1165.0,52.0,998.642161065876
53.0,860.0,53.0,991.1230897286787
54.0,1162.0,54.0,983.7923037811953
55.0,973.0,55.0,976.6419053982027
56.0,614.0,56.0,969.6644570022231
57.0,972.0,57.0,962.8529471786787
58.0,128.0,58.0,956.2007596355058
59.0,181.0,59.0,949.7016448903412
60.0,115.0,60.0,943.3496944059009
61.0,36.0,61.0,937.1393169267309
62.0,0.0,62.0,931.0652167988222
63.0,43.0,63.0,925.1223740782718
64.0,832.0,64.0,919.3060262567366
65.0,1105.0,65.0,913.6116514503157
66.0,935.0,66.0,908.0349529150619
,,67.0,902.5718447668969
,,68.0,897.2184387965289
,,69.0,891.9710322813022
,,70.0,886.8260967059186
,,71.0,881.7802673128376
,,72.0,876.830333411032
,,73.0,871.9732293787686
,,74.0,867.2060263023083
,,75.0,862.5259241979701
,,76.0,857.9302447699599
,,77.0,853.4164246607969
,,78.0,848.9820091551428
,,79.0,844.6246463013952
,,80.0,840.3420814186101
,,81.0,836.1321519591894
,,82.0,831.9927827003639
,,83.0,827.9219812398358
,,84.0,823.9178337730515
,,85.0,819.9785011314899
,,86.0,816.1022150630638
,,87.0,812.2872747373088
,,88.0,808.5320434594419
,,89.0,804.834945578666
,,90.0,801.1944635772658
,,91.0,797.6091353281038
,,92.0,794.0775515091008
,,93.0,790.598353164166
,,94.0,787.1702294008533
,,95.0,783.7919152157575
,,96.0,780.4621894393408
,,97.0,777.1798727924984
,,98.0,773.9438260477356
,,99.0,770.7529482883563
,,100.0,767.6061752595316
,,101.0,764.50247780556
,,102.0,761.4408603880355
,,103.0,758.4203596800056
,,104.0,755.4400432315504
,,105.0,752.49900820252
,,106.0,749.5963801584684
