t,q,t_model,q_model
2015-04-01,401.0,2017-11-01,3523.944784292253
2015-05-01,19784.0,2017-12-01,3120.0093268421183
2015-06-01,19003.0,2018-01-01,2839.4390600983374
2015-07-01,17033.0,2018-02-01,2629.304872276858
2015-08-01,15394.0,2018-03-01,2463.9674775054755
2015-09-01,13384.0,2018-04-01,2329.2623859773607
2015-10-01,13612.0,2018-05-01,2216.6269996830056
2015-11-01,12599.0,2018-06-01,2120.532743647231
2015-12-01,8220.0,2018-07-01,2037.2255345520875
2016-01-01,7651.0,2018-08-01,1964.0525877362836
2016-02-01,7663.0,2018-09-01,1899.077731573761
2016-03-01,7396.0,2018-10-01,1840.8494682021603
2016-04-01,6154.0,2018-11-01,1788.254827906755
2016-05-01,7424.0,2018-12-01,1740.4238213968904
2016-06-01,6937.0,2019-01-01,1696.6649823689072
2016-07-01,7411.0,2019-02-01,1656.4206941336797
2016-08-01,7319.0,2019-03-01,1619.235492031428
2016-09-01,7042.0,2019-04-01,1584.7331038063764
2016-10-01,7072.0,2019-05-01,1552.599512502033
2016-11-01,6064.0,2019-06-01,1522.570256814553
2016-12-01,6119.0,2019-07-01,1494.4207684183607
2017-01-01,6264.0,2019-08-01,1467.9589222790187
2017-02-01,5516.0,2019-09-01,1443.0192238985308
2017-03-01,6263.0,2019-10-01,1419.4582240068587
2017-04-01,5791.0,2019-11-01,1397.1508651729096
2017-05-01,4711.0,2019-12-01,1375.9875440772785
2017-06-01,5227.0,2020-01-01,1355.871729170421
2017-07-01,3563.0,2020-02-01,1336.7180135300528
2017-08-01,4068.0,2020-03-01,1318.4505118128648
2017-09-01,4040.0,2020-04-01,1301.001531543571
2017-10-01,3910.0,2020-05-01,1284.3104648292192
2017-11-01,3395.0,2020-06-01,1268.3228584686015
2017-12-01,3022.0,2020-07-01,1252.9896294224347
2018-01-01,2756.0,2020-08-01,1238.2663994820969
2018-02-01,2664.0,2020-09-01,1224.1129282687018
2018-03-01,3151.0,2020-10-01,1210.4926278049004
2018-04-01,2695.0,2020-11-01,1197.3721451172764
2018-05-01,2565.0,2020-12-01,1184.7210018601852
2018-06-01,2516.0,2021-01-01,1172.5112819604074
2018-07-01,2162.0,2021-02-01,1160.7173598846762
2018-08-01,1756.0,2021-03-01,1149.3156634185402
2018-09-01,2357.0,2021-04-01,1138.2844658834122
