t,q,t_model,q_model
0.0,3881.0,0.0,3881.0
1.0,3816.0,1.0,3750.7149089444124
2.0,3210.0,2.0,3627.69722467223
3.0,2267.0,3.0,3511.387408804365
4.0,2182.0,4.0,3401.2803504045905
5.0,3432.0,5.0,3296.9190154607563
6.0,2765.0,6.0,3197.8889553862414
7.0,2693.0,7.0,3103.8135430342436
8.0,2274.0,8.0,3014.3498270990312
9.0,3121.0,9.0,2929.1849139829774
10.0,3007.0,10.0,2848.0328010816047
11.0,1228.0,11.0,2770.6315976423057
12.0,1086.0,12.0,2696.741079406138
13.0,1977.0,13.0,2626.1405315572747
14.0,2287.0,14.0,2558.626841407865
15.0,3412.0,15.0,2494.012807997754
16.0,2691.0,16.0,2432.1256405973995
17.0,2798.0,17.0,2372.8056221365728
18.0,2720.0,18.0,2315.9049169765476
19.0,2576.0,19.0,2261.2865053097808
20.0,2912.0,20.0,2208.8232288980867
21.0,2066.0,21.0,2158.3969349213125
22.0,2537.0,22.0,2109.897706463672
23.0,1790.0,23.0,2063.2231696634835
24.0,1591.0,24.0,2018.2778688351218
25.0,1381.0,25.0,1974.9727019731026
26.0,1707.0,26.0,1933.2244099956476
27.0,1198.0,27.0,1892.9551139021112
28.0,1218.0,28.0,1854.091894724901
29.0,1122.0,29.0,1816.5664117683307
30.0,931.0,30.0,1780.314555158033
31.0,2096.0,31.0,1745.2761291866645
32.0,1434.0,32.0,1711.3945633444903
33.0,1221.0,33.0,1678.616648275328
34.0,770.0,34.0,1646.8922942062911
35.0,999.0,35.0,1616.1743096697742
36.0,1553.0,36.0,1586.4181985733205
37.0,1549.0,37.0,1557.5819738816817
38.0,874.0,38.0,1529.625986359364
39.0,1483.0,39.0,1502.512766984348
40.0,761.0,40.0,1476.206881787312
41.0,415.0,41.0,1450.6747979979148
42.0,2141.0,42.0,1425.8847604925377
43.0,1732.0,43.0,1401.8066776381822
44.0,858.0,44.0,1378.4120157164136
45.0,534.0,45.0,1355.6737011907537
46.0,441.0,46.0,1333.5660301518478
47.0,849.0,47.0,1312.0645843381128
48.0,547.0,48.0,1291.1461531862758
49.0,1220.0,49.0,1270.788661417013
50.0,1328.0,50.0,1250.9711017064524
51.0,950.0,51.0,1231.673472035235
52.0,1278.0,52.0,1212.876717343628
53.0,1373.0,53.0,1194.5626751542932
54.0,1329.0,54.0,1176.7140248541887
55.0,355.0,55.0,1159.3142403540053
56.0,1104.0,56.0,1142.3475458678934
57.0,1950.0,57.0,1125.7988745782195
58.0,2006.0,58.0,1109.6538299700346
59.0,1859.0,59.0,1093.898649637978
60.0,2030.0,60.0,1078.5201713847214
61.0,1752.0,61.0,1063.5058014449246
62.0,1436.0,62.0,1048.8434846821988
63.0,1612.0,63.0,1034.521676618862
64.0,1423.0,64.0,1020.5293171694751
65.0,1213.0,65.0,1006.8558059593503
66.0,923.0,66.0,993.4909791185439
67.0,819.0,67.0,980.4250874503385
68.0,5.0,68.0,967.6487758809973
69.0,1287.0,69.0,955.1530641046793
70.0,426.0,70.0,942.9293283439184
71.0,895.0,71.0,930.9692841520168
72.0,64.0,72.0,919.2649701891858
73.0,640.0,73.0,907.8087329092764
74.0,568.0,74.0,896.5932120985502
75.0,1146.0,75.0,885.6113272121753
76.0,1289.0,76.0,874.8562644580306
77.0,830.0,77.0,864.3214645809838
78.0,750.0,78.0,854.0006113041103
79.0,716.0,79.0,843.8876203863673
80.0,702.0,80.0,833.9766292590432
81.0,279.0,81.0,824.2619872058949
82.0,4.0,82.0,814.7382460542773
83.0,103.0,83.0,805.4001513467872
84.0,1931.0,84.0,796.2426339649863
85.0,954.0,85.0,787.2608021786606
86.0,770.0,86.0,778.4499340958338
87.0,526.0,87.0,769.8054704903708
88.0,275.0,88.0,761.3230079855199
89.0,611.0,89.0,752.998292573135
90.0,339.0,90.0,744.8272134496228
91.0,52.0,91.0,736.805797150863
92.0,714.0,92.0,728.930201969466
93.0,542.0,93.0,721.1967126387857
94.0,556.0,94.0,713.6017352690579
95.0,596.0,95.0,706.1417925219569
96.0,540.0,96.0,698.8135190106834
97.0,158.0,97.0,691.6136569134998
98.0,205.0,98.0,684.539051789341
99.0,2.0,99.0,677.5866485848259
100.0,104.0,100.0,670.7534878226209
101.0,270.0,101.0,664.0367019617041
102.0,444.0,102.0,657.4335119206364
103.0,431.0,103.0,650.9412237554573
104.0,565.0,104.0,644.5572254843174
105.0,615.0,105.0,638.2789840514073
106.0,391.0,106.0,632.1040424231685
107.0,445.0,107.0,626.0300168101729
108.0,547.0,108.0,620.0545940084253
109.0,591.0,109.0,614.1755288541998
110.0,63.0,110.0,608.39064178684
111.0,282.0,111.0,602.69781651427
112.0,352.0,112.0,597.0949977762426
113.0,178.0,113.0,591.5801892006298
114.0,0.0,114.0,586.15145124831
115.0,353.0,115.0,580.8068992424485
116.0,840.0,116.0,575.5447014781926
117.0,971.0,117.0,570.3630774090107
118.0,1139.0,118.0,565.2602959061107
119.0,956.0,119.0,560.2346735875523
120.0,603.0,120.0,555.284573213851
121.0,367.0,121.0,550.4084021470343
122.0,804.0,122.0,545.6046108702667
123.0,351.0,123.0,540.8716915653112
124.0,461.0,124.0,536.2081767452291
125.0,435.0,125.0,531.6126379398584
126.0,673.0,126.0,527.0836844317254
127.0,766.0,127.0,522.6199620401719
128.0,496.0,128.0,518.220151951581
129.0,921.0,129.0,513.8829695936969
130.0,613.0,130.0,509.6071635521268
131.0,542.0,131.0,505.3915145272112
132.0,721.0,132.0,501.23483432953265
133.0,110.0,133.0,497.13596491241805
134.0,1161.0,134.0,493.0937774398728
,,135.0,489.10717138845075
,,136.0,485.17507368164394
,,137.0,481.296437855438
,,138.0,477.4702432537427
,,139.0,473.6954942524699
,,140.0,469.9712195110861
,,141.0,466.2964712505208
,,142.0,462.6703245563661
,,143.0,459.0918767063465
,,144.0,455.56024652109
,,145.0,452.074573737271
,,146.0,448.63401840223986
,,147.0,445.23776028929063
,,148.0,441.8849983327613
,,149.0,438.57495008219007
,,150.0,435.3068511747913
,,151.0,432.0799548255426
,,152.0,428.89353133420764
,,153.0,425.7468676086495
,,154.0,422.6392667038114
,,155.0,419.57004737577915
,,156.0,416.53854365035187
,,157.0,413.5441044055824
,,158.0,410.5860929677653
