t,q,t_model,q_model
0.0,3881.0,0.0,3437.841399330135
1.0,3816.0,1.0,3322.4331334846324
2.0,3210.0,2.0,3213.4624331907307
3.0,2267.0,3.0,3110.4336519129643
4.0,2182.0,4.0,3012.899355668387
5.0,3432.0,5.0,2920.4546976525994
6.0,2765.0,6.0,2832.732553797325
7.0,2693.0,7.0,2749.399302768531
8.0,2274.0,8.0,2670.151153739934
9.0,3121.0,9.0,2594.710941402721
10.0,3007.0,10.0,2522.825320847335
11.0,1228.0,11.0,2454.2623057631827
12.0,1086.0,12.0,2388.809102307822
13.0,1977.0,13.0,2326.270198362908
14.0,2287.0,14.0,2266.4656740090845
15.0,3412.0,15.0,2209.229704146941
16.0,2691.0,16.0,2154.4092284509316
17.0,2798.0,17.0,2101.86276741675
18.0,2720.0,18.0,2051.4593662700836
19.0,2576.0,19.0,2003.0776510436815
20.0,2912.0,20.0,1956.6049832795427
21.0,2066.0,21.0,1911.936701638691
22.0,2537.0,22.0,1868.9754402557362
23.0,1790.0,23.0,1827.630515002903
24.0,1591.0,24.0,1787.8173699647457
25.0,1381.0,25.0,1749.457077400162
26.0,1707.0,26.0,1712.4758853075527
27.0,1198.0,27.0,1676.8048074327157
28.0,1218.0,28.0,1642.3792511846727
29.0,1122.0,29.0,1609.1386794665707
30.0,931.0,30.0,1577.02630289933
31.0,2096.0,31.0,1545.9887993250616
32.0,1434.0,32.0,1515.976057834117
33.0,1221.0,33.0,1486.9409448713516
34.0,770.0,34.0,1458.83909024998
35.0,999.0,35.0,1431.6286911405698
36.0,1553.0,36.0,1405.2703323128308
37.0,1549.0,37.0,1379.7268210927066
38.0,874.0,38.0,1354.9630356602459
39.0,1483.0,39.0,1330.945785457579
40.0,761.0,40.0,1307.6436826035733
41.0,415.0,41.0,1285.02702332443
42.0,2141.0,42.0,1263.0676785094513
43.0,1732.0,43.0,1241.738992590048
44.0,858.0,44.0,1221.015690019064
45.0,534.0,45.0,1200.8737886979345
46.0,441.0,46.0,1181.2905197620103
47.0,849.0,47.0,1162.2442531905308
48.0,547.0,48.0,1143.714428757956
49.0,1220.0,49.0,1125.6814918883622
50.0,1328.0,50.0,1108.126834014963
51.0,950.0,51.0,1091.032737083076
52.0,1278.0,52.0,1074.382321867446
53.0,1373.0,53.0,1058.1594998041703
54.0,1329.0,54.0,1042.3489280639317
55.0,355.0,55.0,1026.9359676171002
56.0,1104.0,56.0,1011.9066440628251
57.0,1950.0,57.0,997.2476110137277
58.0,2006.0,58.0,982.9461158454593
59.0,1859.0,59.0,968.989967636375
60.0,2030.0,60.0,955.3675071370852
61.0,1752.0,61.0,942.0675786228129
62.0,1436.0,62.0,929.0795034934671
63.0,1612.0,63.0,916.3930554972293
64.0,1423.0,64.0,903.9984374633691
65.0,1213.0,65.0,891.8862594390528
66.0,923.0,66.0,880.0475181331515
67.0,819.0,67.0,868.4735775775939
68.0,5.0,68.0,857.1561509236845
69.0,1287.0,69.0,846.0872832971133
70.0,426.0,70.0,835.2593356411443
71.0,895.0,71.0,824.6649694827477
72.0,64.0,72.0,814.2971325612897
73.0,640.0,73.0,804.149045263835
74.0,568.0,74.0,794.2141878151972
75.0,1146.0,75.0,784.4862881746259
76.0,1289.0,76.0,774.9593105944681
77.0,830.0,77.0,765.6274447993201
78.0,750.0,78.0,756.4850957471047
79.0,716.0,79.0,747.5268739362141
80.0,702.0,80.0,738.7475862253384
81.0,279.0,81.0,730.1422271349012
82.0,4.0,82.0,721.705970601138
83.0,103.0,83.0,713.434162155821
84.0,1931.0,84.0,705.322311506442
85.0,954.0,85.0,697.3660854933396
86.0,770.0,86.0,689.5613014018223
87.0,526.0,87.0,681.9039206087631
88.0,275.0,88.0,674.3900425444904
89.0,611.0,89.0,667.0158989520302
90.0,339.0,90.0,659.7778484269046
91.0,52.0,91.0,652.6723712217672
92.0,714.0,92.0,645.6960643011356
93.0,542.0,93.0,638.8456366324185
94.0,556.0,94.0,632.117904700281
95.0,596.0,95.0,625.5097882322015
96.0,540.0,96.0,619.0183061238093
97.0,158.0,97.0,612.640572553295
98.0,205.0,98.0,606.373793274824
99.0,2.0,99.0,600.215262081493
100.0,104.0,100.0,594.1623574289326
101.0,270.0,101.0,588.2125392111808
102.0,444.0,102.0,582.3633456809497
103.0,431.0,103.0,576.6123905068621
104.0,565.0,104.0,570.9573599606687
105.0,615.0,105.0,565.3960102278554
106.0,391.0,106.0,559.9261648354292
107.0,445.0,107.0,554.5457121910212
108.0,547.0,108.0,549.2526032277773
109.0,591.0,109.0,544.0448491498191
110.0,63.0,110.0,538.920519273339
111.0,282.0,111.0,533.8777389586795
112.0,352.0,112.0,528.9146876289878
113.0,178.0,113.0,524.0295968712907
114.0,0.0,114.0,519.2207486160472
115.0,353.0,115.0,514.48647339146
116.0,840.0,116.0,509.82514864901685
117.0,971.0,117.0,505.2351971569274
118.0,1139.0,118.0,500.71508545829164
119.0,956.0,119.0,496.26332239100543
120.0,603.0,120.0,491.8784576665659
121.0,367.0,121.0,487.55908050508225
122.0,804.0,122.0,483.30381832394016
123.0,351.0,123.0,479.11133547769816
124.0,461.0,124.0,474.98033204691546
125.0,435.0,125.0,470.9095426737303
126.0,673.0,126.0,466.8977354421145
127.0,766.0,127.0,462.9437108008366
128.0,496.0,128.0,459.04630052726066
