t,q,t_model,q_model
0.0,423.0,0.0,423.0
1.0,421.0,1.0,320.359077531528
2.0,398.0,2.0,290.30408250445856
3.0,397.0,3.0,273.03462964031615
4.0,317.0,4.0,261.1126769503913
5.0,324.0,5.0,252.10021167523243
6.0,318.0,6.0,244.90414664152726
7.0,301.0,7.0,238.94371098111947
8.0,254.0,8.0,233.87492349921794
9.0,166.0,9.0,229.4779479656048
10.0,338.0,10.0,225.60413065261952
11.0,384.0,11.0,222.1484686793993
12.0,349.0,12.0,219.0341673075152
13.0,372.0,13.0,216.20344434888668
14.0,360.0,14.0,213.6117833392759
15.0,375.0,15.0,211.22419568669412
16.0,362.0,16.0,209.01270645606365
17.0,242.0,17.0,206.9546140537392
18.0,324.0,18.0,205.03125541354413
19.0,304.0,19.0,203.22711072622758
20.0,40.0,20.0,201.52914188519523
21.0,45.0,21.0,199.92629531599363
22.0,0.0,22.0,198.40912266661368
23.0,7.0,23.0,196.96948746822315
24.0,54.0,24.0,195.60033548383822
25.0,32.0,25.0,194.29551290445832
26.0,68.0,26.0,193.0496209539556
27.0,90.0,27.0,191.8578985238144
28.0,79.0,28.0,190.71612661939784
29.0,98.0,29.0,189.62054994712207
30.0,141.0,30.0,188.56781209535367
31.0,77.0,31.0,187.55490158732323
32.0,164.0,32.0,186.57910669779187
33.0,132.0,33.0,185.63797738588198
34.0,82.0,34.0,184.7292930458413
35.0,2.0,35.0,183.8510350448686
36.0,94.0,36.0,183.0013632234946
37.0,192.0,37.0,182.17859569457775
38.0,61.0,38.0,181.38119140285036
39.0,71.0,39.0,180.60773500632672
40.0,43.0,40.0,179.85692371987616
41.0,136.0,41.0,179.1275558244381
42.0,185.0,42.0,178.41852059619228
43.0,65.0,43.0,177.7287894511314
44.0,240.0,44.0,177.05740813394982
45.0,112.0,45.0,176.40348980752592
46.0,143.0,46.0,175.76620892176396
47.0,32.0,47.0,175.14479575912225
48.0,0.0,48.0,174.53853156954662
49.0,0.0,49.0,173.9467442203444
50.0,0.0,50.0,173.36880429724798
51.0,0.0,51.0,172.80412160190951
52.0,41.0,52.0,172.25214199864416
53.0,412.0,53.0,171.71234456963967
54.0,108.0,54.0,171.1842390432847
55.0,0.0,55.0,170.66736346488858
56.0,0.0,56.0,170.16128208301095
57.0,0.0,57.0,169.66558342799854
58.0,0.0,58.0,169.17987856222786
59.0,0.0,59.0,168.7037994840498
60.0,0.0,60.0,168.23699766959072
61.0,0.0,61.0,167.77914273843086
62.0,274.0,62.0,167.32992123080203
63.0,173.0,63.0,166.88903548535717
64.0,178.0,64.0,166.45620260779245
65.0,167.0,65.0,166.03115352167924
66.0,255.0,66.0,165.61363209380212
67.0,141.0,67.0,165.20339432712743
68.0,284.0,68.0,164.80020761525267
69.0,328.0,69.0,164.40385005282658
70.0,282.0,70.0,164.01410979699781
71.0,205.0,71.0,163.63078447544717
72.0,82.0,72.0,163.25368063700466
73.0,340.0,73.0,162.8826132412445
74.0,213.0,74.0,162.51740518380228
75.0,277.0,75.0,162.15788685446944
76.0,272.0,76.0,161.8038957254001
77.0,256.0,77.0,161.45527596701203
78.0,257.0,78.0,161.1118780893879
79.0,206.0,79.0,160.77355860718137
80.0,230.0,80.0,160.44017972621234
81.0,220.0,81.0,160.11160905009615
82.0,283.0,82.0,159.7877193053973
83.0,217.0,83.0,159.468388083928
84.0,238.0,84.0,159.1534976009303
85.0,175.0,85.0,158.8429344679873
86.0,277.0,86.0,158.53658947960457
87.0,276.0,87.0,158.2343574124917
88.0,227.0,88.0,157.93613683665095
89.0,207.0,89.0,157.64182993745487
90.0,248.0,90.0,157.3513423479568
91.0,220.0,91.0,157.06458299074086
92.0,244.0,92.0,156.78146392866967
93.0,21.0,93.0,156.50190022393986
94.0,62.0,94.0,156.22580980489792
95.0,361.0,95.0,155.95311334011313
96.0,284.0,96.0,155.6837341192395
97.0,263.0,97.0,155.41759794023477
98.0,264.0,98.0,155.1546330025361
99.0,233.0,99.0,154.8947698058197
100.0,279.0,100.0,154.63794105400063
101.0,218.0,101.0,154.38408156415161
102.0,291.0,102.0,154.13312818004297
103.0,250.0,103.0,153.88501969002687
104.0,257.0,104.0,153.6396967490075
105.0,244.0,105.0,153.39710180425723
106.0,255.0,106.0,153.15717902485397
107.0,106.0,107.0,152.91987423453165
108.0,237.0,108.0,152.6851348477476
109.0,248.0,109.0,152.4529098087854
110.0,221.0,110.0,152.2231495337221
111.0,270.0,111.0,151.99580585510108
112.0,207.0,112.0,151.77083196916067
113.0,254.0,113.0,151.54818238547938
114.0,239.0,114.0,151.3278128789065
115.0,243.0,115.0,151.10968044365566
116.0,238.0,116.0,150.8937432494456
,,117.0,150.67996059958108
,,118.0,150.4682928908711
,,119.0,150.25870157529047
,,120.0,150.05114912329367
,,121.0,149.84559898869793
,,122.0,149.64201557505504
,,123.0,149.44036420343795
,,124.0,149.24061108157107
,,125.0,149.04272327423834
,,126.0,148.8466686749064
,,127.0,148.65241597850348
,,128.0,148.4599346552985
,,129.0,148.2691949258278
,,130.0,148.08016773681956
,,131.0,147.89282473806867
,,132.0,147.7071382602184
,,133.0,147.5230812934057
,,134.0,147.34062746673126
,,135.0,147.15975102851593
,,136.0,146.98042682730826
,,137.0,146.80263029360916
,,138.0,146.62633742228144
,,139.0,146.45152475561395
,,140.0,146.2781693670117
,,141.0,146.10624884528394
,,142.0,145.9357412795048
,,143.0,145.7666252444215
,,144.0,145.59887978638648
,,145.0,145.43248440979173
,,146.0,145.2674190639833
,,147.0,145.1036641306366
,,148.0,144.94120041157242
,,149.0,144.78000911699652
,,150.0,144.62007185414404
,,151.0,144.4613706163135
,,152.0,144.3038877722733
,,153.0,144.14760605602697
,,154.0,143.99250855692165
,,155.0,143.83857871008664
,,156.0,143.68580028718944
