t,q,t_model,q_model
2013-07-01,149.0,2013-09-01,448.6074653118582
2013-08-01,522.0,2013-10-01,339.75289305216035
2013-09-01,423.0,2013-11-01,307.87843645865183
2013-10-01,421.0,2013-12-01,289.56352989433617
2013-11-01,398.0,2014-01-01,276.9198490957662
2013-12-01,397.0,2014-02-01,267.3617895134963
2014-01-01,317.0,2014-03-01,259.73009094378057
2014-02-01,324.0,2014-04-01,253.40882396087287
2014-03-01,318.0,2014-05-01,248.03318352479647
2014-04-01,301.0,2014-06-01,243.3700250161146
2014-05-01,254.0,2014-07-01,239.26169554599747
2014-06-01,166.0,2014-08-01,235.59683559616084
2014-07-01,338.0,2014-09-01,232.2940014480328
2014-08-01,384.0,2014-10-01,229.29191291027766
2014-09-01,349.0,2014-11-01,226.54335859238387
2014-10-01,372.0,2014-12-01,224.01123177197113
2014-11-01,360.0,2015-01-01,221.66586397452997
2014-12-01,375.0,2015-02-01,219.48317930317214
2015-01-01,362.0,2015-03-01,217.44338487181616
2015-02-01,242.0,2015-04-01,215.53002133698652
2015-03-01,324.0,2015-05-01,213.72926129454203
2015-04-01,304.0,2015-06-01,212.02938201157903
2015-05-01,40.0,2015-07-01,210.4203631541823
2015-06-01,45.0,2015-08-01,208.89357569006006
2015-07-01,0.0,2015-09-01,207.44153833464253
2015-08-01,7.0,2015-10-01,206.057724741221
2015-09-01,54.0,2015-11-01,204.73640930394566
2015-10-01,32.0,2015-12-01,203.47254268753684
2015-11-01,68.0,2016-01-01,202.26165048894438
2015-12-01,90.0,2016-02-01,201.0997500775864
2016-01-01,79.0,2016-03-01,199.98328185224437
2016-02-01,98.0,2016-04-01,198.90905202814207
2016-03-01,141.0,2016-05-01,197.8741847183148
2016-04-01,77.0,2016-06-01,196.87608156193988
2016-05-01,164.0,2016-07-01,195.91238752280458
2016-06-01,132.0,2016-08-01,194.98096176463386
2016-07-01,82.0,2016-09-01,194.07985272885725
2016-08-01,2.0,2016-10-01,193.20727671068164
2016-09-01,94.0,2016-11-01,192.36159936283144
2016-10-01,192.0,2016-12-01,191.54131966171155
2016-11-01,61.0,2017-01-01,190.7450559545198
2016-12-01,71.0,2017-02-01,189.97153377283584
2017-01-01,43.0,2017-03-01,189.2195751521262
2017-02-01,136.0,2017-04-01,188.48808924022927
2017-03-01,185.0,2017-05-01,187.7760640133769
2017-04-01,65.0,2017-06-01,187.08255894732957
2017-05-01,240.0,2017-07-01,186.4066985150521
2017-06-01,112.0,2017-08-01,185.74766640204
2017-07-01,143.0,2017-09-01,185.10470034673298
2017-08-01,32.0,2017-10-01,184.47708752704216
2017-09-01,0.0,2017-11-01,183.86416042538062
2017-10-01,0.0,2017-12-01,183.26529311412472
2017-11-01,0.0,2018-01-01,182.67989791146582
2017-12-01,0.0,2018-02-01,182.107422364403
2018-01-01,41.0,2018-03-01,181.54734652138814
2018-02-01,412.0,2018-04-01,180.99918046203615
2018-03-01,108.0,2018-05-01,180.462462055498
2018-04-01,0.0,2018-06-01,179.93675492267624
2018-05-01,0.0,2018-07-01,179.42164658054142
2018-06-01,0.0,2018-08-01,178.9167467494552
2018-07-01,0.0,2018-09-01,178.42168580669525
2018-08-01,0.0,2018-10-01,177.93611337135684
2018-09-01,0.0,2018-11-01,177.4596970075248
2018-10-01,0.0,2018-12-01,176.99212103410602
2018-11-01,274.0,2019-01-01,176.53308543101392
2018-12-01,173.0,2019-02-01,176.08230483254027
2019-01-01,178.0,2019-03-01,175.63950759974276
2019-02-01,167.0,2019-04-01,175.20443496455806
2019-03-01,255.0,2019-05-01,174.776840239117
2019-04-01,141.0,2019-06-01,174.35648808441925
2019-05-01,284.0,2019-07-01,173.9431538331253
2019-06-01,328.0,2019-08-01,173.53662286175253
2019-07-01,282.0,2019-09-01,173.1366900080337
2019-08-01,205.0,2019-10-01,172.74315902961328
2019-09-01,82.0,2019-11-01,172.35584210062834
2019-10-01,340.0,2019-12-01,171.97455934305114
2019-11-01,213.0,2020-01-01,171.59913838996678
2019-12-01,277.0,2020-02-01,171.22941397822186
2020-01-01,272.0,2020-03-01,170.8652275681168
2020-02-01,256.0,2020-04-01,170.5064269880263
2020-03-01,257.0,2020-05-01,170.1528661020215
2020-04-01,206.0,2020-06-01,169.8044044987395
2020-05-01,230.0,2020-07-01,169.46090719989823
2020-06-01,220.0,2020-08-01,169.1222443869945
2020-07-01,283.0,2020-09-01,168.78829114484694
2020-08-01,217.0,2020-10-01,168.4589272207598
2020-09-01,238.0,2020-11-01,168.13403679818444
2020-10-01,175.0,2020-12-01,167.81350828384998
2020-11-01,277.0,2021-01-01,167.49723410741558
2020-12-01,276.0,2021-02-01,167.18511053277695
2021-01-01,227.0,2021-03-01,166.87703748022545
2021-02-01,207.0,2021-04-01,166.572918358724
2021-03-01,248.0,2021-05-01,166.27265990761947
2021-04-01,220.0,2021-06-01,165.97617204716548
2021-05-01,244.0,2021-07-01,165.68336773727592
2021-06-01,21.0,2021-08-01,165.39416284397421
2021-07-01,62.0,2021-09-01,165.10847601304323
2021-08-01,361.0,2021-10-01,164.82622855041654
2021-09-01,284.0,2021-11-01,164.54734430888726
2021-10-01,263.0,2021-12-01,164.2717495807388
2021-11-01,264.0,2022-01-01,163.99937299593327
2021-12-01,233.0,2022-02-01,163.73014542551593
2022-01-01,279.0,2022-03-01,163.46399988992158
2022-02-01,218.0,2022-04-01,163.20087147188735
2022-03-01,291.0,2022-05-01,162.9406972336993
2022-04-01,250.0,2022-06-01,162.68341613851752
2022-05-01,257.0,2022-07-01,162.42896897554195
2022-06-01,244.0,2022-08-01,162.1772982887976
2022-07-01,255.0,2022-09-01,161.92834830933177
2022-08-01,106.0,2022-10-01,161.68206489063013
2022-09-01,237.0,2022-11-01,161.43839544707103
2022-10-01,248.0,2022-12-01,161.1972888952487
2022-11-01,221.0,2023-01-01,160.95869559800735
2022-12-01,270.0,2023-02-01,160.72256731103806
2023-01-01,207.0,2023-03-01,160.48885713189935
2023-02-01,254.0,2023-04-01,160.25751945133152
2023-03-01,239.0,2023-05-01,160.02850990674258
2023-04-01,243.0,2023-06-01,159.80178533775114
2023-05-01,238.0,2023-07-01,159.57730374367844
,,2023-08-01,159.35502424288885
,,2023-09-01,159.13490703388283
,,2023-10-01,158.9169133580542
,,2023-11-01,158.70100546402614
,,2023-12-01,158.4871465734876
,,2024-01-01,158.2753008484549
,,2024-02-01,158.06543335988832
,,2024-03-01,157.85751005759744
,,2024-04-01,157.65149774137214
,,2024-05-01,157.44736403328028
,,2024-06-01,157.2450773510767
,,2024-07-01,157.04460688267002
,,2024-08-01,156.84592256159777
,,2024-09-01,156.6489950434628
,,2024-10-01,156.45379568328593
,,2024-11-01,156.260296513733
,,2024-12-01,156.06847022417648
,,2025-01-01,155.87829014055274
,,2025-02-01,155.68973020598068
,,2025-03-01,155.50276496210623
,,2025-04-01,155.31736953114145
,,2025-05-01,155.13351959856698
,,2025-06-01,154.95119139646914
,,2025-07-01,154.7703616874841
,,2025-08-01,154.59100774932259
,,2025-09-01,154.41310735985056
,,2025-10-01,154.23663878270213
,,2025-11-01,154.06158075340204
,,2025-12-01,153.88791246597654
,,2026-01-01,153.71561356003207
,,2026-02-01,153.54466410828257
,,2026-03-01,153.37504460450677
,,2026-04-01,153.2067359519181
,,2026-05-01,153.03971945192995
,,2026-06-01,152.8739767933015
,,2026-07-01,152.709490041647
,,2026-08-01,152.54624162929593
,,2026-09-01,152.3842143454892
,,2026-10-01,152.22339132689774
,,2026-11-01,152.06375604845226
,,2026-12-01,151.90529231447056
,,2027-01-01,151.74798425007208
,,2027-02-01,151.59181629286815
,,2027-03-01,151.43677318491734
,,2027-04-01,151.2828399649362
,,2027-05-01,151.13000196075558
,,2027-06-01,150.9782447820135
,,2027-07-01,150.82755431307535
,,2027-08-01,150.6779167061737
,,2027-09-01,150.52931837475907
,,2027-10-01,150.38174598705407
,,2027-11-01,150.23518645980403
,,2027-12-01,150.089626952216
,,2028-01-01,149.94505486008063
,,2028-02-01,149.80145781006925
,,2028-03-01,149.65882365420063
,,2028-04-01,149.5171404644713
,,2028-05-01,149.37639652764364
,,2028-06-01,149.236580340186
,,2028-07-01,149.0976806033602
,,2028-08-01,148.95968621845046
,,2028-09-01,148.82258628212998
,,2028-10-01,148.68637008195932
,,2028-11-01,148.55102709201304
,,2028-12-01,148.41654696862977
,,2029-01-01,148.28291954628182
,,2029-02-01,148.1501348335601
,,2029-03-01,148.01818300927064
,,2029-04-01,147.88705441863937
,,2029-05-01,147.7567395696208
,,2029-06-01,147.62722912930806
,,2029-07-01,147.49851392044047
,,2029-08-01,147.37058491800573
,,2029-09-01,147.24343324593346
,,2029-10-01,147.1170501738776
,,2029-11-01,146.9914271140843
,,2029-12-01,146.86655561834303
,,2030-01-01,146.74242737501797
,,2030-02-01,146.6190342061575
,,2030-03-01,146.49636806467896
,,2030-04-01,146.3744210316268
,,2030-05-01,146.2531853135014
,,2030-06-01,146.13265323965666
,,2030-07-01,146.01281725976426
,,2030-08-01,145.8936699413425
,,2030-09-01,145.7752039673476
,,2030-10-01,145.65741213382614
,,2030-11-01,145.54028734762593
,,2030-12-01,145.42382262416433
,,2031-01-01,145.30801108525216
,,2031-02-01,145.19284595697107
,,2031-03-01,145.07832056760358
,,2031-04-01,144.96442834561353
,,2031-05-01,144.85116281767588
,,2031-06-01,144.73851760675456
,,2031-07-01,144.62648643022615
,,2031-08-01,144.51506309804952
,,2031-09-01,144.40424151097855
