t,q,t_model,q_model
0.0,257.0,0.0,256.9154053164221
1.0,58.0,1.0,59.49050051120926
2.0,4.0,2.0,13.43520925582133
3.0,0.0,3.0,2.956669679426225
4.0,0.0,4.0,0.6334683264019211
5.0,0.0,5.0,0.13200530506801028
6.0,0.0,6.0,0.02672759130963625
7.0,0.0,7.0,0.005252462715212424
8.0,0.0,8.0,0.0010007069494799904
9.0,0.0,9.0,0.0001846158230820679
10.0,0.0,10.0,3.293784829371806e-05
11.0,0.0,11.0,5.675426383616414e-06
12.0,0.0,12.0,9.430941784165885e-07
13.0,0.0,13.0,1.5090438961318049e-07
14.0,0.0,14.0,2.321309665714104e-08
15.0,0.0,15.0,3.4268594950396962e-09
16.0,0.0,16.0,4.846055839986451e-10
17.0,0.0,17.0,6.551653477988884e-11
18.0,0.0,18.0,8.450155426953989e-12
19.0,0.0,19.0,1.0373950723109855e-12
20.0,0.0,20.0,1.2092909070841504e-13
21.0,0.0,21.0,1.33501308899708e-14
22.0,0.0,22.0,1.3918121707504976e-15
23.0,0.0,23.0,1.366123960393656e-16
24.0,0.0,24.0,1.2582848178965664e-17
25.0,0.0,25.0,1.0836546033213197e-18
26.0,0.0,26.0,8.692290415379337e-20
27.0,0.0,27.0,6.4664485178958625e-21
28.0,0.0,28.0,4.440913507258034e-22
29.0,0.0,29.0,2.8012285817731726e-23
30.0,0.0,30.0,1.6138843791738077e-24
31.0,0.0,31.0,8.440640942736727e-26
32.0,0.0,32.0,3.980229327037816e-27
33.0,0.0,33.0,1.6795737482774007e-28
34.0,0.0,34.0,6.289361386831823e-30
35.0,0.0,35.0,2.0704276896072245e-31
36.0,0.0,36.0,5.929124202767902e-33
37.0,0.0,37.0,1.4596386269406846e-34
38.0,0.0,38.0,3.0477858322892456e-36
39.0,0.0,39.0,5.31560216513173e-38
40.0,7.0,40.0,7.608857905781463e-40
41.0,0.0,41.0,8.759530959210535e-42
42.0,0.0,42.0,7.921421191230006e-44
43.0,0.0,43.0,5.473900296302847e-46
44.0,0.0,44.0,2.797633285273105e-48
45.0,0.0,45.0,1.0171089591736494e-50
46.0,0.0,46.0,2.509602690593615e-53
47.0,0.0,47.0,3.967676767887165e-56
48.0,0.0,48.0,3.7427597071058536e-59
49.0,0.0,49.0,1.9253375982859097e-62
50.0,0.0,50.0,4.810909278341267e-66
51.0,-53.0,51.0,5.013968963980593e-70
52.0,0.0,52.0,1.7732005191601216e-74
53.0,0.0,53.0,1.5934141624553822e-79
54.0,0.0,54.0,2.381904951957514e-85
55.0,0.0,55.0,3.0716505484054064e-92
56.0,2.0,56.0,1.1376807945875731e-100
57.0,0.0,57.0,1.5406930032337819e-111
58.0,0.0,58.0,7.47941027227269e-127
59.0,0.0,59.0,5.162455663040926e-153
60.0,0.0,60.0,0.0
,,61.0,
,,62.0,
,,63.0,
,,64.0,
,,65.0,
,,66.0,
,,67.0,
,,68.0,
,,69.0,
,,70.0,
,,71.0,
,,72.0,
,,73.0,
,,74.0,
,,75.0,
,,76.0,
,,77.0,
,,78.0,
,,79.0,
,,80.0,
,,81.0,
,,82.0,
,,83.0,
,,84.0,
,,85.0,
,,86.0,
,,87.0,
,,88.0,
,,89.0,
,,90.0,
,,91.0,
,,92.0,
,,93.0,
,,94.0,
,,95.0,
,,96.0,
,,97.0,
,,98.0,
,,99.0,
,,100.0,
