t,q,t_model,q_model
2015-02-01,309.0,2018-05-01,256.9154053164221
2015-03-01,775.0,2018-06-01,59.49050051120926
2015-04-01,1469.0,2018-07-01,13.43520925582133
2015-05-01,20.0,2018-08-01,2.956669679426225
2015-06-01,846.0,2018-09-01,0.6334683264019211
2015-07-01,880.0,2018-10-01,0.13200530506801028
2015-08-01,1546.0,2018-11-01,0.02672759130963625
2015-09-01,1292.0,2018-12-01,0.005252462715212424
2015-10-01,347.0,2019-01-01,0.0010007069494799904
2015-11-01,854.0,2019-02-01,0.0001846158230820679
2015-12-01,70.0,2019-03-01,3.293784829371806e-05
2016-01-01,642.0,2019-04-01,5.675426383616414e-06
2016-02-01,47.0,2019-05-01,9.430941784165885e-07
2016-03-01,736.0,2019-06-01,1.5090438961318049e-07
2016-04-01,745.0,2019-07-01,2.321309665714104e-08
2016-05-01,830.0,2019-08-01,3.4268594950396962e-09
2016-06-01,1041.0,2019-09-01,4.846055839986451e-10
2016-07-01,831.0,2019-10-01,6.551653477988884e-11
2016-08-01,551.0,2019-11-01,8.450155426953989e-12
2016-09-01,456.0,2019-12-01,1.0373950723109855e-12
2016-10-01,798.0,2020-01-01,1.2092909070841504e-13
2016-11-01,537.0,2020-02-01,1.33501308899708e-14
2016-12-01,341.0,2020-03-01,1.3918121707504976e-15
2017-01-01,398.0,2020-04-01,1.366123960393656e-16
2017-02-01,444.0,2020-05-01,1.2582848178965664e-17
2017-03-01,270.0,2020-06-01,1.0836546033213197e-18
2017-04-01,233.0,2020-07-01,8.692290415379337e-20
2017-05-01,156.0,2020-08-01,6.4664485178958625e-21
2017-06-01,572.0,2020-09-01,4.440913507258034e-22
2017-07-01,338.0,2020-10-01,2.8012285817731726e-23
2017-08-01,269.0,2020-11-01,1.6138843791738077e-24
2017-09-01,233.0,2020-12-01,8.440640942736727e-26
2017-10-01,249.0,2021-01-01,3.980229327037816e-27
2017-11-01,77.0,2021-02-01,1.6795737482774007e-28
2017-12-01,2.0,2021-03-01,6.289361386831823e-30
2018-01-01,9.0,2021-04-01,2.0704276896072245e-31
2018-02-01,0.0,2021-05-01,5.929124202767902e-33
2018-03-01,4.0,2021-06-01,1.4596386269406846e-34
2018-04-01,559.0,2021-07-01,3.0477858322892456e-36
2018-05-01,257.0,2021-08-01,5.31560216513173e-38
2018-06-01,58.0,2021-09-01,7.608857905781463e-40
2018-07-01,4.0,2021-10-01,8.759530959210535e-42
2018-08-01,0.0,2021-11-01,7.921421191230006e-44
2018-09-01,0.0,2021-12-01,5.473900296302847e-46
2018-10-01,0.0,2022-01-01,2.797633285273105e-48
2018-11-01,0.0,2022-02-01,1.0171089591736494e-50
2018-12-01,0.0,2022-03-01,2.509602690593615e-53
2019-01-01,0.0,2022-04-01,3.967676767887165e-56
2019-02-01,0.0,2022-05-01,3.7427597071058536e-59
2019-03-01,0.0,2022-06-01,1.9253375982859097e-62
2019-04-01,0.0,2022-07-01,4.810909278341267e-66
2019-05-01,0.0,2022-08-01,5.013968963980593e-70
2019-06-01,0.0,2022-09-01,1.7732005191601216e-74
2019-07-01,0.0,2022-10-01,1.5934141624553822e-79
2019-08-01,0.0,2022-11-01,2.381904951957514e-85
2019-09-01,0.0,2022-12-01,3.0716505484054064e-92
2019-10-01,0.0,2023-01-01,1.1376807945875731e-100
2019-11-01,0.0,2023-02-01,1.5406930032337819e-111
2019-12-01,0.0,2023-03-01,7.47941027227269e-127
2020-01-01,0.0,2023-04-01,5.162455663040926e-153
2020-02-01,0.0,2023-05-01,0.0
2020-03-01,0.0,2023-06-01,
2020-04-01,0.0,2023-07-01,
2020-05-01,0.0,2023-08-01,
2020-06-01,0.0,2023-09-01,
2020-07-01,0.0,2023-10-01,
2020-08-01,0.0,2023-11-01,
2020-09-01,0.0,2023-12-01,
2020-10-01,0.0,2024-01-01,
2020-11-01,0.0,2024-02-01,
2020-12-01,0.0,2024-03-01,
2021-01-01,0.0,2024-04-01,
2021-02-01,0.0,2024-05-01,
2021-03-01,0.0,2024-06-01,
2021-04-01,0.0,2024-07-01,
2021-05-01,0.0,2024-08-01,
2021-06-01,0.0,2024-09-01,
2021-07-01,0.0,2024-10-01,
2021-08-01,0.0,2024-11-01,
2021-09-01,7.0,2024-12-01,
2021-10-01,0.0,2025-01-01,
2021-11-01,0.0,2025-02-01,
2021-12-01,0.0,2025-03-01,
2022-01-01,0.0,2025-04-01,
2022-02-01,0.0,2025-05-01,
2022-03-01,0.0,2025-06-01,
2022-04-01,0.0,2025-07-01,
2022-05-01,0.0,2025-08-01,
2022-06-01,0.0,2025-09-01,
2022-07-01,0.0,2025-10-01,
2022-08-01,-53.0,2025-11-01,
2022-09-01,0.0,2025-12-01,
2022-10-01,0.0,2026-01-01,
2022-11-01,0.0,2026-02-01,
2022-12-01,0.0,2026-03-01,
2023-01-01,2.0,2026-04-01,
2023-02-01,0.0,2026-05-01,
2023-03-01,0.0,2026-06-01,
2023-04-01,0.0,2026-07-01,
2023-05-01,0.0,2026-08-01,
,,2026-09-01,
