t,q,t_model,q_model
0.0,15079.0,0.0,15079.0
1.0,8384.0,1.0,7851.458642438988
2.0,5484.0,2.0,5472.096975995695
3.0,5054.0,3.0,4257.9226385944885
4.0,2950.0,4.0,3512.4855881367916
5.0,1697.0,5.0,3004.629430928803
6.0,1668.0,6.0,2634.6099021386426
7.0,2076.0,7.0,2352.0425943904133
8.0,2504.0,8.0,2128.6196572127024
9.0,2456.0,9.0,1947.1621818890353
10.0,2058.0,10.0,1796.6158543891672
11.0,996.0,11.0,1669.5316610056607
12.0,1434.0,12.0,1560.6993370793346
13.0,713.0,13.0,1466.3605668221967
14.0,2587.0,14.0,1383.7333237474272
15.0,2374.0,15.0,1310.7123575261237
16.0,1780.0,16.0,1245.6739699321342
17.0,1683.0,17.0,1187.3449348776628
18.0,1102.0,18.0,1134.7121887394494
19.0,785.0,19.0,1086.959187151405
20.0,1231.0,20.0,1043.4201482283856
21.0,1090.0,21.0,1003.5465639331925
22.0,777.0,22.0,966.8822955054314
23.0,694.0,23.0,933.044783762466
24.0,1223.0,24.0,901.7106864300366
25.0,784.0,25.0,872.6047680100754
26.0,534.0,26.0,845.4912115520574
27.0,908.0,27.0,820.1667561148632
28.0,912.0,28.0,796.4552261147317
29.0,655.0,29.0,774.2031329504273
30.0,574.0,30.0,753.2761106945898
31.0,996.0,31.0,733.5560063965922
32.0,681.0,32.0,714.9384884541544
33.0,299.0,33.0,697.3310681940343
34.0,934.0,34.0,680.6514534332603
35.0,971.0,35.0,664.8261705858806
36.0,663.0,36.0,649.7894053978127
37.0,646.0,37.0,635.4820227476615
38.0,683.0,38.0,621.8507339466491
39.0,712.0,39.0,608.847386189782
40.0,507.0,40.0,596.4283536816015
41.0,448.0,41.0,584.5540138006977
42.0,516.0,42.0,573.18829471458
43.0,472.0,43.0,562.2982832887676
44.0,550.0,44.0,551.8538840862426
45.0,37.0,45.0,541.82752182885
46.0,216.0,46.0,532.1938809700462
47.0,711.0,47.0,522.9296770699153
48.0,404.0,48.0,514.0134555162002
49.0,1113.0,49.0,505.42541383654594
50.0,634.0,50.0,497.1472444265439
51.0,484.0,51.0,489.16199499868173
52.0,408.0,52.0,481.4539444573742
53.0,219.0,53.0,474.00849223959517
54.0,35.0,54.0,466.81205944104005
55.0,53.0,55.0,459.8520002837427
56.0,39.0,56.0,453.1165226803438
57.0,739.0,57.0,446.5946168190003
58.0,858.0,58.0,440.27599083635783
59.0,679.0,59.0,434.15101276822935
60.0,542.0,60.0,428.2106580720836
61.0,156.0,61.0,422.4464621049717
62.0,2.0,62.0,416.85047701743497
63.0,27.0,63.0,411.4152325902087
64.0,0.0,64.0,406.1337005977635
65.0,492.0,65.0,400.9992623322657
66.0,949.0,66.0,396.0056789645289
67.0,1126.0,67.0,391.14706445591156
68.0,497.0,68.0,386.41786076769574
69.0,323.0,69.0,381.8128151429441
70.0,364.0,70.0,377.32695926073114
71.0,255.0,71.0,372.95559008448924
72.0,555.0,72.0,368.69425224539617
73.0,614.0,73.0,364.5387218186211
74.0,431.0,74.0,360.4849913651446
75.0,311.0,75.0,356.5292561250232
76.0,508.0,76.0,352.66790125961586
77.0,579.0,77.0,348.8974900506124
78.0,1108.0,78.0,345.21475297286753
79.0,910.0,79.0,341.61657756619246
80.0,440.0,80.0,338.09999903851923
81.0,364.0,81.0,334.6621915393208
82.0,344.0,82.0,331.3004600479604
83.0,626.0,83.0,328.0122328268107
84.0,497.0,84.0,324.79505439362237
85.0,539.0,85.0,321.64657897177835
86.0,20.0,86.0,318.56456438080073
87.0,489.0,87.0,315.54686633284007
88.0,289.0,88.0,312.5914331038981
89.0,29.0,89.0,309.6963005512623
90.0,146.0,90.0,306.85958745109093
91.0,312.0,91.0,304.0794911323142
92.0,0.0,92.0,301.3542833850258
93.0,137.0,93.0,298.68230662336555
94.0,2.0,94.0,296.06197028454505
95.0,0.0,95.0,293.491747447169
96.0,252.0,96.0,290.9701716533692
97.0,731.0,97.0,288.49583392050766
98.0,673.0,98.0,286.06737992933597
99.0,351.0,99.0,283.6835073765263
100.0,495.0,100.0,281.34296348042943
101.0,388.0,101.0,279.0445426297731
102.0,352.0,102.0,276.78708416579735
103.0,234.0,103.0,274.5694702890408
104.0,56.0,104.0,272.39062408264994
105.0,192.0,105.0,270.2495076446837
106.0,150.0,106.0,268.1451203224387
107.0,138.0,107.0,266.0764970423273
108.0,417.0,108.0,264.0427067293066
109.0,377.0,109.0,262.0428508102845
110.0,576.0,110.0,260.0760617963225
111.0,302.0,111.0,258.14150193881966
112.0,238.0,112.0,256.2383619551941
113.0,243.0,113.0,254.36585981988966
114.0,199.0,114.0,252.52323961681878
115.0,252.0,115.0,250.7097704496146
116.0,104.0,116.0,248.92474540631173
117.0,59.0,117.0,247.16748057529665
118.0,146.0,118.0,245.437314109579
119.0,78.0,119.0,243.73360533662768
120.0,344.0,120.0,242.0557339111932
121.0,144.0,121.0,240.40309900870486
122.0,281.0,122.0,238.7751185569854
123.0,328.0,123.0,237.17122850416666
124.0,228.0,124.0,235.59088212082506
125.0,172.0,125.0,234.03354933447704
126.0,335.0,126.0,232.49871609469187
127.0,224.0,127.0,230.98588376718286
128.0,78.0,128.0,229.49456855534055
129.0,128.0,129.0,228.0243009477633
130.0,9.0,130.0,226.5746251904262
131.0,184.0,131.0,225.14509878221128
132.0,176.0,132.0,223.7352919925971
133.0,198.0,133.0,222.3447874003757
134.0,166.0,134.0,220.9731794523306
135.0,258.0,135.0,219.62007404087205
136.0,217.0,136.0,218.28508809968227
137.0,253.0,137.0,216.9678492164774
138.0,196.0,138.0,215.6679952620436
139.0,239.0,139.0,214.38517403475174
,,140.0,213.1190429197997
,,141.0,211.86926856247197
,,142.0,210.63552655474638
,,143.0,209.41750113461353
,,144.0,208.21488489750854
,,145.0,207.02737851928813
,,146.0,205.85469049021506
,,147.0,204.6965368594411
,,148.0,203.5526409895069
,,149.0,202.42273332040105
,,150.0,201.30655114274555
,,151.0,200.20383837969717
,,152.0,199.11434537717412
,,153.0,198.03782870203915
,,154.0,196.97405094788678
,,155.0,195.9227805481022
,,156.0,194.88379159587393
,,157.0,193.85686367085998
,,158.0,192.84178167222075
,,159.0,191.83833565774634
,,160.0,190.8463206888197
,,161.0,189.86553668096886
,,162.0,188.89578825977355
,,163.0,187.93688462190312
,,164.0,186.98863940107282
,,165.0,186.05087053871603
,,166.0,185.1234001591784
,,167.0,184.2060544492511
,,168.0,183.29866354186635
,,169.0,182.40106140378825
,,170.0,181.5130857271389
,,171.0,180.6345778246078
,,172.0,179.7653825281977
,,173.0,178.90534809136935
,,174.0,178.0543260944511
,,175.0,177.21217135318696
,,176.0,176.3787418303017
,,177.0,175.55389854996736
,,178.0,174.73750551505978
,,179.0,173.92942962709927
