t,q,t_model,q_model
2011-03-01,7883.0,2011-09-01,23433.66649525449
2011-04-01,13107.0,2011-10-01,12676.165407611996
2011-05-01,13865.0,2011-11-01,8525.204697740892
2011-06-01,9687.0,2011-12-01,6356.667670042493
2011-07-01,6407.0,2012-01-01,5035.014835553777
2011-08-01,7012.0,2012-02-01,4149.868280025477
2011-09-01,22898.0,2012-03-01,3517.9660475312576
2011-10-01,15079.0,2012-04-01,3045.522513776755
2011-11-01,8384.0,2012-05-01,2679.714511862563
2011-12-01,5484.0,2012-06-01,2388.5891532541864
2012-01-01,5054.0,2012-07-01,2151.7182739496616
2012-02-01,2950.0,2012-08-01,1955.4512059138249
2012-03-01,1697.0,2012-09-01,1790.3301204479465
2012-04-01,1668.0,2012-10-01,1649.6014937275058
2012-05-01,2076.0,2012-11-01,1528.318062710365
2012-06-01,2504.0,2012-12-01,1422.775409580908
2012-07-01,2456.0,2013-01-01,1330.1464736143405
2012-08-01,2058.0,2013-02-01,1248.237509522381
2012-09-01,996.0,2013-03-01,1175.3209735646137
2012-10-01,1434.0,2013-04-01,1110.0185151012158
2012-11-01,713.0,2013-05-01,1051.2174168502254
2012-12-01,2587.0,2013-06-01,998.009859115874
2013-01-01,2374.0,2013-07-01,949.6480669611706
2013-02-01,1780.0,2013-08-01,905.5107075020431
2013-03-01,1683.0,2013-09-01,865.0773846470764
2013-04-01,1102.0,2013-10-01,827.9090478134806
2013-05-01,785.0,2013-11-01,793.6327779675217
2013-06-01,1231.0,2013-12-01,761.9298535588885
2013-07-01,1090.0,2014-01-01,732.5263019542249
2013-08-01,777.0,2014-02-01,705.1853541344274
2013-09-01,694.0,2014-03-01,679.7013709774003
2013-10-01,1223.0,2014-04-01,655.8949176357304
2013-11-01,784.0,2014-05-01,633.6087411702068
2013-12-01,534.0,2014-06-01,612.704464401847
2014-01-01,908.0,2014-07-01,593.0598518561305
2014-02-01,912.0,2014-08-01,574.566535832669
2014-03-01,655.0,2014-09-01,557.1281149504209
2014-04-01,574.0,2014-10-01,540.6585560595038
2014-05-01,996.0,2014-11-01,525.0808446591753
