t,q,t_model,q_model
0.0,7457.0,0.0,7457.0
1.0,4172.0,1.0,6567.6196226383545
2.0,3805.0,2.0,5869.214566893412
3.0,2412.0,3.0,5306.111334991718
4.0,2841.0,4.0,4842.3802391433455
5.0,3072.0,5.0,4453.791262170164
6.0,1851.0,6.0,4123.407750048739
7.0,3429.0,7.0,3839.03269724735
8.0,7012.0,8.0,3591.6581960220565
9.0,5355.0,9.0,3374.486440621181
10.0,3904.0,10.0,3182.290652814833
11.0,2998.0,11.0,3010.9857280066394
12.0,2540.0,12.0,2857.3324506306794
13.0,1256.0,13.0,2718.7291767206148
14.0,1798.0,14.0,2593.06221626422
15.0,327.0,15.0,2478.5964780100767
16.0,77.0,16.0,2373.894274974554
17.0,0.0,17.0,2277.7541757368817
18.0,0.0,18.0,2189.1643540320238
19.0,1805.0,19.0,2107.2665773589965
20.0,2201.0,20.0,2031.328106638142
21.0,2141.0,21.0,1960.7195502993698
22.0,1356.0,22.0,1894.8972504984204
23.0,1097.0,23.0,1833.3891547119172
24.0,1704.0,24.0,1775.7833935007843
25.0,1455.0,25.0,1721.7189782100306
26.0,1398.0,26.0,1670.8781731888544
27.0,1974.0,27.0,1622.9802009801963
28.0,1435.0,28.0,1577.776016313084
29.0,1436.0,29.0,1535.0439429304429
30.0,1273.0,30.0,1494.586011443304
31.0,1879.0,31.0,1456.2248701858423
32.0,1908.0,32.0,1419.801167094173
33.0,1634.0,33.0,1385.1713208646458
34.0,1768.0,34.0,1352.2056154724612
35.0,1588.0,35.0,1320.786564590707
36.0,1357.0,36.0,1290.8075023204983
37.0,1219.0,37.0,1262.1713645090729
38.0,1199.0,38.0,1234.789631236774
39.0,821.0,39.0,1208.5814061331464
40.0,766.0,40.0,1183.4726122957222
41.0,576.0,41.0,1159.3952879324027
42.0,788.0,42.0,1136.2869675849668
43.0,333.0,43.0,1114.0901370385207
44.0,402.0,44.0,1092.7517518749767
45.0,302.0,45.0,1072.2228111632435
46.0,486.0,46.0,1052.4579790544465
47.0,790.0,47.0,1033.415248114869
48.0,692.0,48.0,1015.0556391205838
49.0,707.0,49.0,997.342932786658
50.0,714.0,50.0,980.2434295351868
51.0,556.0,51.0,963.7257339404094
52.0,581.0,52.0,947.7605609421753
53.0,669.0,53.0,932.3205613044855
54.0,189.0,54.0,917.3801641247614
55.0,167.0,55.0,902.9154344809317
56.0,507.0,56.0,888.9039445449021
57.0,759.0,57.0,875.3246566986687
58.0,650.0,58.0,862.1578173684469
59.0,675.0,59.0,849.3848604469923
60.0,808.0,60.0,836.9883193084322
61.0,771.0,61.0,824.9517465363946
62.0,677.0,62.0,813.2596405875872
63.0,614.0,63.0,801.8973787013856
64.0,587.0,64.0,790.8511554432342
65.0,623.0,65.0,780.1079263373211
66.0,628.0,66.0,769.6553561033325
67.0,648.0,67.0,759.4817710642666
68.0,659.0,68.0,749.5761153382241
69.0,596.0,69.0,739.9279104676257
70.0,655.0,70.0,730.527218175117
71.0,550.0,71.0,721.3646059671279
72.0,774.0,72.0,712.4311153341631
73.0,443.0,73.0,703.7182323218607
74.0,293.0,74.0,695.2178602690587
75.0,444.0,75.0,686.9222945288911
76.0,632.0,76.0,678.8241990065701
77.0,476.0,77.0,670.9165843632811
78.0,312.0,78.0,663.192787749714
79.0,568.0,79.0,655.6464539453862
80.0,435.0,80.0,648.2715177912463
81.0,380.0,81.0,641.0621878132253
82.0,548.0,82.0,634.0129309435508
83.0,544.0,83.0,627.1184582548932
84.0,476.0,84.0,620.37371162983
85.0,310.0,85.0,613.7738512948329
86.0,542.0,86.0,607.314244154037
87.0,234.0,87.0,600.9904528635393
88.0,588.0,88.0,594.798225591934
89.0,390.0,89.0,588.733486417304
90.0,322.0,90.0,582.7923263149631
91.0,520.0,91.0,576.9709946939694
92.0,389.0,92.0,571.2658914437949
93.0,608.0,93.0,565.6735594556226
94.0,322.0,94.0,560.1906775855338
,,95.0,554.8140540294098
,,96.0,549.540620081707
,,97.0,544.3674242523874
,,98.0,539.2916267182494
,,99.0,534.3104940866776
,,100.0,529.421394451474
,,101.0,524.6217927219278
,,102.0,519.9092462076624
,,103.0,515.2814004430569
,,104.0,510.73598523620865
,,105.0,506.27081092846635
,,106.0,501.8837648515519
,,107.0,497.572807970195
,,108.0,493.3359716990408
,,109.0,489.1713548833629
,,110.0,485.0771209338267
,,111.0,481.05149510620674
,,112.0,477.09276191757004
,,113.0,473.1992626910019
,,114.0,469.36939322147094
,,115.0,465.6016015559159
,,116.0,461.89438588108084
,,117.0,458.24629251304503
,,118.0,454.6559139827796
,,119.0,451.1218872124166
,,120.0,447.64289177725607
,,121.0,444.21764824884207
,,122.0,440.8449166147269
,,123.0,437.5234947708153
,,124.0,434.2522170824244
,,125.0,431.0299530104333
,,126.0,427.8556057991114
,,127.0,424.7281112224164
,,128.0,421.6464363857448
,,129.0,418.6095785802926
,,130.0,415.61656418734935
,,131.0,412.66644763000454
,,132.0,409.75831036988814
,,133.0,406.89125994670366
,,134.0,404.06442905843863
