t,q,t_model,q_model
2015-03-01,8290.0,2015-06-01,11431.056935055005
2015-04-01,16631.0,2015-07-01,7110.01099461179
2015-05-01,14849.0,2015-08-01,5424.148667326652
2015-06-01,11561.0,2015-09-01,4484.98263994695
2015-07-01,7457.0,2015-10-01,3873.057187047359
2015-08-01,4172.0,2015-11-01,3436.962164530998
2015-09-01,3805.0,2015-12-01,3107.5037999839706
2015-10-01,2412.0,2016-01-01,2848.1671134303206
2015-11-01,2841.0,2016-02-01,2637.6981133242666
2015-12-01,3072.0,2016-03-01,2462.809860295269
2016-01-01,1851.0,2016-04-01,2314.7307947313634
2016-02-01,3429.0,2016-05-01,2187.415697828516
2016-03-01,7012.0,2016-06-01,2076.5505154390316
2016-04-01,5355.0,2016-07-01,1978.9665406983831
2016-05-01,3904.0,2016-08-01,1892.2791791764496
2016-06-01,2998.0,2016-09-01,1814.656382331866
2016-07-01,2540.0,2016-10-01,1744.6652292973395
2016-08-01,1256.0,2016-11-01,1681.1673606913553
2016-09-01,1798.0,2016-12-01,1623.2459296672225
2016-10-01,327.0,2017-01-01,1570.153453915072
2016-11-01,77.0,2017-02-01,1521.2738682205938
2016-12-01,0.0,2017-03-01,1476.09443482841
2017-01-01,0.0,2017-04-01,1434.1846296457777
2017-02-01,1805.0,2017-05-01,1395.1800508594301
2017-03-01,2201.0,2017-06-01,1358.7700004462363
2017-04-01,2141.0,2017-07-01,1324.6877900431703
2017-05-01,1356.0,2017-08-01,1292.7030939330184
2017-06-01,1097.0,2017-09-01,1262.615858613262
2017-07-01,1704.0,2017-10-01,1234.2514089430422
2017-08-01,1455.0,2017-11-01,1207.4564834349865
2017-09-01,1398.0,2017-12-01,1182.0959977882158
2017-10-01,1974.0,2018-01-01,1158.0503841623313
2017-11-01,1435.0,2018-02-01,1135.213389311066
2017-12-01,1436.0,2018-03-01,1113.4902411843648
2018-01-01,1273.0,2018-04-01,1092.7961135040052
2018-02-01,1879.0,2018-05-01,1073.0548329004635
2018-03-01,1908.0,2018-06-01,1054.1977847315293
2018-04-01,1634.0,2018-07-01,1036.1629825936277
2018-05-01,1768.0,2018-08-01,1018.894273442896
2018-06-01,1588.0,2018-09-01,1002.340655646535
2018-07-01,1357.0,2018-10-01,986.4556915415701
2018-08-01,1219.0,2018-11-01,971.1969994530275
2018-09-01,1199.0,2018-12-01,956.5258128156346
2018-10-01,821.0,2019-01-01,942.4065962030942
2018-11-01,766.0,2019-02-01,928.8067098114897
2018-12-01,576.0,2019-03-01,915.6961153565053
2019-01-01,788.0,2019-04-01,903.0471174958478
2019-02-01,333.0,2019-05-01,890.8341358313885
2019-03-01,402.0,2019-06-01,879.0335033213553
2019-04-01,302.0,2019-07-01,867.6232875738691
2019-05-01,486.0,2019-08-01,856.5831320248542
2019-06-01,790.0,2019-09-01,845.89411444624
2019-07-01,692.0,2019-10-01,835.5386206006393
2019-08-01,707.0,2019-11-01,825.5002311694043
2019-09-01,714.0,2019-12-01,815.7636203425794
2019-10-01,556.0,2020-01-01,806.3144646803244
2019-11-01,581.0,2020-02-01,797.1393610427425
2019-12-01,669.0,2020-03-01,788.2257525443575
2020-01-01,189.0,2020-04-01,779.5618616253432
2020-02-01,167.0,2020-05-01,771.1366294478045
2020-03-01,507.0,2020-06-01,762.9396609250693
2020-04-01,759.0,2020-07-01,754.9611747776513
2020-05-01,650.0,2020-08-01,747.1919580834317
2020-06-01,675.0,2020-09-01,739.6233248534836
2020-07-01,808.0,2020-10-01,732.2470782202953
2020-08-01,771.0,2020-11-01,725.0554758732125
2020-09-01,677.0,2020-12-01,718.0411984177564
2020-10-01,614.0,2021-01-01,711.1973203719675
2020-11-01,587.0,2021-02-01,704.5172835448304
2020-12-01,623.0,2021-03-01,697.9948725697872
2021-01-01,628.0,2021-04-01,691.6241923908793
2021-02-01,648.0,2021-05-01,685.3996475206346
2021-03-01,659.0,2021-06-01,679.3159229078293
2021-04-01,596.0,2021-07-01,673.36796627004
2021-05-01,655.0,2021-08-01,667.5509717607391
2021-06-01,550.0,2021-09-01,661.8603648538368
2021-07-01,774.0,2021-10-01,656.2917883402423
2021-08-01,443.0,2021-11-01,650.841089341378
2021-09-01,293.0,2021-12-01,645.5043072538201
2021-10-01,444.0,2022-01-01,640.2776625474613
2021-11-01,632.0,2022-02-01,635.1575463469454
2021-12-01,476.0,2022-03-01,630.1405107326902
2022-01-01,312.0,2022-04-01,625.2232597037024
2022-02-01,568.0,2022-05-01,620.4026407496655
2022-03-01,435.0,2022-06-01,615.6756369845167
2022-04-01,380.0,2022-07-01,611.0393597979959
2022-05-01,548.0,2022-08-01,606.4910419854783
2022-06-01,544.0,2022-09-01,602.0280313198674
2022-07-01,476.0,2022-10-01,597.6477845324413
2022-08-01,310.0,2022-11-01,593.3478616723681
2022-09-01,542.0,2022-12-01,589.1259208171582
2022-10-01,234.0,2023-01-01,584.97971310863
2022-11-01,588.0,2023-02-01,580.9070780910648
2022-12-01,390.0,2023-03-01,576.905939330127
2023-01-01,322.0,2023-04-01,572.9743002928549
2023-02-01,520.0,2023-05-01,569.1102404705995
2023-03-01,389.0,2023-06-01,565.3119117282243
2023-04-01,608.0,2023-07-01,561.57753486418
2023-05-01,322.0,2023-08-01,557.9053963672606
,,2023-09-01,554.2938453569391
,,2023-10-01,550.7412906951698
,,2023-11-01,547.2461982584587
,,2023-12-01,543.8070883598331
,,2024-01-01,540.4225333111112
,,2024-02-01,537.0911551165668
,,2024-03-01,533.8116232897327
,,2024-04-01,530.582652785675
,,2024-05-01,527.4030020416185
,,2024-06-01,524.2714711192973
,,2024-07-01,521.1868999428741
,,2024-08-01,518.1481666266909
,,2024-09-01,515.1541858875095
,,2024-10-01,512.20390753626
,,2024-11-01,509.29631504465453
,,2024-12-01,506.4304241823271
,,2025-01-01,503.6052817204515
,,2025-02-01,500.819964198054
,,2025-03-01,498.0735767474792
,,2025-04-01,495.3652519757012
,,2025-05-01,492.69414889838015
,,2025-06-01,490.0594519237588
,,2025-07-01,487.4603698836817
,,2025-08-01,484.8961351091829
,,2025-09-01,482.3660025482503
,,2025-10-01,479.86924892351897
,,2025-11-01,477.40517192778236
,,2025-12-01,474.9730894553407
,,2026-01-01,472.57233886731956
,,2026-02-01,470.2022762892063
,,2026-03-01,467.8622759389544
,,2026-04-01,465.55172948410166
,,2026-05-01,463.27004542643755
,,2026-06-01,461.01664851284266
,,2026-07-01,458.79097917099756
,,2026-08-01,456.5924929687357
,,2026-09-01,454.4206600958829
,,2026-10-01,452.2749648674898
,,2026-11-01,450.1549052474252
,,2026-12-01,448.0599923913559
,,2027-01-01,445.9897502081906
,,2027-02-01,443.943714939115
,,2027-03-01,441.921434753395
,,2027-04-01,439.9224693601662
,,2027-05-01,437.9463896354711
,,2027-06-01,435.99277726384395
,,2027-07-01,434.0612243937789
,,2027-08-01,432.1513333064543
,,2027-09-01,430.26271609711586
,,2027-10-01,428.3949943685531
,,2027-11-01,426.5477989361327
,,2027-12-01,424.7207695438791
,,2028-01-01,422.9135545911183
,,2028-02-01,421.1258108692261
,,2028-03-01,419.3572033080426
,,2028-04-01,417.6074047315392
,,2028-05-01,415.8760956223426
,,2028-06-01,414.1629638947403
,,2028-07-01,412.46770467581035
,,2028-08-01,410.7900200943351
,,2028-09-01,409.12961907717573
,,2028-10-01,407.4862171527982
,,2028-11-01,405.8595362616572
,,2028-12-01,404.2493045731583
,,2029-01-01,402.6552563089312
,,2029-02-01,401.0771315721584
,,2029-03-01,399.51467618271914
,,2029-04-01,397.9676415179134
,,2029-05-01,396.4357843585478
,,2029-06-01,394.91886674017076
,,2029-07-01,393.4166558092552
,,2029-08-01,391.92892368413726
,,2029-09-01,390.4554473205261
,,2029-10-01,388.9960083814092
,,2029-11-01,387.5503931111846
,,2029-12-01,386.1183922138609
,,2030-01-01,384.6998007351689
,,2030-02-01,383.2944179484393
,,2030-03-01,381.90204724410563
,,2030-04-01,380.522496022697
,,2030-05-01,379.1555755911918
,,2030-06-01,377.8011010626093
,,2030-07-01,376.4588912587199
,,2030-08-01,375.12876861576154
,,2030-09-01,373.8105590930527
,,2030-10-01,372.5040920843982
,,2030-11-01,371.20920033218823
,,2030-12-01,369.92571984409375
,,2031-01-01,368.65348981226754
,,2031-02-01,367.3923525349618
,,2031-03-01,366.142153340478
,,2031-04-01,364.9027405133679
,,2031-05-01,363.6739652228073
,,2031-06-01,362.45568145306765
,,2031-07-01,361.2477459360146
,,2031-08-01,360.05001808556204
,,2031-09-01,358.86235993401783
