t,q,t_model,q_model
0.0,603.0,0.0,603.0
1.0,460.0,1.0,588.0097494832715
2.0,418.0,2.0,573.8905820109557
3.0,339.0,3.0,560.5648235945742
4.0,303.0,4.0,547.9639849961764
5.0,264.0,5.0,536.0274250930695
6.0,363.0,6.0,524.7012430367671
7.0,299.0,7.0,513.9373545174727
8.0,333.0,8.0,503.69271719232535
9.0,268.0,9.0,493.92867774682037
10.0,410.0,10.0,484.61041874160026
11.0,272.0,11.0,475.70648778887715
12.0,419.0,12.0,467.1883950226203
13.0,35.0,13.0,459.0302675083005
14.0,582.0,14.0,451.2085513547903
15.0,349.0,15.0,443.7017539724797
16.0,391.0,16.0,436.49022026531
17.0,417.0,17.0,429.5559376242118
18.0,248.0,18.0,422.8823654618421
19.0,111.0,19.0,416.4542857370121
20.0,324.0,20.0,410.2576714953745
21.0,456.0,21.0,404.27957092697625
22.0,430.0,22.0,398.50800483167296
23.0,366.0,23.0,392.93187570625895
24.0,192.0,24.0,387.540886935283
25.0,180.0,25.0,382.3254707910244
26.0,192.0,26.0,377.27672413513244
27.0,242.0,27.0,372.3863508714937
28.0,201.0,28.0,367.6466103322379
29.0,529.0,29.0,363.0502708906957
30.0,432.0,30.0,358.5905681900232
31.0,213.0,31.0,354.26116745695714
32.0,66.0,32.0,350.05612943905754
33.0,96.0,33.0,345.96987956275245
34.0,196.0,34.0,341.9971799600869
35.0,217.0,35.0,338.1331040556029
36.0,186.0,36.0,334.3730134423151
37.0,290.0,37.0,330.7125368082112
38.0,322.0,38.0,327.1475507028402
39.0,196.0,39.0,323.6741619579939
40.0,284.0,40.0,320.28869159777406
41.0,148.0,41.0,316.9876600919057
42.0,65.0,42.0,313.7677738223995
43.0,217.0,43.0,310.6259126478953
44.0,196.0,44.0,307.55911846251377
45.0,224.0,45.0,304.5645846570316
46.0,214.0,46.0,301.63964639988137
47.0,168.0,47.0,298.7817716640307
48.0,220.0,48.0,295.98855293335413
49.0,196.0,49.0,293.2576995288166
50.0,370.0,50.0,290.5870305007301
