t,q,t_model,q_model
2009-12-01,2048.0,2012-02-01,888.3019774963249
2010-01-01,12764.0,2012-03-01,602.0019670494728
2010-02-01,6230.0,2012-04-01,509.4638779750712
2010-03-01,8251.0,2012-05-01,457.4083537287849
2010-04-01,5597.0,2012-06-01,422.34252324638965
2010-05-01,2184.0,2012-07-01,396.42007038712234
2010-06-01,2376.0,2012-08-01,376.12870020512435
2010-07-01,2008.0,2012-09-01,359.61571982663315
2010-08-01,1568.0,2012-10-01,345.7937026495589
2010-09-01,1548.0,2012-11-01,333.97429315537755
2010-10-01,1846.0,2012-12-01,323.69643771599294
2010-11-01,960.0,2013-01-01,314.63747198258557
2010-12-01,240.0,2013-02-01,306.56350819027574
2011-01-01,487.0,2013-03-01,299.3000598921601
2011-02-01,1577.0,2013-04-01,292.71379155132513
2011-03-01,842.0,2013-05-01,286.7007184609764
2011-04-01,1063.0,2013-06-01,281.17831635034094
2011-05-01,759.0,2013-07-01,276.0800914393939
2011-06-01,1038.0,2013-08-01,271.35174962049535
2011-07-01,687.0,2013-09-01,266.9484344456575
2011-08-01,464.0,2013-10-01,262.8326971979135
2011-09-01,711.0,2013-11-01,258.97297939189394
2011-10-01,34.0,2013-12-01,255.34246094255312
2011-11-01,1096.0,2014-01-01,251.9181738264736
2011-12-01,449.0,2014-02-01,248.68031153324296
2012-01-01,586.0,2014-03-01,245.61168495954482
2012-02-01,900.0,2014-04-01,242.69728925525757
2012-03-01,603.0,2014-05-01,239.9239557275566
2012-04-01,460.0,2014-06-01,237.28006966076637
2012-05-01,418.0,2014-07-01,234.75533972891517
2012-06-01,339.0,2014-08-01,232.34060816372434
2012-07-01,303.0,2014-09-01,230.0276933931715
2012-08-01,264.0,2014-10-01,227.8092587560783
2012-09-01,363.0,2014-11-01,225.6787023129905
2012-10-01,299.0,2014-12-01,223.63006384301352
2012-11-01,333.0,2015-01-01,221.6579459320284
2012-12-01,268.0,2015-02-01,219.75744668537126
2013-01-01,410.0,2015-03-01,217.92410208489625
2013-02-01,272.0,2015-04-01,216.15383639082577
2013-03-01,419.0,2015-05-01,214.44291928828721
2013-04-01,35.0,2015-06-01,212.78792871577332
2013-05-01,582.0,2015-07-01,211.1857185020448
2013-06-01,349.0,2015-08-01,209.6333900898631
2013-07-01,391.0,2015-09-01,208.12826774748748
2013-08-01,417.0,2015-10-01,206.66787676829648
2013-09-01,248.0,2015-11-01,205.24992423997642
2013-10-01,111.0,2015-12-01,203.8722820311664
2013-11-01,324.0,2016-01-01,202.5329716981619
2013-12-01,456.0,2016-02-01,201.23015105952464
2014-01-01,430.0,2016-03-01,199.96210222402985
2014-02-01,366.0,2016-04-01,198.72722088871936
2014-03-01,192.0,2016-05-01,197.52400675007087
2014-04-01,180.0,2016-06-01,196.35105489334057
2014-05-01,192.0,2016-07-01,195.207048043732
2014-06-01,242.0,2016-08-01,194.09074957877917
2014-07-01,201.0,2016-09-01,193.00099721469442
2014-08-01,529.0,2016-10-01,191.93669729080773
2014-09-01,432.0,2016-11-01,190.89681958594824
2014-10-01,213.0,2016-12-01,189.88039260894845
2014-11-01,66.0,2017-01-01,188.8864993126086
2014-12-01,96.0,2017-02-01,187.91427318662616
2015-01-01,196.0,2017-03-01,186.96289469032365
2015-02-01,217.0,2017-04-01,186.0315879906211
2015-03-01,186.0,2017-05-01,185.1196179747066
2015-04-01,290.0,2017-06-01,184.22628751034398
2015-05-01,322.0,2017-07-01,183.35093492979684
2015-06-01,196.0,2017-08-01,182.49293171600925
2015-07-01,284.0,2017-09-01,181.6516803720078
2015-08-01,148.0,2017-10-01,180.826612456539
2015-09-01,65.0,2017-11-01,180.0171867707503
2015-10-01,217.0,2017-12-01,179.22288768231112
2015-11-01,196.0,2018-01-01,178.44322357476776
2015-12-01,224.0,2018-02-01,177.6777254111662
2016-01-01,214.0,2018-03-01,176.92594540207227
2016-02-01,168.0,2018-04-01,176.18745576909456
2016-03-01,220.0,2018-05-01,175.4618475958811
2016-04-01,196.0,2018-06-01,174.748729759332
2016-05-01,370.0,2018-07-01,174.0477279344604
2016-06-01,499.0,2018-08-01,173.35848366694668
2016-07-01,197.0,2018-09-01,172.68065350798457
2016-08-01,55.0,2018-10-01,172.01390820650792
2016-09-01,57.0,2018-11-01,171.35793195433237
2016-10-01,268.0,2018-12-01,170.7124216801423
2016-11-01,253.0,2019-01-01,170.07708638861243
2016-12-01,186.0,2019-02-01,169.45164654127606
2017-01-01,173.0,2019-03-01,168.83583347604272
2017-02-01,255.0,2019-04-01,168.22938886253175
2017-03-01,263.0,2019-05-01,167.63206419062539
2017-04-01,132.0,2019-06-01,167.04362028986162
2017-05-01,231.0,2019-07-01,166.46382687748107
2017-06-01,240.0,2019-08-01,165.8924621331207
2017-07-01,333.0,2019-09-01,165.32931229830774
2017-08-01,269.0,2019-10-01,164.77417129905407
2017-09-01,222.0,2019-11-01,164.22684038998432
2017-10-01,156.0,2019-12-01,163.68712781855365
2017-11-01,169.0,2020-01-01,163.15484850802136
2017-12-01,133.0,2020-02-01,162.6298237579482
2018-01-01,147.0,2020-03-01,162.11188096107858
2018-02-01,151.0,2020-04-01,161.6008533355529
2018-03-01,223.0,2020-05-01,161.09657967147365
2018-04-01,167.0,2020-06-01,160.59890409092034
2018-05-01,167.0,2020-07-01,160.10767582057315
2018-06-01,201.0,2020-08-01,159.6227489761661
2018-07-01,167.0,2020-09-01,159.14398235804538
2018-08-01,196.0,2020-10-01,158.67123925715924
2018-09-01,148.0,2020-11-01,158.20438727085323
2018-10-01,91.0,2020-12-01,157.7432981278874
2018-11-01,173.0,2021-01-01,157.28784752213167
2018-12-01,96.0,2021-02-01,156.837914954433
2019-01-01,166.0,2021-03-01,156.3933835821812
2019-02-01,190.0,2021-04-01,155.95414007613243
2019-03-01,186.0,2021-05-01,155.52007448407764
2019-04-01,132.0,2021-06-01,155.09108010097071
2019-05-01,105.0,2021-07-01,154.66705334515598
2019-06-01,143.0,2021-08-01,154.24789364035732
2019-07-01,196.0,2021-09-01,153.83350330311322
2019-08-01,255.0,2021-10-01,153.42378743536128
2019-09-01,197.0,2021-11-01,153.01865382189544
2019-10-01,162.0,2021-12-01,152.61801283243432
