t,q,t_model,q_model
0.0,1129.0,0.0,1182.8205514010633
1.0,1028.0,1.0,1082.108452585903
2.0,966.0,2.0,989.0777077715694
3.0,906.0,3.0,903.2119782101472
4.0,751.0,4.0,824.0248668390027
5.0,833.0,5.0,751.0584639825355
6.0,811.0,6.0,683.8819497159299
7.0,728.0,7.0,622.0902512389545
8.0,699.0,8.0,565.3027536394653
9.0,605.0,9.0,513.1620624576211
10.0,522.0,10.0,465.3328164928668
11.0,437.0,11.0,421.5005493265319
12.0,384.0,12.0,381.37059806337203
13.0,256.0,13.0,344.66705782560535
14.0,161.0,14.0,311.1317805628999
15.0,179.0,15.0,280.52341677143147
16.0,169.0,16.0,252.61649874446792
17.0,184.0,17.0,227.20056400601953
18.0,181.0,18.0,204.079317607865
19.0,42.0,19.0,183.06983199877013
20.0,152.0,20.0,164.00178320291894
21.0,73.0,21.0,146.71672207250026
22.0,63.0,22.0,131.0673794070292
23.0,115.0,23.0,116.91700375932076
24.0,51.0,24.0,104.13873077509551
25.0,104.0,25.0,92.61498293996034
26.0,107.0,26.0,82.23689863398053
27.0,80.0,27.0,72.90378942024843
28.0,99.0,28.0,64.52262451974481
29.0,69.0,29.0,57.00754145039142
30.0,103.0,30.0,50.27938183350195
31.0,57.0,31.0,44.26525139585683
32.0,104.0,32.0,38.898103220346044
33.0,133.0,33.0,34.116343322557434
34.0,125.0,34.0,29.863457654817378
35.0,104.0,35.0,26.087659663031914
36.0,132.0,36.0,22.74155754521755
37.0,103.0,37.0,19.781840383856863
38.0,120.0,38.0,17.16898234716272
,,39.0,14.866964176985244
,,40.0,12.843011203448281
,,41.0,11.067347148453893
,,42.0,9.512963001947597
,,43.0,8.155400276288121
,,44.0,6.97254796521726
,,45.0,5.944452554773887
,,46.0,5.0531404540424205
,,47.0,4.282452233868548
,,48.0,3.617888081613479
,,49.0,3.046463899650814
,,50.0,2.5565774946377506
,,51.0,2.137884323612809
,,52.0,1.7811822816851755
,,53.0,1.478305034485598
,,54.0,1.2220234166440476
,,55.0,1.0059544353445755
,,56.0,0.8244774354820236
,,57.0,0.6726570001072915
,,58.0,0.546172176697151
,,59.0,0.44125163631977626
,,60.0,0.3546143889875025
,,61.0,0.28341569439259323
,,62.0,0.225197822809119
,,63.0,0.1778453362131642
,,64.0,0.13954457462349557
,,65.0,0.10874704729430383
,,66.0,0.08413644269956065
,,67.0,0.06459898523362675
,,68.0,0.049196880213791296
,,69.0,0.037144602106102514
,,70.0,0.02778779390481481
,,71.0,0.02058455827666399
,,72.0,0.01508893343253065
,,73.0,0.010936358709393643
,,74.0,0.00783094653325709
,,75.0,0.005534388787366039
,,76.0,0.0038563366278333636
,,77.0,0.0026461034690595455
,,78.0,0.0017855512022266018
