t,q,t_model,q_model
0.0,64.0,0.0,64.0
1.0,13.0,1.0,63.66402709964336
2.0,36.0,2.0,63.32579287507843
3.0,76.0,3.0,62.98525435335545
4.0,94.0,4.0,62.642367204456576
5.0,0.0,5.0,62.29708568094642
6.0,214.0,6.0,61.94936255414101
7.0,148.0,7.0,61.59914904654742
8.0,127.0,8.0,61.24639476030464
9.0,154.0,9.0,60.89104760133347
10.0,109.0,10.0,60.53305369887746
11.0,152.0,11.0,60.17235732008869
12.0,176.0,12.0,59.80890077928137
13.0,227.0,13.0,59.44262434144155
14.0,203.0,14.0,59.073466119543426
15.0,214.0,15.0,58.70136196518059
16.0,131.0,16.0,58.32624535197396
17.0,112.0,17.0,57.94804725116569
18.0,277.0,18.0,57.56669599875157
19.0,185.0,19.0,57.1821171534389
20.0,244.0,20.0,56.794233344645946
21.0,258.0,21.0,56.40296410967796
22.0,282.0,22.0,56.00822571912546
23.0,105.0,23.0,55.60993098942879
24.0,153.0,24.0,55.207989081440076
25.0,246.0,25.0,54.80230528368576
26.0,246.0,26.0,54.392780778888564
27.0,163.0,27.0,53.97931239214524
28.0,97.0,28.0,53.561792318971506
29.0,121.0,29.0,53.14010783121673
30.0,51.0,30.0,52.71414095861224
31.0,113.0,31.0,52.28376814344591
32.0,184.0,32.0,51.84885986554559
33.0,73.0,33.0,51.409280234398445
34.0,208.0,34.0,50.964886544825546
35.0,104.0,35.0,50.5155287921613
36.0,154.0,36.0,50.061049142345766
37.0,151.0,37.0,49.60128135171
38.0,179.0,38.0,49.136050130507044
39.0,16.0,39.0,48.66517044339297
40.0,86.0,40.0,48.18844673907261
41.0,96.0,41.0,47.70567210016426
42.0,95.0,42.0,47.216627302973535
43.0,56.0,43.0,46.7210797752574
44.0,114.0,44.0,46.21878243815296
45.0,13.0,45.0,45.709472416179636
46.0,89.0,46.0,45.19286959651786
47.0,30.0,47.0,44.668675015524165
48.0,32.0,48.0,44.13656904653693
49.0,41.0,49.0,43.596209358300925
50.0,44.0,50.0,43.047228607593595
51.0,0.0,51.0,42.48923182261184
52.0,208.0,52.0,41.92179342504715
53.0,0.0,53.0,41.34445382810648
54.0,23.0,54.0,40.756715534464625
55.0,0.0,55.0,40.15803864151871
56.0,220.0,56.0,39.54783564037011
57.0,0.0,57.0,38.92546536835937
58.0,65.0,58.0,38.29022594093354
59.0,104.0,59.0,37.641346444681034
60.0,393.0,60.0,36.97797711613663
61.0,0.0,61.0,36.2991776556996
62.0,168.0,62.0,35.60390322600897
63.0,127.0,63.0,34.89098754975389
64.0,153.0,64.0,34.15912233914899
65.0,86.0,65.0,33.40683203745481
66.0,78.0,66.0,32.632442500819714
67.0,57.0,67.0,31.834041748642772
68.0,148.0,68.0,31.009430188018484
69.0,35.0,69.0,30.15605665339584
70.0,13.0,70.0,29.270935000998744
71.0,-150.0,71.0,28.35053352972143
72.0,117.0,72.0,27.390625594332352
73.0,42.0,73.0,26.386083403953496
74.0,190.0,74.0,25.330586231866157
75.0,66.0,75.0,24.21619532244058
76.0,8.0,76.0,23.03271284631109
77.0,36.0,77.0,21.76667407679232
78.0,25.0,78.0,20.39967946199147
79.0,18.0,79.0,18.905448902663675
80.0,112.0,80.0,17.24415661187214
,,81.0,15.350179166237092
,,82.0,13.10055125649445
,,83.0,10.205730340345982
,,84.0,5.425000683238567
,,85.0,
,,86.0,
,,87.0,
,,88.0,
,,89.0,
,,90.0,
,,91.0,
,,92.0,
,,93.0,
,,94.0,
,,95.0,
,,96.0,
,,97.0,
,,98.0,
,,99.0,
,,100.0,
,,101.0,
,,102.0,
,,103.0,
,,104.0,
,,105.0,
,,106.0,
,,107.0,
,,108.0,
,,109.0,
,,110.0,
,,111.0,
,,112.0,
,,113.0,
,,114.0,
,,115.0,
,,116.0,
,,117.0,
,,118.0,
,,119.0,
,,120.0,
