t,q,t_model,q_model
2010-11-01,749.0,2015-06-01,1472.333620253734
2010-12-01,2630.0,2015-07-01,653.3547633747224
2011-01-01,2748.0,2015-08-01,478.8562494042069
2011-02-01,3362.0,2015-09-01,393.6360268764386
2011-03-01,4439.0,2015-10-01,341.02189132594475
2011-04-01,3245.0,2015-11-01,304.5084318971773
2011-05-01,2991.0,2015-12-01,277.3093865901956
2011-06-01,2935.0,2016-01-01,256.06013431439806
2011-07-01,3141.0,2016-02-01,238.87990385742506
2011-08-01,2703.0,2016-03-01,224.62514811776666
2011-09-01,2422.0,2016-04-01,212.55575737230834
2011-10-01,2278.0,2016-05-01,202.16901385651656
2011-11-01,2997.0,2016-06-01,193.11002780188724
2011-12-01,2826.0,2016-07-01,185.1202521068525
2012-01-01,2286.0,2016-08-01,178.00632279828326
2012-02-01,2026.0,2016-09-01,171.6203811313693
2012-03-01,1394.0,2016-10-01,165.8471936983339
2012-04-01,1450.0,2016-11-01,160.59546055855205
2012-05-01,2999.0,2016-12-01,155.7917927522703
2012-06-01,522.0,2017-01-01,151.37644215287654
2012-07-01,2002.0,2017-02-01,147.30021173318795
2012-08-01,997.0,2017-03-01,143.52217931486862
2012-09-01,355.0,2017-04-01,140.00799341386318
2012-10-01,318.0,2017-05-01,136.72857879591353
2012-11-01,166.0,2017-06-01,133.6591402891815
2012-12-01,400.0,2017-07-01,130.77838696147387
2013-01-01,546.0,2017-08-01,128.06792132304366
2013-02-01,38.0,2017-09-01,125.51175364621459
2013-03-01,485.0,2017-10-01,123.09591222383655
2013-04-01,595.0,2017-11-01,120.80812796374273
2013-05-01,646.0,2017-12-01,118.63757713810865
2013-06-01,423.0,2018-01-01,116.57467003675598
2013-07-01,589.0,2018-02-01,114.61087615611456
2013-08-01,400.0,2018-03-01,112.73857869319487
2013-09-01,538.0,2018-04-01,110.9509527153163
2013-10-01,588.0,2018-05-01,109.24186258747935
2013-11-01,458.0,2018-06-01,107.60577516345163
2013-12-01,503.0,2018-07-01,106.03768595776499
2014-01-01,783.0,2018-08-01,104.5330560673191
2014-02-01,1495.0,2018-09-01,103.08775804216107
2014-03-01,1594.0,2018-10-01,101.69802924399634
2014-04-01,1060.0,2018-11-01,100.36043149944376
2014-05-01,366.0,2018-12-01,99.07181606897612
2014-06-01,206.0,2019-01-01,97.82929312397707
2014-07-01,308.0,2019-02-01,96.63020506258326
2014-08-01,19.0,2019-03-01,95.4721031070118
2014-09-01,12.0,2019-04-01,94.35272671632758
2014-10-01,0.0,2019-05-01,93.2699854232932
2014-11-01,8.0,2019-06-01,92.22194276535924
2014-12-01,56.0,2019-07-01,91.20680203057216
2015-01-01,48.0,2019-08-01,90.22289358124384
2015-02-01,97.0,2019-09-01,89.26866355325464
2015-03-01,5.0,2019-10-01,88.34266375814337
2015-04-01,616.0,2019-11-01,87.44354263970399
2015-05-01,1211.0,2019-12-01,86.57003715749539
2015-06-01,1448.0,2020-01-01,85.72096548714569
2015-07-01,1035.0,2020-02-01,84.89522044214694
2015-08-01,348.0,2020-03-01,84.09176353443188
2015-09-01,256.0,2020-04-01,83.30961960176691
2015-10-01,312.0,2020-05-01,82.54787193918514
2015-11-01,150.0,2020-06-01,81.80565787956536
2015-12-01,245.0,2020-07-01,81.08216477524296
2016-01-01,237.0,2020-08-01,80.37662633838444
2016-02-01,221.0,2020-09-01,79.68831930291334
2016-03-01,165.0,2020-10-01,79.01656037515436
2016-04-01,145.0,2020-11-01,78.36070344416977
