t,q,t_model,q_model
0.0,9840.0,0.0,9840.0
1.0,6573.0,1.0,6247.78819372031
2.0,5404.0,2.0,4879.020026471917
3.0,4434.0,3.0,4112.692591291269
4.0,4175.0,4.0,3608.836427424299
5.0,3983.0,5.0,3246.3332295190285
6.0,1983.0,6.0,2969.973431105781
7.0,821.0,7.0,2750.582458386992
8.0,1174.0,8.0,2571.127262139719
9.0,1187.0,9.0,2420.919056453347
10.0,2085.0,10.0,2292.872237307818
11.0,1611.0,11.0,2182.08271550649
12.0,1932.0,12.0,2085.035880569652
13.0,2148.0,13.0,1999.139400717865
14.0,1954.0,14.0,1922.4344449233931
15.0,1589.0,15.0,1853.4100879762323
16.0,1039.0,16.0,1790.880020050204
17.0,1387.0,17.0,1733.8982853126743
18.0,467.0,18.0,1681.700255932846
19.0,95.0,19.0,1633.660379283661
20.0,2935.0,20.0,1589.2613476008294
21.0,2247.0,21.0,1548.0712154199066
22.0,1731.0,22.0,1509.7261543394932
23.0,2232.0,23.0,1473.9172759144146
24.0,2302.0,24.0,1440.3804364108291
25.0,2484.0,25.0,1408.8882583727157
26.0,2326.0,26.0,1379.2438216581731
27.0,2184.0,27.0,1351.2756267059308
28.0,1914.0,28.0,1324.8335379149182
29.0,2044.0,29.0,1299.7854897074037
30.0,1802.0,30.0,1276.014791618367
31.0,1408.0,31.0,1253.4179079448459
32.0,1527.0,32.0,1231.9026163794065
33.0,1265.0,33.0,1211.3864715752368
34.0,328.0,34.0,1191.7955157841611
35.0,1400.0,35.0,1173.0631910055351
36.0,1702.0,36.0,1155.1294165023817
37.0,2085.0,37.0,1137.9398028136525
38.0,1882.0,38.0,1121.4449790500453
39.0,1913.0,39.0,1105.6000146953106
40.0,1503.0,40.0,1090.3639206338767
41.0,1180.0,41.0,1075.6992169040652
42.0,1135.0,42.0,1061.571556895963
43.0,1082.0,43.0,1047.9493994967108
44.0,913.0,44.0,1034.8037221271318
45.0,790.0,45.0,1022.1077687840892
46.0,397.0,46.0,1009.836828158292
47.0,2097.0,47.0,997.9680376807223
48.0,2263.0,48.0,986.4802099962391
49.0,1747.0,49.0,975.3536788968539
50.0,1193.0,50.0,964.5701621907516
51.0,324.0,51.0,954.1126393530815
52.0,524.0,52.0,943.9652421142572
53.0,744.0,53.0,934.1131564017484
54.0,1285.0,54.0,924.5425342707522
55.0,693.0,55.0,915.2404146447658
56.0,1483.0,56.0,906.1946518446085
57.0,748.0,57.0,897.3938510185678
58.0,2041.0,58.0,888.8273097008523
59.0,2165.0,59.0,880.4849648236028
60.0,880.0,60.0,872.3573445919201
61.0,1426.0,61.0,864.4355247038623
62.0,2014.0,62.0,856.7110884599568
63.0,1520.0,63.0,849.1760903609212
64.0,1448.0,64.0,841.8230228392704
65.0,1237.0,65.0,834.6447858113328
66.0,1341.0,66.0,827.6346587717927
67.0,1089.0,67.0,820.7862751839606
68.0,972.0,68.0,814.0935989461816
69.0,1035.0,69.0,807.5509027386514
70.0,841.0,70.0,801.1527480758692
71.0,1165.0,71.0,794.8939669084207
72.0,1127.0,72.0,788.7696446340645
73.0,1247.0,73.0,782.7751043924791
74.0,969.0,74.0,776.9058925307651
75.0,765.0,75.0,771.1577651380921
76.0,874.0,76.0,765.52667555791
77.0,888.0,77.0,760.0087627950643
78.0,798.0,78.0,754.6003407431139
79.0,535.0,79.0,749.2978881642434
80.0,505.0,80.0,744.0980393605025
81.0,595.0,81.0,738.9975754807851
82.0,561.0,82.0,733.9934164130505
83.0,587.0,83.0,729.0826132158526
84.0,427.0,84.0,724.2623410473525
85.0,619.0,85.0,719.5298925536831
86.0,484.0,86.0,714.8826716818618
87.0,449.0,87.0,710.318187885455
88.0,548.0,88.0,705.8340506939103
89.0,517.0,89.0,701.4279646189236
90.0,500.0,90.0,697.0977243734391
91.0,465.0,91.0,692.8412103808823
92.0,451.0,92.0,688.6563845540701
93.0,474.0,93.0,684.5412863248871
94.0,553.0,94.0,680.4940289073425
95.0,510.0,95.0,676.5127957779875
96.0,527.0,96.0,672.595837358931
97.0,556.0,97.0,668.7414678898351
98.0,530.0,98.0,664.9480624763165
99.0,539.0,99.0,661.2140543031304
100.0,628.0,100.0,657.5379320013944
101.0,725.0,101.0,653.918237159903
102.0,695.0,102.0,650.3535619713177
103.0,745.0,103.0,646.8425470046947
104.0,566.0,104.0,643.3838790964227
105.0,536.0,105.0,639.9762893522161
106.0,499.0,106.0,636.6185512533281
107.0,514.0,107.0,633.3094788606289
108.0,538.0,108.0,630.0479251106377
109.0,560.0,109.0,626.8327801980021
110.0,606.0,110.0,623.6629700392998
111.0,582.0,111.0,620.5374548133798
112.0,584.0,112.0,617.4552275737839
113.0,538.0,113.0,614.4153129290862
