t,q,t_model,q_model
2007-03-01,852.0,2007-06-01,9929.89431504707
2007-04-01,12757.0,2007-07-01,6306.527185520462
2007-05-01,13134.0,2007-08-01,4924.9056438353655
2007-06-01,9840.0,2007-09-01,4151.240362780733
2007-07-01,6573.0,2007-10-01,3642.5253809584206
2007-08-01,5404.0,2007-11-01,3276.51723164137
2007-09-01,4434.0,2007-12-01,2997.483590669915
2007-10-01,4175.0,2008-01-01,2775.9706306222374
2007-11-01,3983.0,2008-02-01,2594.7811723448403
2007-12-01,1983.0,2008-03-01,2443.1229893510204
2008-01-01,821.0,2008-04-01,2313.841712875312
2008-02-01,1174.0,2008-05-01,2201.985571803319
2008-03-01,1187.0,2008-06-01,2104.0057425898754
2008-04-01,2085.0,2008-07-01,2017.2846399035147
2008-05-01,1611.0,2008-08-01,1939.844342988098
2008-06-01,1932.0,2008-09-01,1870.1591998158353
2008-07-01,2148.0,2008-10-01,1807.0313381955166
2008-08-01,1954.0,2008-11-01,1749.5055842026077
2008-09-01,1589.0,2008-12-01,1696.8098610514949
2008-10-01,1039.0,2009-01-01,1648.3125242766494
2008-11-01,1387.0,2009-02-01,1603.4912305833961
2008-12-01,467.0,2009-03-01,1561.9098319316736
2009-01-01,95.0,2009-04-01,1523.2009619252804
2009-02-01,2935.0,2009-05-01,1487.0527300295366
2009-03-01,2247.0,2009-06-01,1453.1984267620228
2009-04-01,1731.0,2009-07-01,1421.408467343995
2009-05-01,2232.0,2009-08-01,1391.4840211294436
2009-06-01,2302.0,2009-09-01,1363.2519256937503
2009-07-01,2484.0,2009-10-01,1336.5605906116932
2009-08-01,2326.0,2009-11-01,1311.2766713710919
2009-09-01,2184.0,2009-12-01,1287.282348165537
2009-10-01,1914.0,2010-01-01,1264.4730838835249
2009-11-01,2044.0,2010-02-01,1242.7557647839767
2009-12-01,1802.0,2010-03-01,1222.04714908183
2010-01-01,1408.0,2010-04-01,1202.2725650194484
2010-02-01,1527.0,2010-05-01,1183.3648124164904
2010-03-01,1265.0,2010-06-01,1165.263231201336
2010-04-01,328.0,2010-07-01,1147.9129077708178
2010-05-01,1400.0,2010-08-01,1131.2639957388585
2010-06-01,1702.0,2010-09-01,1115.2711321124877
2010-07-01,2085.0,2010-10-01,1099.8929334668128
2010-08-01,1882.0,2010-11-01,1085.0915594961155
2010-09-01,1913.0,2010-12-01,1070.832333559754
2010-10-01,1503.0,2011-01-01,1057.0834116426677
2010-11-01,1180.0,2011-02-01,1043.8154926055365
2010-12-01,1135.0,2011-03-01,1031.0015637815416
2011-01-01,1082.0,2011-04-01,1018.6166769413513
2011-02-01,913.0,2011-05-01,1006.6377504390543
2011-03-01,790.0,2011-06-01,995.0433940034467
2011-04-01,397.0,2011-07-01,983.8137531782421
2011-05-01,2097.0,2011-08-01,972.9303708626774
2011-06-01,2263.0,2011-09-01,962.3760637775462
2011-07-01,1747.0,2011-10-01,952.1348119944414
2011-08-01,1193.0,2011-11-01,942.1916599287523
2011-09-01,324.0,2011-12-01,932.5326274185295
