t,q,t_model,q_model
0.0,967.0,0.0,967.0
1.0,650.0,1.0,678.7368453250066
2.0,641.0,2.0,513.4852584223777
3.0,509.0,3.0,407.850324485683
4.0,232.0,4.0,335.215811114389
5.0,226.0,5.0,282.58819909225696
6.0,165.0,6.0,242.92260051193304
7.0,150.0,7.0,212.09130189311833
8.0,306.0,8.0,187.52669741278072
9.0,138.0,9.0,167.55373415268153
10.0,135.0,10.0,151.0363640140857
11.0,85.0,11.0,137.17880494484987
12.0,94.0,12.0,125.40819726039146
13.0,69.0,13.0,115.30239936509658
14.0,103.0,14.0,106.54396775292228
15.0,125.0,15.0,98.88992146933687
16.0,186.0,16.0,92.1513439811501
17.0,116.0,17.0,86.1792972396513
18.0,106.0,18.0,80.85489140966746
19.0,133.0,19.0,76.08215373879061
20.0,117.0,20.0,71.78282181298107
,,21.0,67.89248441004388
,,22.0,64.35768191318682
,,23.0,61.13370042914505
,,24.0,58.182874416151606
,,25.0,55.473266840128716
,,26.0,52.97763291834633
,,27.0,50.672599203145374
,,28.0,48.53800783077693
,,29.0,46.5563886376044
,,30.0,44.71253113200547
,,31.0,42.993135081940245
,,32.0,41.386523467911104
,,33.0,39.882405263833604
,,34.0,38.47167829634036
,,35.0,37.14626454466466
,,36.0,35.898971855577635
,,37.0,34.72337728836822
,,38.0,33.6137282662051
,,39.0,32.56485846032394
,,40.0,31.572115922555753
,,41.0,30.63130144716859
,,42.0,29.73861551292503
,,43.0,28.89061245190249
,,44.0,28.084160729150558
,,45.0,27.316408409057892
,,46.0,26.584753039922145
,,47.0,25.886815315064233
,,48.0,25.22041597268094
,,49.0,24.58355548201288
,,50.0,23.974396133888778
,,51.0,23.391246212116787
,,52.0,22.832545970778064
,,53.0,22.296855183035056
,,54.0,21.78284206103941
,,55.0,21.289273375075712
,,56.0,20.81500562414915
,,57.0,20.358977130583227
,,58.0,19.92020094846123
,,59.0,19.497758490434286
,,60.0,19.090793789948247
