t,q,t_model,q_model
0.0,967.0,0.0,977.8722577060008
1.0,650.0,1.0,686.3680778968076
2.0,641.0,2.0,519.2585201160701
3.0,509.0,3.0,412.4359023898034
4.0,232.0,4.0,338.9847384003887
5.0,226.0,5.0,285.76541907695776
6.0,165.0,6.0,245.65384882152728
7.0,150.0,7.0,214.47590508999858
8.0,306.0,8.0,189.6351137323536
9.0,138.0,9.0,169.43758873107936
10.0,135.0,10.0,152.73450907358776
11.0,85.0,11.0,138.72114550241102
12.0,94.0,12.0,126.81819750760963
13.0,69.0,13.0,116.59877723481483
14.0,103.0,14.0,107.74187206980916
15.0,125.0,15.0,100.00176915366036
16.0,186.0,16.0,93.18742791053728
17.0,116.0,17.0,87.1482357386291
18.0,106.0,18.0,81.7639660903258
19.0,133.0,19.0,76.93756716410158
20.0,117.0,20.0,72.589896619201
,,21.0,68.65581903962675
,,22.0,65.08127374681764
,,23.0,61.82104411641198
,,24.0,58.83704112217878
,,25.0,56.09696865282741
,,26.0,53.57327560473948
,,27.0,51.24232573589562
,,28.0,49.08373454191663
,,29.0,47.07983543711708
,,30.0,45.21524691396488
,,31.0,43.47651920210546
,,32.0,41.85184399396962
,,33.0,40.33081455852188
,,34.0,38.904226384055114
,,35.0,37.56391062630362
,,36.0,36.30259426860174
,,37.0,35.11378215527808
,,38.0,33.99165703163392
,,39.0,32.93099448239228
,,40.0,31.92709025619976
,,41.0,30.975697934452782
,,42.0,30.07297527680941
,,43.0,29.21543787471664
,,44.0,28.399918984480518
,,45.0,27.62353460536156
,,46.0,26.883653025548227
,,47.0,26.177868187135616
,,48.0,25.50397632625646
,,49.0,24.85995543085488
,,50.0,24.24394712986953
,,51.0,23.654240686659342
,,52.0,23.089258818635777
,,53.0,22.547545106078836
,,54.0,22.027752787468298
,,55.0,21.528634767534168
,,56.0,21.049034688572736
,,57.0,20.58787893616159
,,58.0,20.144169467868668
,,59.0,19.716977368404677
,,60.0,19.305437047338565
